,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (0.9999993578722438),Less (0.0),Equal (0.23216413944101089),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.8163667323096662e-203),Less (6.216894050728312e-139),Less (5.2989396994446346e-130),Less (0.0),Less (0.0),Less (0.0),Less (4.969810250474695e-176),Less (9.360989827657993e-184),Less (2.9476424565377174e-189),Less (4.147663289585001e-167),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (7.750562421078513e-190),Less (1.921459158051485e-271),Less (0.0),Less (4.484818156204311e-271),Less (2.123230479184135e-220),Less (2.5311543558114647e-107),Less (5.735201810597818e-87),Less (3.904102674304442e-119),Less (1.8419844922101723e-62),Less (0.0),Less (1.841353354461968e-68),Less (3.44592029006919e-176),Less (6.486195386507132e-101),Less (9.730305867717191e-45),Less (3.1459244395036465e-25),Less (1.342342492897842e-38),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (0.0),Less (0.00018422271767596447),Less (0.0),Less (2.590056723726928e-293),Less (0.0),Less (0.0),Less (5.283737892140704e-166),Less (8.90293971048883e-119),Less (2.770966030649676e-112),Less (0.0),Less (0.0),Less (0.0),Less (7.658864171045877e-146),Less (2.7001947647365065e-152),Less (5.184740042648365e-156),Less (1.3032410156059315e-138),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (8.260740719350017e-267),Less (1.8624810137991176e-159),Less (1.046626179449713e-231),Less (0.0),Less (4.240057302821965e-226),Less (1.480224761287515e-182),Less (1.04878087829436e-90),Less (4.590608978006977e-74),Less (4.616264898437171e-98),Less (3.662028463711578e-54),Less (0.0),Less (3.82427138807308e-61),Less (6.822250012362472e-154),Less (5.365836949576464e-87),Less (2.5667192385442446e-39),Less (4.970273982556154e-22),Less (2.370024649538446e-34),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (3.7855662278032186e-179),Less (5.320053377543744e-119),Less (1.7174915263276914e-134),Less (2.284872731600726e-16),Less (6.192025111791172e-29),Less (5.171837390275554e-34),Less (8.604513676106969e-28),Less (3.312223469808119e-308),Less (4.3836469640975603e-156),Less (4.8414343745285855e-182),Less (1.3619765170831809e-21),Less (5.058319608057891e-29),Less (5.706215888361203e-34),Less (5.399489319563992e-29),Less (0.0),Less (7.333010168697876e-200),Less (0.0),Less (7.227572913790973e-105),Less (2.0859547625729437e-76),Less (9.897505008490232e-51),Less (7.777315128745483e-82),Less (1.699780606121074e-92),Less (8.839917030220939e-73),Less (1.7385093739394584e-23),Less (4.3328275565780075e-06),Less (9.85393148657164e-13),Less (3.000017727631607e-22),Less (9.352030493600877e-08),Less (5.38125290576787e-141),Less (1.4913373258844527e-30),Less (2.416393507676142e-68),Less (1.460610790155213e-25),Less (1.1704299070796578e-15),Less (4.725628642465398e-09),Less (8.561504452925342e-16),Less (9.229316104217816e-179),Less (0.0),Less (8.193180659047559e-99),Greater (1.0),Less (4.5112045124211317e-104),Less (2.6481691977677173e-164),Less (2.3919385301457557e-241),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (6.999701376954416e-284),Less (0.0),Less (0.0),Less (1.973920759144558e-159),Less (5.3661312918345504e-114),Less (1.1947563198853438e-107),Less (0.0),Less (0.0),Less (0.0),Less (5.58278839112972e-138),Less (8.775902942477269e-145),Less (9.801532437807856e-150),Less (1.8813660158190666e-132),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (3.824396772125401e-257),Less (1.0739576004713191e-153),Less (2.987970931716541e-223),Less (0.0),Less (2.0180253290199445e-218),Less (6.529967003578479e-174),Less (3.2245403671807907e-85),Less (6.966020852230415e-71),Less (3.4994971620111545e-94),Less (4.0176751307497157e-51),Less (0.0),Less (3.964262134786991e-59),Less (6.151277024905557e-149),Less (1.3463768971410903e-83),Less (4.55843935875407e-38),Less (2.507639586305574e-21),Less (3.394075253957136e-33),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
existence-executive-full,,,,,,,,,,,,,,,,Less (1.0001636953071841e-58),Less (1.3662684172785002e-22),Greater (1.0),Equal (0.7682928208746986),Less (1.4817441853791724e-07),Less (0.0007085567694804087),Less (1.4042456268395927e-27),Less (6.024051028031897e-53),Less (5.814643133763026e-19),Equal (0.10746349455313735),Equal (0.24442315271707704),Less (0.0016092523535331932),Less (0.024800949134192615),Less (7.444189552855354e-197),Less (2.0432380486950722e-91),Less (1.1607294995529437e-161),Less (1.7521980556732996e-28),Less (1.177090602940114e-16),Less (8.505806759230317e-16),Less (1.1477626705035632e-30),Equal (0.2207220469210619),Less (5.733810407260944e-23),Greater (0.9998974480174094),Greater (0.9999999999990107),Equal (0.29282525954361527),Less (0.018149315718554708),Greater (0.9894665248445581),Less (2.022216127577103e-61),Less (5.019310304370181e-21),Less (3.4251178137730284e-38),Less (6.676457761361147e-06),Less (2.55302122928343e-07),Less (0.00011640115998427176),Less (6.384280613766335e-10),Greater (1.0),Less (1.4032142374037703e-81),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999480329),Greater (0.9999999999999705),Greater (1.0),Greater (0.9999998182616597),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999996913585245),Equal (0.09256146247292858),Greater (0.9999801542296869),Greater (0.9999999866582197),Greater (0.999999999999966),Greater (0.999999842387159),Greater (0.9988123011527551),Greater (1.0),Greater (0.9999999595281135),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.277703367593525),Less (0.0026693621618783976),Equal (0.11381206476214915),Greater (0.9999999242681586),Equal (0.27814280557682336),Equal (0.3222608474472475),Equal (0.37420064487133053),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999999499107),Equal (0.7933901382089664),Equal (0.10435425174714603),Greater (0.9992857169952732),Less (1.2375219255391708e-08),Greater (0.9981218777841135),Greater (0.9999999999999165),Greater (0.999998961650929),Greater (0.998776423368718),Greater (0.9998864166777597),Less (6.627748840178579e-18),Less (7.706520602626056e-24),Less (1.5324599353648066e-20),Less (0.0016617210511986273),Equal (0.3949927635168523),Less (0.008389007202119205),Less (3.5594881834360125e-07),Greater (1.0),Less (0.0006955134299375349),Greater (1.0),Greater (1.0),Greater (0.9999999753636681),Greater (0.9971909415832593),Greater (0.9999999997981122),Less (5.146297367950057e-17),Less (3.081528802561894e-12),Less (7.377260021953878e-17),Equal (0.824388309378093),Less (0.0037468694662577025),Equal (0.055544450436015455),Less (2.1255928610297932e-05),Greater (1.0),Equal (0.12819604922700487),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Less (1.882122305717659e-17),Less (4.9459910162832776e-29),Less (9.08599282896096e-21),Less (3.87470323125559e-138),Less (2.3662123538959488e-132),Less (1.226761277947191e-107),Less (2.7134919377163945e-12),Less (1.1322091256339022e-20),Less (1.9120228901894885e-27),Less (1.100567517809085e-21),Less (0.0),Less (6.018134088071694e-182),Less (8.058630836646666e-295),Less (4.2114182763416603e-82),Less (3.2508209391341134e-62),Less (3.0487181141221825e-48),Less (1.663527203442062e-74),Less (1.3704429479422202e-37),Less (2.135510539627583e-67),Less (1.2725995793559408e-09),Equal (0.2440721939939482),Less (4.2828152060704996e-07),Less (4.475722204852262e-18),Less (0.0008005052803325586),Less (3.811735921801864e-125),Less (6.875723921963319e-35),Less (7.083878861434006e-71),Less (1.1276719689264894e-21),Less (6.164690377702076e-16),Less (1.0881960266105473e-09),Less (6.993119232624733e-18),Less (4.6852246680827974e-15),Less (2.415980566846558e-231),Less (0.0027415610905704674),Greater (1.0),Less (2.042956399252659e-05),Less (1.3689224748322033e-15),Less (2.932901696777912e-30),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (1.0811686107305509e-06),Less (0.0014392035936790894),Less (2.6389988437764785e-08),Less (9.711211527611002e-29),Less (5.958968871971992e-08),Equal (0.397912648589238),Equal (0.17956932553159743),Less (0.0025350646702741583),Equal (0.05390015986149351),Less (4.97244393703156e-42),Less (5.0443514458271036e-49),Less (3.186062846246863e-45),Less (1.9209290795105363e-16),Less (5.350919965746503e-11),Less (4.439797360519508e-13),Less (1.3861508638695331e-21),Equal (0.7882905578691657),Less (4.2244585632242486e-17),Greater (0.9918748257328228),Greater (0.9999999079549958),Equal (0.40014761958935274),Less (0.017608273584136358),Equal (0.055282945579800645),Less (1.7468141615697373e-36),Less (2.3826911165080374e-21),Less (3.6634412225328335e-32),Less (1.918900516641567e-05),Less (1.0751334946972331e-07),Less (5.5241630923208353e-05),Less (1.4112342943993695e-10),Greater (0.9999967737704836),Less (8.05391603025825e-13),Greater (0.9999999999994188),Greater (1.0),Greater (0.9999999977808176),Greater (0.9999992284619202),Greater (0.9966010073018483),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.18154626634963222),Greater (0.9782352766270284),Less (0.0008000369645348015),Greater (0.9788893728926407),Greater (0.9999999147933943),Greater (0.9998250969884415),Greater (0.9936098522511595),Greater (0.9982510478428904),Less (3.853196885042679e-05),Less (1.471122429142255e-09),Less (2.9114359503580713e-06),Equal (0.08836474707118441),Equal (0.802461661730614),Equal (0.12367402067621798),Less (0.00045580502289489365),Greater (0.99999998988795),Equal (0.05124100247167743),Greater (0.9999999999822234),Greater (1.0),Greater (0.999992436410642),Greater (0.9945271018728733),Greater (0.9999998751205728),Less (5.557600588251668e-08),Less (5.15763279253376e-10),Less (9.975610654591327e-11),Equal (0.994035464501432),Less (0.012692758927121432),Equal (0.09061741722432366),Less (9.195565515627438e-05),Greater (0.9999999999999999),Equal (0.291567042448853),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999991127),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.9853951845105388),Less (4.113643208116135e-07),Equal (0.9923895731954554),Greater (0.9998914163489279),Greater (0.9802163492227236),Equal (0.3644177330355375),Equal (0.16904148473174074),Less (1.9151762198569744e-09),Less (1.0699063808761327e-14),Less (4.903057250501942e-11),Less (0.0006218568179189468),Equal (0.05046991608568586),Less (0.0015819897457790234),Less (1.2915762300676974e-06),Greater (0.999913154567566),Less (0.00019600244787952229),Greater (0.9999996413187936),Greater (0.9999999999994409),Greater (0.9984552630897426),Equal (0.31787440013642376),Greater (0.9999435666391975),Less (3.696139598002546e-12),Less (9.167172893719078e-12),Less (2.3260565120683077e-14),Equal (0.20036599667211474),Less (0.0011109189078885749),Less (0.011350578967222507),Less (9.848264248161243e-06),Greater (0.9999999999781105),Equal (0.322327979260164),Greater (0.9999999999999999),Greater (1.0),Greater (0.9999999999999182),Greater (0.9999999999978625),Greater (0.9999999456207568),
property-full,,,,,,,,,,,,,,,,,,,,,,,Less (7.7567709660948e-24),Equal (0.8738058858220471),Greater (0.9999999998958606),Greater (0.9994965370912523),Equal (0.17687613529124468),Greater (0.9865334705478066),Less (9.862797381913573e-93),Less (4.851443615655372e-55),Less (8.647005295767306e-81),Less (2.288692779587344e-11),Less (0.0002870162246154292),Less (2.3881316811364546e-06),Less (3.1774845765853764e-16),Greater (1.0),Less (2.363225571284069e-09),Greater (1.0),Greater (1.0),Greater (0.999996827723792),Equal (0.09986548095774238),Greater (0.9999999629493107),Less (3.890927429863332e-37),Less (3.5074405560403173e-17),Less (2.451941989034388e-27),Equal (0.10020144294425452),Less (0.00011359728811951488),Less (0.004171170488061798),Less (1.2583174340454106e-07),Greater (1.0),Less (6.389486174684936e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999093),Greater (0.9999999999999966),Equal (0.28342515362015275),Less (4.753601256367322e-06),Less (0.020244200829956444),Equal (0.12923601222391864),Greater (0.9999532281347238),Equal (0.1512400169833713),Equal (0.2657123348923578),Greater (1.0),Equal (0.21303556568568427),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999940183),Greater (1.0),Less (5.3991736807210356e-05),Less (2.6309027906528127e-08),Less (2.4688136539855575e-08),Greater (0.9970133676496248),Equal (0.34014659213988574),Equal (0.5503507131692131),Less (0.0018398336187836369),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
