,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999996807),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999981490392977),Greater (1.0),Greater (0.9999999999302751),Greater (1.0),Greater (0.9995565298044015),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Less (4.170222126980901e-63),Greater (1.0),Less (3.0286421944275383e-69),Greater (1.0),Less (7.8114813557598e-103),Greater (1.0),Less (1.2494806236127781e-74),Less (2.7697074415077192e-12),Less (3.8467027640587765e-175),Greater (1.0),Less (2.2103526429050165e-72),Less (9.139877707458005e-127),Less (1.367168502456915e-262),Greater (1.0),Less (6.792178461393347e-78),Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Less (1.3643800607479006e-15),Greater (1.0),Less (7.598385638293913e-09),Greater (1.0),Less (1.0444879752103381e-22),Greater (1.0),Less (5.226542431058477e-39),Greater (1.0),Less (1.575812271048601e-25),Greater (1.0),Less (7.316887084146646e-73),Greater (1.0),Less (2.0825148412340824e-29),Equal (0.20999194173913005),
devops and cloud-executive,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Greater (0.9996590266544728),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Greater (0.9998182276824082),Less (0.0),Less (0.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999955567471026),Greater (1.0),Less (0.013156142968856933),Greater (1.0),Equal (0.08731611231277372),Greater (1.0),Less (0.00016728060044874762),Greater (1.0),Less (3.3736860898505665e-08),Greater (1.0),Less (3.7222716761174103e-06),Greater (1.0),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Less (4.579051818589592e-194),Less (0.0),Less (0.0),Less (2.5636392147000192e-55),Less (9.004916591117836e-167),Less (0.0),Less (0.0),Greater (1.0),Less (5.96168607474742e-177),Less (0.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (1.0),Less (6.102744744931133e-12),Greater (1.0),Less (3.0092068890598846e-16),Greater (1.0),Less (4.969281718511677e-16),Greater (1.0),Less (2.4192290975484155e-38),Greater (1.0),Less (3.8879090605753086e-19),Greater (0.9999999999999999),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Equal (0.445971089333963),Less (0.0),Less (0.0),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.308088171071498),Greater (1.0),Equal (0.12115561532253444),Greater (1.0),Less (0.009066414926366397),Greater (1.0),Less (0.008441259848122136),Greater (1.0),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (2.625085308653103e-129),Greater (1.0),Less (4.869656342994962e-56),Less (1.8282351629482564e-29),Less (1.1821435273902596e-202),Greater (1.0),Less (5.949282784415078e-62),Less (2.0555937647735218e-148),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.0035210615091388064),Greater (1.0),Less (1.3585419043292635e-06),Greater (1.0),Less (9.316358733660832e-05),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (1.8731026865982476e-89),Less (1.6015066001166818e-126),Less (2.2606959512022007e-265),Greater (1.0),Less (3.6554824063726206e-97),Less (1.5494371331898033e-199),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.5827852434242159),Greater (1.0),Equal (0.34150931228814585),Greater (1.0),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Less (4.839483067704747e-190),Greater (1.0),Less (1.5120470566252739e-58),Less (5.659152078567022e-65),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.5728390571577371),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
