,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Less (6.057705645856336e-134),Greater (1.0),Less (2.41878402965893e-71),Less (0.0),Less (8.114603195060433e-75),Greater (1.0),Less (7.439272483322625e-43),Less (0.0),Less (7.223766575432052e-128),Greater (1.0),Less (1.1876971685430772e-59),Less (0.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.4274208331478696),Greater (1.0),Equal (0.09963790032690417),Greater (1.0),Equal (0.7620678905779149),Greater (1.0),Less (7.924121572322613e-05),Greater (1.0),Equal (0.2055677709898448),Greater (1.0),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (2.2661082680648237e-170),Less (0.0),Less (2.1336817635549835e-163),Less (2.9752732688337466e-16),Less (5.480076573831037e-103),Less (0.0),Less (3.600311143637307e-253),Greater (1.0),Less (1.756368493204227e-133),Less (0.0),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.02186104320457793),Greater (1.0),Equal (0.7708062954346134),Greater (1.0),Less (7.201746338139131e-05),Greater (1.0),Equal (0.08875583706561493),Greater (1.0),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (3.728745582601937e-35),Greater (1.0),Less (5.013136526828901e-18),Less (8.611396126636992e-130),Less (3.2444343694512547e-65),Greater (1.0),Less (5.416831507612456e-28),Less (2.9095862158622564e-222),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.14040237972870495),Greater (1.0),Equal (0.10803579334947093),Greater (1.0),Equal (0.7469667462167338),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (9.710508121497398e-66),Less (0.0),Less (4.5458660271752545e-169),Greater (1.0),Less (1.1752083324717933e-86),Less (0.0),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.999999999999972),Less (0.0017527323634691163),Greater (1.0),Equal (0.19927035094300083),Greater (0.9999999999871204),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Less (6.607405255198511e-57),Greater (1.0),Less (7.770564996857537e-24),Less (2.418785221470733e-21),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9760345576939615),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.082397674057743e-160),Less (0.0),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
