,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999950356708691),Equal (0.5750454592096172),Equal (0.176919023390956),Greater (0.9940046126950647),Greater (0.9999986360906323),Greater (0.982577522086808),Greater (0.9999999927249509),Greater (0.9999997629732471),Equal (0.34902831490729014),Equal (0.09002025966079934),Greater (0.9999996179954405),Greater (0.9999961798265218),Greater (0.9902589461395935),Greater (0.999559445098115),Equal (0.09853939542060666),Less (9.19054896456342e-05),Equal (0.12520463391994785),Greater (0.9999999993449802),Greater (0.9999999998875426),Equal (0.1426923495107667),Greater (0.9978687052001028),Greater (1.0),Equal (0.4465058642050147),Greater (0.9999999999988219),Greater (0.9999999971727412),Greater (0.9999990048410444),Equal (0.7325815683167414),Greater (0.999999919654856),Equal (0.6678920572375611),Equal (0.0864761156911974),Equal (0.9033946093014463),Equal (0.18767260561111976),Greater (0.9761620683812122),Equal (0.524100409278227),Equal (0.19323357763155713),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (5.551849083273603e-20),Less (0.009535211884963363),Less (2.4333733620840693e-82),Less (2.3775198554076188e-46),Less (1.8057607376958673e-35),Less (5.842650745540472e-47),Less (0.0014553126809922138),Less (2.417828942744917e-09),Equal (0.10994744171210478),Less (6.496570459655105e-78),Less (4.462511073432628e-64),Less (5.519686947649454e-39),Less (1.507338463496906e-11),Less (0.0023681127222375535),Less (7.403584580891427e-10),Less (0.0007786770845653066),Less (3.5255102746388833e-99),Less (1.6785152586831918e-80),Less (4.926738465512941e-69),Less (5.581333245652668e-15),Less (0.018641656649239603),Less (1.4621195379632415e-10),Less (2.1862294695120204e-06),Less (3.5899447013530494e-37),Less (2.0218705123919626e-39),Less (4.47208407836514e-09),Less (3.85195422342081e-05),Equal (0.13029661485294253),Less (2.1386979934069737e-12),Less (0.0038750344436804963),Less (2.8043188868835015e-25),Less (8.235045577104249e-14),Less (6.663195783191166e-10),Less (1.9541257832283703e-05),Equal (0.2360875954017091),Less (0.0005494809201022148),Less (0.013454658519349997),Less (1.1371130359900129e-77),Less (4.7723333740432905e-133),Less (5.168696413300027e-58),Less (3.173439228117439e-101),Less (1.548759549763811e-10),Less (1.1592331635352244e-52),Less (1.6805661176819504e-05),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9999999999999999),Less (3.5556018551076217e-31),Less (1.2088141469699437e-22),Less (2.2319896926950104e-14),Less (3.809112250644644e-18),Equal (0.8511560104520699),Less (0.0008849096559997672),Equal (0.2500325194264399),Less (1.1191305628674e-28),Less (6.213444176681477e-29),Less (2.9536082113583666e-15),Less (0.005854891494179699),Equal (0.831204841484474),Less (0.0007725637754604382),Equal (0.4582375208264665),Less (5.9939205914838365e-43),Less (3.9570411753049133e-44),Less (2.2948568944081683e-33),Less (0.0018824575566421884),Equal (0.2400481473797631),Less (0.00018232586997290998),Less (0.020967022537407266),Less (2.018757369126784e-08),Less (1.6145825992649713e-17),Equal (0.345121949403426),Equal (0.708378659953808),Equal (0.42509090183002163),Less (2.7345243113531314e-06),Equal (0.8284251798170024),Less (1.7664099169997708e-11),Less (2.519489314395648e-08),Less (4.169043233269284e-05),Less (0.017790259012762648),Equal (0.9971541275606371),Less (0.00794673404831641),Equal (0.2710252951621942),Less (1.2166946137104376e-13),Less (8.238145028957458e-41),Less (4.0430445827557984e-08),Less (1.0271909936621269e-26),Greater (0.999999866376232),Less (2.349788810043473e-05),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (7.68067603794303e-89),Less (2.3834827971695862e-45),Less (1.4041103145351098e-32),Less (1.5914739571233735e-45),Less (0.006154404835561038),Less (1.6537205936408397e-08),Equal (0.3264316129251499),Less (8.857754061523834e-85),Less (6.679270582153071e-66),Less (9.229747487175036e-37),Less (8.66363376997924e-10),Less (0.00874717213558302),Less (6.941967345375048e-09),Less (0.005016108905666635),Less (3.652090296113046e-113),Less (1.6027515044383536e-83),Less (1.0627185403615268e-70),Less (4.663051156016883e-13),Equal (0.198452013398698),Less (1.786276764609765e-09),Less (1.2410525545761464e-05),Less (2.438637726385735e-35),Less (1.9493625339992676e-38),Less (1.159460007583579e-06),Less (0.0005786741964973228),Equal (0.2359848951402217),Less (3.372291238066262e-11),Less (0.015236553260722204),Less (1.7381681294910733e-23),Less (3.948332263999606e-13),Less (5.11124697640939e-09),Less (9.665039056111939e-05),Equal (0.3547088508068451),Less (0.001048939814766547),Less (0.018868116095364366),Less (1.6875338084729973e-101),Less (2.5780751328213523e-191),Less (9.119527529558178e-68),Less (3.599558637633864e-137),Less (3.8264316616390405e-06),Less (2.9448327506102627e-62),Equal (0.13001780138183244),
existence-executive-full,,,,,,,,,,,,,,,,Less (0.0030797927164435833),Equal (0.44183404297410633),Equal (0.7626053126685448),Greater (0.9997332440266761),Equal (0.43300784069681575),Greater (0.9999972232031218),Equal (0.6385982636318298),Less (0.019193707116973033),Equal (0.561676080234448),Greater (0.99895503637628),Greater (0.9994519301671321),Equal (0.3096641615926621),Greater (0.9896556792538652),Less (0.018530875934565594),Less (3.5294202309259567e-09),Less (0.00013471498905952455),Greater (0.9998830781193458),Greater (0.9999997543207362),Equal (0.8079164779873031),Equal (0.12245058571681612),Greater (0.9999940691554957),Equal (0.1342456942249629),Greater (0.999999634846752),Greater (0.9999880283420061),Greater (0.9999400233757038),Equal (0.21965752100803182),Greater (0.9999682296921889),Equal (0.2104778223817153),Less (0.004952629101354289),Equal (0.3968431038050415),Equal (0.5812055173173325),Equal (0.14271875095190414),Equal (0.25938432486141716),Equal (0.5009276464486061),Greater (1.0),Greater (0.9999967281690514),Greater (1.0),Greater (0.9999999668262861),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Equal (0.12292859499587279),Greater (0.9840700335439923),Greater (0.9999994503877226),Greater (0.9859885806019969),Greater (0.9999999948182073),Greater (0.9987393564138652),Equal (0.2785984406155785),Equal (0.09478156787140685),Greater (0.9999985317039334),Greater (0.9999979156373379),Greater (0.9946875885699908),Greater (0.9997421408469226),Equal (0.16026426074354183),Equal (0.054693675494027524),Equal (0.7910412719821429),Greater (0.9999998525070648),Greater (0.9999999995011778),Equal (0.07128657110809472),Greater (0.9978420667261504),Greater (0.9999999787393561),Equal (0.2847376863148675),Greater (0.9999999978763287),Greater (0.9999999763073942),Greater (0.9999997684533644),Equal (0.8894306080202561),Greater (0.999999974345785),Equal (0.4524403125197879),Equal (0.1599511797251597),Equal (0.7149256352866025),Equal (0.10281667217165104),Greater (0.9819869247324101),Equal (0.48297425701517716),Equal (0.155055756311299),Greater (0.9999999999995242),Greater (0.999999983637),Greater (0.9999999999967543),Greater (0.9999999880510404),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Equal (0.6136137296234424),Greater (0.9996804864759034),Equal (0.28626362795519344),Greater (0.9999927362113682),Equal (0.3306426422291139),Equal (0.4056165646438512),Equal (0.923743107839014),Greater (0.9990427273001947),Greater (0.9992860012286846),Equal (0.18028217847052275),Greater (0.9905801163420558),Equal (0.629325025629522),Less (0.00028787051523034),Equal (0.06971416336592383),Greater (0.9996994781183829),Greater (0.9999990134218728),Equal (0.5729448950308406),Equal (0.13096796278908476),Greater (0.9997979740596828),Equal (0.5408880127641641),Greater (0.9999938739796216),Greater (0.9999662156061778),Greater (0.9999324333502059),Equal (0.5028189684968188),Greater (0.999968753909259),Equal (0.5764357228497445),Less (0.019700431275431255),Equal (0.6400106412188504),Equal (0.41030675162142505),Equal (0.14333469720471986),Equal (0.335488101858459),Equal (0.461701347466532),Greater (0.9999996345360693),Greater (0.9986358955505927),Greater (0.9999996712152124),Greater (0.9997392134540234),Greater (1.0),Greater (0.9999999998740401),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (0.9996873816641215),Equal (0.3607390701981983),Greater (0.999995999970679),Equal (0.5178872710190169),Equal (0.16564155036256234),Equal (0.7786093367277178),Greater (0.9980366008489575),Greater (0.9995089069301277),Equal (0.27267593604583307),Greater (0.9901189613489011),Equal (0.21263070078278046),Less (2.398430305184775e-06),Less (0.0031700359625269165),Greater (0.9996395266558743),Greater (0.9999992559475287),Equal (0.7343007649096457),Equal (0.07886936575629447),Greater (0.9998403659463395),Equal (0.2794685555805727),Greater (0.9999945914731764),Greater (0.9999743250095721),Greater (0.9999163176727233),Equal (0.25702058171389897),Greater (0.9999536395549277),Equal (0.3476093329764137),Less (0.009588144008944208),Equal (0.4826670148603144),Equal (0.5694147246212969),Equal (0.12495629307059107),Equal (0.31412954311395547),Equal (0.4407217589846103),Greater (0.9999999934910431),Greater (0.9992473187383297),Greater (0.9999999941516409),Greater (0.9998950732132744),Greater (1.0),Greater (0.9999999999998794),Greater (1.0),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (0.015268611575246544),Equal (0.2547898535644617),Less (0.0005824713192623852),Less (4.597953267013129e-06),Less (0.0011463651265757942),Equal (0.20290973922115152),Equal (0.9255595392922449),Less (0.011413014247462954),Equal (0.7003942033576005),Less (6.93847921723206e-05),Less (5.190170776869519e-09),Less (1.6013947231051755e-05),Equal (0.19603435801032132),Equal (0.3032473679840091),Less (0.004914280191913416),Equal (0.15454296032692402),Equal (0.0873116274467829),Less (1.3080893630033943e-05),Equal (0.8966057977472927),Equal (0.9857817671363578),Equal (0.44561799048431394),Less (0.00028668992954832044),Equal (0.8146922028170691),Less (0.00013828636965132005),Less (8.74137066331049e-06),Less (0.0014062597841737882),Equal (0.10806259478037245),Equal (0.9209159608262404),Less (0.009389698493937513),Equal (0.3128048393799203),Equal (0.16212931379469997),Less (0.0025623968709393937),Equal (0.3657663802487129),Less (0.013473621553621997),Equal (0.14351000442942755),Equal (0.4402108312348125),Greater (0.9864114845490581),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9988597401268076),Equal (0.5739994728678606),Equal (0.0937080143428798),Equal (0.40898512550186017),Equal (0.24466837092007254),Greater (0.9854281829288755),Equal (0.8910966162951035),Equal (0.1851269112834294),Equal (0.15793107901002268),Less (0.00038792287025770993),Less (0.017425526059450993),Equal (0.23884665969258856),Greater (0.9988437506689658),Equal (0.719896636060249),Equal (0.47191095722862053),Equal (0.3279768159328108),Equal (0.14082398098483426),Greater (0.9764050035839043),Greater (0.9852817923222702),Greater (0.9957184387608958),Equal (0.1829223028239556),Greater (0.9948782565850662),Equal (0.18353673162950168),Less (0.0053506628203970515),Equal (0.2780615961159054),Equal (0.9686767899346213),Equal (0.22677650089359702),Equal (0.18567678104514596),Equal (0.7207979647439393),Equal (0.15052927858894646),Equal (0.7349039451029018),Equal (0.1228239518672992),Equal (0.556040273765736),Greater (0.9999914019788493),Greater (0.9854558741798897),Greater (0.9999998276638077),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (8.387324152156317e-06),Less (2.8046509001003597e-08),Less (3.7285203791261345e-05),Less (0.00802698597458596),Equal (0.3078593437936671),Less (0.0011072578728854407),Equal (0.21589382996997963),Less (6.242099370656962e-07),Less (2.2551039609900707e-11),Less (1.7119990403773076e-07),Less (0.00783252322257791),Equal (0.874150911278275),Less (0.0003482710737502672),Less (0.009893974856683795),Less (0.0018643450286822047),Less (1.2602353529821293e-07),Equal (0.18335262193083945),Equal (0.24106444918835168),Equal (0.811382344745654),Less (3.4993181277897704e-05),Equal (0.41624709488540834),Less (3.519756129334496e-06),Less (6.023498891996032e-07),Less (0.00014157208666392587),Less (0.010470553447774533),Equal (0.6974769750589327),Less (0.0036303325758824307),Equal (0.12807407526566247),Less (0.004309426903886509),Less (3.0003695917362125e-05),Less (0.01951039976863748),Less (0.00035762089695718556),Equal (0.9372641219254825),Less (0.020856003962758878),Equal (0.49402562824586405),
