,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (1.588395696052012e-52),Less (2.4571251846276068e-20),Less (2.0835493507791964e-90),Equal (0.27685422835209217),Greater (0.999999875099617),Equal (0.45337661637512483),Greater (0.999594525809683),Less (2.620586706048401e-45),Less (2.1375473687160417e-07),Less (6.442773124003134e-59),Equal (0.5823766808763506),Greater (0.9805170543021435),Equal (0.18572629062284374),Equal (0.7270889485051437),Equal (0.6107591179706117),Equal (0.16212563811819125),Equal (0.15537265047724783),Equal (0.5084144634767929),Equal (0.35437805266267597),Equal (0.08897208046740482),Greater (0.9951978299707809),,,,,,,,Greater (1.0),Equal (0.15014923290156318),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Greater (0.9998209596834542),Greater (1.0),,,,,,,,Less (0.0),Less (3.022118285846886e-98),Less (3.9053452961534804e-281),Less (4.135134413866347e-48),Less (1.993347740206559e-17),Less (2.9565473257706157e-15),Less (3.740217488923914e-17),Less (1.1140039833108914e-141),Less (1.857059589754926e-16),Less (2.36049633673815e-132),Less (4.4077932475005735e-07),Less (0.00037166062255363506),Less (0.007986984945676566),Less (0.0006383215014612649),Less (7.828661166784493e-18),Less (6.569144457126053e-05),Less (9.230413134697414e-09),Less (1.2177683076726644e-05),Less (0.017130122259735137),Less (0.0007594015225764435),Equal (0.49070406587145743),,,,,,,,Less (5.520360196493769e-180),Less (0.0),Less (2.2210953230386238e-268),Less (0.0),Less (1.5027132600842814e-07),Less (2.4907254184467e-43),Less (2.216734517415409e-17),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9999911200999057),,,,,,,,Less (2.7841100584004624e-298),Less (6.829631185145238e-98),Less (1.3690165405346626e-267),Less (2.4008460352675362e-51),Less (3.544980092036999e-21),Less (7.583587151255794e-17),Less (2.507434284759206e-20),Less (4.77682186016115e-140),Less (2.2906878037186535e-16),Less (1.9019171824906343e-129),Less (8.204737423344302e-08),Less (8.13307747656098e-05),Less (0.002722685900146837),Less (0.0004126340124223349),Less (1.738180491853589e-19),Less (5.904228427801997e-05),Less (3.0031968584431446e-09),Less (3.414840067445854e-06),Less (0.010002578646644467),Less (0.0005290836961708889),Equal (0.2932601023883661),,,,,,,,Less (3.289976354728616e-184),Less (0.0),Less (1.5235893293528141e-254),Less (0.0),Less (5.260547954223729e-19),Less (1.5369728451855632e-62),Less (2.4194921747891484e-34),
executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (9.687147964113965e-130),Less (0.0),Less (2.736236597517779e-71),Less (2.0225440228528666e-32),Less (2.0154007359161125e-23),Less (4.270176286641694e-30),Less (8.899298028009907e-183),Less (2.940399399389869e-19),Less (1.827740493083007e-161),Less (2.0776929622586077e-10),Less (1.107800474279362e-06),Less (0.0003295079189105644),Less (3.7408486181151346e-05),Less (7.548197267197858e-26),Less (5.966457159356162e-06),Less (2.588863959606122e-11),Less (3.14307046798635e-08),Less (0.0021276822993125423),Less (0.00016109736033970156),Equal (0.1480251978944956),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (6.791520888730407e-77),Less (1.7899364649451966e-186),Less (9.954458447483896e-121),
existence-executive-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property-full,,,,,,,,,,,,,,,,,,,,,,,Equal (0.13901708641735508),Less (7.396384109872575e-10),Greater (0.9997689411675538),Greater (0.9999999999999993),Greater (0.99981596077244),Greater (0.9999999996971484),Less (3.128318836730153e-08),Less (0.007832313556716621),Less (5.182579294874881e-16),Greater (0.9814710770461008),Greater (0.9996613590554839),Equal (0.09099030674662795),Equal (0.20740828560001057),Greater (0.9766772659768793),Equal (0.9689399042585582),Equal (0.8625590255893452),Equal (0.06261917595018773),Equal (0.11289039875117982),Equal (0.48751536522443684),Greater (0.9930897999019112),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Less (0.00977356101855256),Greater (0.999992057491914),Greater (0.9999999999999992),Greater (0.999985160131234),Greater (0.9999999999870878),Less (0.001256470050411497),Less (0.01695333199060961),Less (1.3522250531643004e-08),Greater (0.9972058238788397),Greater (0.9999777980487581),Greater (0.9836550348449228),Equal (0.10742652981631198),Greater (0.9968876322182034),Equal (0.7226412765502948),Equal (0.5460069105705398),Greater (0.9947616141879486),Greater (0.9779678074402772),Equal (0.5221596845459457),Greater (0.9979737539736695),,,,,,,,Greater (1.0),Greater (0.9999999999985918),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999545562),Greater (1.0),Greater (0.9999999727082234),Greater (1.0),Equal (0.24836024925444056),Equal (0.2704539347027205),Less (1.8023842554762867e-05),Greater (0.9994548546945424),Greater (0.9999956324948625),Greater (0.9898552062885044),Greater (0.9815598919731395),Greater (0.9999270983583178),Equal (0.4168292591708309),Equal (0.21285711330029145),Greater (0.9979238005100087),Greater (0.985473376387836),Equal (0.8991396298176064),Greater (0.9976745419064221),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999824946947266),Equal (0.20211889134210437),Greater (0.9991412640389283),Less (2.9337519531189264e-11),Less (7.754793719948548e-05),Less (4.200892056195549e-18),Equal (0.42586312063825915),Greater (0.987231322396884),Equal (0.21640526193994147),Equal (0.8267373870026016),Equal (0.944165296546502),Equal (0.37577294850127774),Equal (0.35448264949283015),Equal (0.41958608416407095),Equal (0.33398372137503485),Equal (0.19309267077766512),Greater (0.9903112098187542),,,,,,,,Greater (0.9999999978763989),Equal (0.3536460454728485),Greater (0.9985995701563227),Greater (0.9998206008473729),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.07505976346876284),Equal (0.4894102344203104),Less (1.3227672177577901e-23),Less (1.0048994060691867e-07),Less (1.3054945708025349e-30),Equal (0.17241821568248916),Equal (0.9063285571512896),Equal (0.7084364427117865),Equal (0.3369015095009309),Less (0.001924856577295605),Equal (0.05255936056049621),Less (0.004413581556602065),Equal (0.2419763885867171),Equal (0.8183106207064706),Less (0.02125204242241002),Equal (0.3059934219921925),,,,,,,,Equal (0.8698772427288295),Less (2.6492322406393414e-06),Less (0.013587708168623713),Less (0.006841340627353614),Greater (0.9999999999992273),Greater (0.9999977507742258),Greater (0.9999999999287661),
property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.2740538275644867),Less (5.589052295588857e-09),Less (5.1006141837557405e-05),Less (2.997848524188164e-13),Equal (0.9437054552164675),Equal (0.24177589913003128),Equal (0.6417273943172042),Equal (0.8875223779470139),Equal (0.29939284053526405),Equal (0.21968852155785112),Equal (0.1379170462537976),Equal (0.983714465498512),Equal (0.6477967314430144),Equal (0.11442552246056262),Equal (0.13435731572918647),,,,,,,,Greater (0.9857959006197842),Equal (0.35198884624558135),Equal (0.6335464294759061),Equal (0.46858212295042234),Greater (0.9999999999914593),Greater (0.9999998668765748),Greater (0.9999999999095069),
property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.4577568476715968e-17),Less (4.6563904038483644e-07),Less (1.5862500553945197e-23),Equal (0.3354081540809669),Equal (0.6748582658654938),Equal (0.9168019850323376),Equal (0.5278807563884498),Less (0.013063902865108014),Equal (0.08054793242349852),Less (0.012362267323410262),Equal (0.4362304094695041),Equal (0.9867791646518851),Equal (0.058792514971019665),Equal (0.19831649264680684),,,,,,,,Equal (0.2636949196800894),Less (0.0013519866009443103),Equal (0.3364496123418025),Equal (0.2619942657888964),Greater (0.9999999999993496),Greater (0.9999996775163734),Greater (0.9999999999748926),
existence-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.47437216893221346),Less (0.0036598145582234813),Greater (0.9998011261613076),Greater (0.9999989322849628),Greater (0.9936468928435744),Greater (0.991236716370188),Greater (0.9999819955466921),Equal (0.2949697966278746),Equal (0.1273379557834821),Greater (0.9991186637636339),Greater (0.9909117512982663),Equal (0.973251542025166),Greater (0.9983329512155917),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6752265575075607),Greater (0.9994723861614763),Greater (0.9999857692062357),Greater (0.9944561295672051),Greater (0.994485111628791),Greater (0.9993212364085193),Equal (0.1320060560099347),Equal (0.09354756425920896),Greater (0.9994229636288288),Greater (0.9956394509622378),Equal (0.7619954906272735),Greater (0.9982727528359852),,,,,,,,Greater (0.99999997880072),Greater (0.9999758141949097),Greater (0.9999955028224266),Greater (0.9999998824155462),Greater (0.9999999999999835),Greater (0.9999999999975105),Greater (0.9999999999999712),
existence-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999977967871867),Greater (0.9999999941754942),Greater (0.9990011432998244),Greater (0.999061102513186),Greater (0.9999999902620839),Equal (0.08070971796036054),Greater (0.9931852137115889),Greater (0.9999760665173749),Greater (0.998249059870239),Equal (0.6004630361294743),Greater (0.9995827618458628),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.2802322319779633),Equal (0.5007237206388453),Equal (0.8505253390845198),Equal (0.5150853715172157),Equal (0.23559889317739946),Equal (0.2330079099141431),Equal (0.9811650478432797),Equal (0.6100442776284485),Equal (0.17063655932592947),Equal (0.0919958451645398),,,,,,,,Equal (0.1442207398409262),Equal (0.674842730151755),Equal (0.6872778325222819),Equal (0.6136489850784845),Greater (0.9999862341645301),Greater (0.9995472171480708),Greater (0.9999750131814094),
existence-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6790336530202108),Equal (0.4420219019206528),Equal (0.05251615307173868),Equal (0.05684194997199441),Less (0.017936161815545908),Equal (0.28245877851557866),Equal (0.846062228889643),Less (0.02225364023199431),Equal (0.34207617947525626),,,,,,,,Equal (0.9919342382501957),Equal (0.058278294231215694),Equal (0.35111272755205747),Equal (0.2938780648969205),Greater (0.9967311476866075),Equal (0.08237908611404611),Greater (0.9929708006621385),
existence-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.7151478389858907),Equal (0.26525162821807935),Equal (0.16585547102146858),Equal (0.20265850907056415),Equal (0.4298295464785201),Equal (0.9080354803680852),Equal (0.13431216426002415),Equal (0.38271968123772904),,,,,,,,Equal (0.7291098550488855),Equal (0.40884066521715745),Equal (0.8162569804179971),Equal (0.6864638289859941),Greater (0.9814359591423366),Equal (0.1421605872550455),Equal (0.05134676203045011),
existence-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.7560273084713371),Equal (0.4678753907501384),Equal (0.3903209382477745),Equal (0.7426300027346403),Equal (0.6308853942036499),Equal (0.2794930146326887),Equal (0.21785170335852178),,,,,,,,Equal (0.30551664479251595),Equal (0.85045863916146),Equal (0.7297087181400155),Equal (0.5393418351428974),Greater (0.9969644830656621),Greater (0.9826571712629294),Greater (0.9952870991501737),
executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.45316981885590213),Equal (0.40718880978082306),Equal (0.5273559877611618),Equal (0.35817958320511023),Equal (0.24150292664714823),Greater (0.9768279229976866),,,,,,,,Greater (0.9996029617601097),Equal (0.6085641067978765),Equal (0.08317616356681594),Greater (0.9764014069554842),Greater (0.9999999999999699),Greater (0.9999999995342713),Greater (0.9999999999998185),
executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.9693703579329879),Equal (0.1750375503095436),Equal (0.16940363939841874),Equal (0.4216498419535054),Greater (0.9861957943807398),,,,,,,,Greater (0.9754670626636873),Equal (0.33209597315412376),Equal (0.17958947190940233),Equal (0.09812076986922158),Greater (0.999637633745943),Greater (0.9983161897469432),Greater (0.9995798918916194),
executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.25252377928638325),Equal (0.22097756609176678),Equal (0.6397810944737914),Equal (0.052633688415332364),,,,,,,,Greater (0.9971541379006285),Equal (0.21177309953786982),Equal (0.06464521298551852),Greater (0.9820161775240248),Greater (0.9999997451595259),Greater (0.9999894766712621),Greater (0.999999431707878),
executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.625413020823329),Equal (0.10306121335654864),Equal (0.050995124483013035),,,,,,,,Equal (0.22361186478828599),Equal (0.6818839643690093),Equal (0.7454963579420315),Equal (0.7353472507101535),Greater (0.9998147339497838),Greater (0.997627412293043),Greater (0.9997552934083492),
executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.10099700456609574),Equal (0.251295672448402),,,,,,,,Equal (0.7918750567867759),Equal (0.44464219805229266),Equal (0.7917167152407667),Equal (0.771222823021797),Equal (0.08327533886206213),Equal (0.21164987658904744),Equal (0.09983956644075859),
executive-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.08537143425617776),,,,,,,,Greater (0.9764118758999178),Equal (0.1856664431694679),Equal (0.12829025206709443),Equal (0.06640572873336452),Greater (0.9984868823380361),Greater (0.9956568841391294),Greater (0.9982008812120258),
executive-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.31897268495388764),Equal (0.05724838813101087),Equal (0.17114037741269328),Equal (0.08505146435283481),Equal (0.7018622190010986),Equal (0.8836794778341902),Equal (0.8377007355451906),
existence-executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
