,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (0.022984135917469572),Less (7.586376504232322e-18),Less (5.732348333183559e-15),Equal (0.05778991773052267),Greater (1.0),Greater (0.9999896124080472),Greater (0.999999999999998),Less (1.4567396357408238e-11),Less (2.3881498801792802e-08),Less (5.627080040649769e-55),Equal (0.44977625570369817),Greater (1.0),Equal (0.25704276961599093),Greater (1.0),Less (6.309175464731271e-71),Less (1.6524069426543886e-41),Less (3.0822452858377007e-144),Equal (0.1455172577690787),Greater (1.0),Equal (0.10803816111148205),Greater (0.9999999983619183),Equal (0.13859622691854337),Less (1.4797224870730339e-09),Equal (0.7216876892811626),Greater (0.9985130753145363),Greater (1.0),Less (1.8292324560237224e-12),Greater (1.0),Less (1.2177060556775626e-10),Less (1.2758830844199267e-08),Less (1.5965290901808299e-15),Equal (0.7644645465635849),Greater (0.9990176460339651),Equal (0.08490832854862693),Equal (0.6488039587728462),Greater (1.0),Greater (0.9824718606593077),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (7.531812512396539e-52),Less (1.7049359760428766e-07),Less (0.0),Less (2.4545719754664008e-132),Less (1.0925284207953531e-216),Less (0.0),Less (7.145800735698138e-36),Less (2.916873795269763e-28),Less (7.689804115593693e-22),Less (0.0),Less (6.068366171510975e-177),Less (0.0),Less (2.257967093472179e-71),Less (1.5948492026465595e-28),Less (9.956638965461678e-49),Less (4.091494713928466e-24),Less (0.0),Less (2.6544951672406023e-217),Less (0.0),Less (1.338281080910233e-93),Less (5.03560495306687e-43),Less (4.256813829216795e-36),Less (4.512166733590015e-42),Less (2.8696926642061228e-269),Less (4.874190689562346e-104),Less (1.328044864334214e-92),Less (1.2671000730807418e-69),Less (2.281432337368227e-15),Less (2.0839013350715167e-58),Less (6.80500192209685e-11),Less (1.5723149837064088e-153),Less (4.3004483286534265e-27),Less (1.323059317785498e-70),Less (4.0932205753206706e-54),Less (8.901035982713447e-06),Less (8.561153353290327e-08),Less (1.2931180148489613e-10),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (4.608649542472073e-103),Less (1.7812271214553752e-233),Less (1.384278447612257e-144),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Less (9.370476346035044e-96),Less (8.49652323490725e-146),Less (0.0),Less (2.11834432873245e-15),Less (6.150048476363585e-15),Less (2.842196059851085e-09),Less (0.0),Less (3.2457525094495976e-118),Less (1.1338767572283437e-287),Less (1.262987303125607e-43),Less (1.0048666389731565e-10),Less (3.9727475450911445e-28),Less (5.7228621489270195e-09),Less (0.0),Less (5.365575507837083e-160),Less (0.0),Less (1.355802441524727e-56),Less (1.9224580497488166e-18),Less (9.011543350783582e-21),Less (4.714528908299771e-20),Less (5.444584410064582e-159),Less (1.6538264327739467e-71),Less (1.1021260738497237e-55),Less (1.7559152026229503e-40),Less (2.0172906866393253e-06),Less (1.8804117797802136e-42),Less (0.0004400281210252069),Less (2.74062082375457e-106),Less (6.1409142807526115e-21),Less (7.659651172736328e-53),Less (6.839715247357813e-36),Less (0.003223028457410057),Less (5.956824139060025e-06),Less (1.8388044407909133e-07),Less (8.863738668728558e-271),Less (0.0),Less (0.0),Less (0.0),Equal (0.13534237587126643),Less (3.357627807673711e-39),Less (5.600824259792637e-08),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (1.6720514959306968e-131),Less (2.1860592010154373e-208),Less (0.0),Less (1.492561890964734e-32),Less (1.2077171357593868e-26),Less (1.0390079422364842e-19),Less (0.0),Less (5.557442294160708e-175),Less (0.0),Less (4.5535155950335345e-69),Less (8.865152959513411e-24),Less (3.844012685227999e-45),Less (1.0670738735865058e-20),Less (0.0),Less (1.7113478569048182e-214),Less (0.0),Less (8.116215929062467e-92),Less (8.209333860179047e-38),Less (1.5082530208486759e-33),Less (1.5222058179692024e-37),Less (1.3390436351084824e-260),Less (1.569697880149584e-101),Less (1.1170188426825628e-85),Less (5.753973486410207e-68),Less (2.110453811877459e-14),Less (4.149813624390037e-56),Less (1.0835970991382922e-09),Less (1.5019562932153097e-152),Less (2.619750223286297e-26),Less (4.641770091875541e-69),Less (3.1702651142331754e-55),Less (1.8858122142040424e-05),Less (1.9511870654791155e-07),Less (1.5720590153303565e-10),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.7763052253365285e-64),Less (8.184880051037182e-198),Less (2.3166732284961265e-106),
existence-executive-full,,,,,,,,,,,,,,,,Less (7.688514029752538e-12),Less (1.5669622457778893e-08),Equal (0.4857824565285358),Greater (1.0),Greater (0.9999942990341435),Greater (0.9999999999999925),Less (0.0029507099127733865),Less (0.00014841858748268797),Less (6.520082292794739e-28),Equal (0.19164628924635108),Greater (1.0),Equal (0.0685894758550597),Greater (1.0),Less (4.228031115562154e-25),Less (6.3358899053391096e-27),Less (1.085820251759123e-71),Equal (0.052741089155176175),Greater (1.0),Greater (0.9822555026679871),Greater (0.9999999997679789),Greater (0.9959278536902431),Less (7.90931402700792e-06),Equal (0.6009622770017383),Greater (0.9995115743838872),Greater (0.9999999999999998),Less (1.9381671835814286e-08),Greater (0.9999999999999997),Less (1.012712254702557e-06),Less (1.7540316512118495e-06),Less (3.93826097127736e-11),Equal (0.9756122982108059),Greater (0.9990499558570723),Equal (0.15968708502772566),Equal (0.8334286104278581),Greater (1.0),Greater (0.9998073787071641),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Equal (0.08583862502404997),Greater (0.9999999999993922),Greater (1.0),Greater (0.9999999999997158),Greater (1.0),Greater (0.9999992322266438),Greater (0.9993530596779797),Equal (0.8582911024975208),Greater (0.9999999529562053),Greater (1.0),Greater (0.9999999754130938),Greater (1.0),Equal (0.0675716773926142),Equal (0.09097847534371012),Less (0.007383633320887188),Greater (0.9999999996173019),Greater (1.0),Greater (0.999999881682385),Greater (1.0),Greater (0.9999999999992959),Equal (0.06215271234917684),Greater (0.9999953054939844),Greater (0.9999999999999839),Greater (1.0),Equal (0.5062655865135945),Greater (1.0),Greater (0.9807741017157982),Equal (0.08144195744321917),Equal (0.12212334565433342),Greater (0.9999960919056292),Greater (0.999997810623344),Equal (0.9970267535449082),Equal (0.08821635574650373),Greater (1.0),Greater (0.9999999999999584),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Greater (0.9999999297306553),Greater (1.0),Greater (0.9999999979757913),Greater (1.0),Greater (0.9999112015444629),Equal (0.1322113458927429),Equal (0.054871551048535756),Greater (0.9999633385145693),Greater (1.0),Greater (0.9999918523070985),Greater (1.0),Equal (0.9020888915079496),Less (7.894583257970982e-05),Less (4.1654359015981125e-08),Greater (0.9999990440909533),Greater (1.0),Greater (0.9999705506614925),Greater (0.999999999999991),Greater (0.9999999997993485),Equal (0.8191180352556637),Greater (0.9996797516543924),Greater (0.9999999979809086),Greater (1.0),Equal (0.07762750578273453),Greater (1.0),Equal (0.8245223008610378),Less (0.011720178606714895),Less (0.003092876835377509),Greater (0.9955461081400939),Greater (0.9998571013612634),Equal (0.7191150045428636),Equal (0.3541306181427468),Greater (1.0),Greater (0.9999999999996811),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999997866371333),Greater (1.0),Less (0.01108800626639676),Less (0.0001566437199731321),Less (5.102872025265e-26),Equal (0.0750278167687764),Greater (1.0),Greater (0.9774237113036662),Greater (1.0),Less (4.0078197009224275e-19),Less (1.0163531376598653e-28),Less (1.3352850011441252e-62),Greater (0.9937602290003807),Greater (1.0),Greater (0.993770759025379),Greater (0.9999999999957806),Greater (0.998493273713127),Less (6.734493357715365e-07),Equal (0.33692667531871123),Greater (0.9999093766233214),Greater (1.0),Less (1.579189059022788e-10),Greater (1.0),Less (7.432902685839863e-07),Less (6.287507554388158e-08),Less (4.3912090036608504e-13),Equal (0.7760092483615777),Greater (0.9998908114303042),Equal (0.11863727482232525),Equal (0.9207006752964029),Greater (1.0),Greater (0.999651172211782),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.08488674804089977),Equal (0.6686761481435977),Less (1.9408363592716752e-17),Less (5.239422633976155e-19),Less (2.0441346210186373e-31),Less (2.0252103329571747e-07),Equal (0.3711793433411139),Less (7.139465582684971e-05),Equal (0.26184614401253725),Less (2.847161365468066e-28),Less (7.689218103657233e-36),Less (1.9469338605760376e-45),Less (6.130068118261152e-08),Equal (0.7145381914601678),Less (0.000809559508315574),Equal (0.21880665325650073),Less (2.3995833709951446e-10),Less (7.375646639371352e-18),Less (4.71083821973069e-08),Less (1.4978959108624945e-05),Equal (0.29423356972655856),Less (7.556830105702561e-17),Equal (0.09802401616677993),Less (1.9388828351364316e-21),Less (3.465661857247872e-11),Less (2.85562814632965e-20),Less (2.449273401339549e-09),Equal (0.9622524350291982),Less (0.002185010471386594),Less (0.003044603469024247),Equal (0.33304505221508196),Less (1.8347621051591229e-13),Less (2.9050608728722707e-05),Less (4.292919548386542e-05),Greater (0.9999999999999888),Greater (0.9999986226607234),Greater (0.999999999998809),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9752400431128593),Less (2.0033729804010133e-06),Less (3.1721024750976305e-08),Less (4.488846095835567e-14),Less (0.004570870940235965),Greater (0.987848398425635),Equal (0.05933498510165606),Greater (0.9939001255198835),Less (2.2008938752699064e-11),Less (2.1105114884435704e-18),Less (6.369934598583405e-21),Less (0.004912593383020152),Equal (0.18954122055941136),Equal (0.15932296930611134),Equal (0.6287282275254378),Less (0.001618699649429603),Less (2.4597345229895445e-09),Less (0.001501280738096189),Equal (0.08943878043112326),Greater (0.9959458621921274),Less (5.999101088988221e-11),Greater (0.9989583517750157),Less (5.505008138936026e-10),Less (9.433923096716099e-09),Less (3.9108807741477947e-13),Less (0.0003029066069087467),Equal (0.35559135542190945),Less (0.008467446406271444),Equal (0.06264123041617943),Equal (0.21642796172730605),Less (0.000418580600917704),Equal (0.2446310182194038),Equal (0.46394605319280824),Greater (0.9999999999999645),Greater (0.9999999786547815),Greater (0.9999999999996354),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (7.45944446909981e-14),Less (3.470012186512334e-16),Less (2.2168920680220433e-24),Less (3.419135918475863e-07),Equal (0.7211234899577477),Less (5.884354809281077e-05),Equal (0.5690540290223968),Less (1.9743691059336956e-21),Less (1.1956195646139397e-29),Less (6.105671518178736e-34),Less (1.4563690555596953e-07),Equal (0.44584918475723967),Less (0.0005473919863001008),Equal (0.1318312788535635),Less (5.953870468754425e-09),Less (2.685315318093367e-16),Less (1.668930826244658e-07),Less (1.0817816543541485e-05),Equal (0.5318178956472381),Less (4.702710106378659e-16),Equal (0.2276905249183595),Less (1.426518386234396e-18),Less (1.9279116884930166e-11),Less (3.1850894074279494e-19),Less (2.340201112793742e-09),Equal (0.8423498745596183),Less (0.001257502975442224),Less (0.001796955205730739),Equal (0.18712511883908522),Less (9.63409513604516e-11),Less (8.464290708294948e-05),Less (9.896603357382973e-05),Greater (0.9999999882135728),Greater (0.9993843239003348),Greater (0.9999998104167093),
property-full,,,,,,,,,,,,,,,,,,,,,,,Equal (0.09283422010002512),Less (6.182814379153698e-15),Greater (0.9796404480871874),Greater (1.0),Greater (0.9952347922941683),Greater (1.0),Less (1.4404570467846907e-11),Less (2.424616358689224e-16),Less (2.9739143727072626e-43),Greater (0.9974391609916282),Greater (1.0),Greater (0.9937993022781599),Greater (0.9999999999327502),Greater (0.9999814091643472),Less (0.007626070504512639),Equal (0.2482152588541644),Greater (0.9999891934566006),Greater (0.9999999999999525),Less (4.4478102408352574e-05),Greater (0.9999999999999721),Less (0.0022295995606478602),Less (0.0001786278692135642),Less (3.395603939228325e-07),Equal (0.3218886264068419),Greater (0.9982429262737487),Equal (0.3148278782028934),Equal (0.9159223983991082),Greater (1.0),Greater (0.9999999997764365),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
