,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.6127063699465132),Less (0.0005498128128374844),Equal (0.28911945856710153),Greater (0.9879284253579478),Greater (0.9993872654825751),Equal (0.17182887733491636),Equal (0.3665801664880569),Less (0.0006010892856721264),Less (0.009993785297178882),Less (1.5256286047181663e-06),Greater (0.9768061015569939),Equal (0.1403227178035351),Equal (0.0978519851303211),Equal (0.22781627322324716),Equal (0.4442490128085118),Equal (0.7765335041370045),Equal (0.8405088535515788),Equal (0.8301474177008363),Greater (0.9828473609864785),Equal (0.07144114058254304),Equal (0.07135610059166067),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Equal (0.07819528090601735),Greater (0.9999819138467414),,,,,,,,Less (7.666998949625719e-40),Less (1.1742593318816606e-38),Less (2.452949798105713e-24),Less (2.8169723469051885e-07),Equal (0.09433553921826605),Less (0.003532834780670764),Less (4.436260033035941e-05),Less (5.92103188961374e-22),Less (5.5009949300155596e-09),Less (5.2047149584284046e-20),Equal (0.16367317755330524),Equal (0.46117039630782897),Equal (0.7296878127769948),Equal (0.09771127517604206),Less (0.000695032798225124),Less (0.004784677015244798),Equal (0.0626924056191311),Equal (0.25318533912836616),Equal (0.20679728416671195),Less (0.004258934493126067),Equal (0.7700344400571735),,,,,,,,Less (1.14540517346021e-19),Less (9.657120324498614e-41),Less (2.4522159348654434e-14),Less (1.399268007772846e-30),Equal (0.6550845661852687),Less (1.0394494863101052e-11),Equal (0.10155812746245038),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9999999983169516),,,,,,,,Less (1.0830694902403577e-26),Less (2.8698467420937883e-27),Less (1.2755626383758114e-16),Less (0.00010164352114703719),Equal (0.40336138123373266),Equal (0.061594358688811544),Less (0.001905733338108637),Less (2.8865007186175587e-16),Less (1.0128609690785969e-06),Less (6.945341515937388e-16),Equal (0.36046221186235405),Equal (0.8411085109767332),Equal (0.6391233327636161),Equal (0.1503774377093595),Less (0.008648588561031487),Less (0.016818214080512588),Equal (0.16530348334899903),Equal (0.32478964139178423),Equal (0.18038775419758035),Less (0.012016748748027394),Equal (0.9113043397658442),,,,,,,,Less (8.967273883997338e-10),Less (3.668974105502144e-24),Less (1.4791307524599015e-06),Less (2.5427155460574608e-17),Greater (0.9986861330151773),Less (3.3405174464011166e-05),Greater (0.9999823682626444),
executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (7.975774602307639e-74),Less (3.132674080427098e-55),Less (5.4811303269326156e-39),Less (1.0571280925824987e-11),Less (0.0029654352426517617),Less (0.00022867639749838962),Less (2.0674394089798474e-06),Less (1.370401478963485e-29),Less (6.441791940656576e-10),Less (1.264855503877062e-24),Less (0.009546323486624313),Equal (0.3698780483636861),Equal (0.8250424714461508),Equal (0.10493476841159914),Less (3.403137335344821e-05),Less (0.001448300507110233),Less (0.011034117419234019),Equal (0.1125876966730699),Equal (0.2776403407331067),Less (0.003685376184207848),Equal (0.5606899885843507),,,,,,,,Less (1.23727320411735e-67),Less (1.957360270195233e-123),Less (6.299219495357385e-47),Less (5.6401998354941734e-92),Less (2.3927132257167847e-06),Less (3.280744409425997e-48),Less (0.00019059121114484495),
existence-executive-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.005373381073776961),Equal (0.602150673407913),Greater (0.9826011006921499),Greater (0.9985687405492824),Equal (0.1528486808717923),Equal (0.3706885098852334),Less (0.004359849061713789),Equal (0.05302019788038818),Less (2.52576036531497e-05),Equal (0.053636866152274636),Equal (0.15201806114748034),Equal (0.1322954215744115),Equal (0.2957899511985099),Equal (0.4010319095191188),Equal (0.7664337558177754),Equal (0.7765344811471797),Equal (0.9247570290388012),Greater (0.9812858582073957),Equal (0.18253115639530149),Equal (0.0918158360055528),,,,,,,,Greater (1.0),Greater (0.9999999998304742),Greater (1.0),Greater (0.99999999998731),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.11910623094983198),Greater (0.9999093608899029),Greater (0.9999902842932173),Greater (0.9944511129163367),Greater (0.9830903278514599),Equal (0.39129276405040836),Equal (0.2450837853337584),Less (0.0027579096475846034),Greater (0.9984458317074292),Greater (0.9764659349705164),Greater (0.9792092444346159),Equal (0.27503342572518197),Equal (0.06291317064126149),Equal (0.8135823783927313),Equal (0.3914480478789938),Equal (0.6236224580097618),Greater (0.9924231992623753),Equal (0.24231248639283076),Greater (0.9902434300933258),,,,,,,,Greater (1.0),Greater (0.9999999999993457),Greater (1.0),Greater (0.9999999999971917),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9793648666778046),Greater (0.9976189571775363),Equal (0.15423372614246353),Equal (0.31418347532195445),Equal (0.057787911159969056),Equal (0.1264835819896431),Less (0.0004274166679728918),Equal (0.057676474922599794),Equal (0.1397721072637531),Equal (0.17169823506879522),Equal (0.3901193282850166),Equal (0.37773381683835705),Equal (0.8607572880068372),Equal (0.7577877214037863),Equal (0.941654096767246),Greater (0.9771198704977709),Equal (0.2701817648264627),Equal (0.1194099476612728),,,,,,,,Greater (0.9999999998624092),Greater (0.9999925172984477),Greater (0.9999999998935104),Greater (0.9999988376895249),Greater (1.0),Greater (0.9999999999999853),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.16762659488941112),Equal (0.8163189204245401),Equal (0.6441388070017259),Less (0.0003192791382780297),Less (0.00284178467282166),Less (5.3519088667058556e-06),Equal (0.4348081360998135),Equal (0.4454613815619167),Equal (0.28000414563975773),Equal (0.229562232136297),Equal (0.860694266788266),Equal (0.40778664449524415),Equal (0.8160661034786443),Equal (0.857562148462872),Equal (0.0783212865136024),Equal (0.08979516161314686),Equal (0.24258254497969123),,,,,,,,Equal (0.18261354872812496),Equal (0.9542208811128648),Equal (0.13472982360391592),Equal (0.7799025828258661),Greater (0.9999998288326124),Greater (0.9882651701888516),Greater (0.9999999923263335),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.36319719703476394),Equal (0.10443622031977565),Less (6.66035820062704e-05),Less (0.0003548578854875398),Less (1.964285967758882e-06),Equal (0.8220440908778872),Equal (0.9111518341638203),Equal (0.5001577507411716),Equal (0.17011335623125623),Equal (0.19104661592600714),Equal (0.12553084504060757),Equal (0.30419056968428393),Equal (0.5167965498024896),Equal (0.12545908880719864),Less (0.013676263410343302),Equal (0.5869148111988381),,,,,,,,Equal (0.39628863114966606),Equal (0.05736894631020507),Equal (0.585803079618002),Equal (0.12012470953685381),Equal (0.09872166326808879),Equal (0.7795447599690475),Greater (0.9758638783277109),
property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5632435754136035),Less (0.008461356097118561),Less (0.009761442147010144),Less (0.000493235646386247),Equal (0.6244701473175325),Equal (0.5207735049354283),Equal (0.26552643299450174),Equal (0.29833101015930485),Equal (0.7325378959447949),Equal (0.28711336920437913),Equal (0.8029627591320823),Equal (0.7571252153355901),Equal (0.08438214362081818),Equal (0.10042688217343398),Equal (0.32337437708096184),,,,,,,,Equal (0.6351263446848028),Equal (0.74362117595197),Equal (0.5366649322503723),Equal (0.9454027249696692),Greater (0.994005854555594),Equal (0.33743008960969245),Greater (0.9973117955489519),
property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.018634495180638717),Less (0.011640198530318122),Less (0.0009018796502685524),Equal (0.2848844377402786),Equal (0.34733865577796696),Equal (0.11422040656550753),Equal (0.15886976087588167),Equal (0.9861227608925909),Equal (0.40358716619668344),Equal (0.9346201970811275),Equal (0.8356142218203552),Greater (0.9790889647931631),Equal (0.06835725445357049),Equal (0.10422428454353765),,,,,,,,Equal (0.20943542962031314),Equal (0.5780550725908047),Equal (0.18504435714337386),Equal (0.5840818388513086),Greater (0.9996442257798038),Equal (0.06473370561961006),Greater (0.9999064591254354),
existence-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6404306932481825),Equal (0.09174344291971187),Greater (0.9971037298926617),Equal (0.05212961973983212),Equal (0.08676519813551245),Equal (0.4856660426594964),Equal (0.05566311896863784),Equal (0.5871115273076964),Equal (0.3806926058637058),Equal (0.5783095072390927),Greater (0.9863261644096876),Equal (0.4494469521867671),Greater (0.9778633110072666),,,,,,,,Greater (0.9999999999510764),Greater (0.9999999743001802),Greater (0.999999999739278),Greater (0.9999999831999814),Greater (1.0),Greater (0.9999999999998984),Greater (1.0),
existence-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.4466192587492973),Greater (0.9976226479957474),Greater (0.9819068064671971),Equal (0.05544799259101821),Equal (0.5634585183431932),Equal (0.050567451340477076),Equal (0.383602963321766),Equal (0.3207632417511125),Equal (0.4352029272266448),Greater (0.9938720159208243),Equal (0.5360161961965234),Greater (0.9901848982060807),,,,,,,,Greater (0.9998677900284647),Greater (0.9994162567399248),Greater (0.9997377337724666),Greater (0.9993576029871628),Greater (0.9999999144764256),Greater (0.9999770013530896),Greater (0.9999999837004783),
existence-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9997790229624333),Greater (0.9931794306064946),Greater (0.976682007053031),Equal (0.700283203098889),Greater (0.9978253391642602),Equal (0.22717908698935918),Equal (0.12799312183634726),Equal (0.3437077543825221),Greater (0.9912088823147202),Equal (0.8431564696486568),Greater (0.991632902121895),,,,,,,,Greater (0.9999999999945189),Greater (0.9999999997408027),Greater (0.999999999939292),Greater (0.9999999997106537),Greater (1.0),Greater (0.999999999999933),Greater (1.0),
existence-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.7616447594310604),Equal (0.46345795488058295),Equal (0.1452134677930374),Equal (0.3672724458394052),Equal (0.23363665723933436),Equal (0.4271853200684306),Equal (0.6223419385296316),Equal (0.1892566846350613),Equal (0.05861338352281694),Equal (0.5832676991135515),,,,,,,,Equal (0.7431720409294826),Equal (0.31173884393365847),Equal (0.8639269049886901),Equal (0.3959338555162979),Equal (0.15329863786270495),Equal (0.9290090806149907),Equal (0.09057389761187686),
existence-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6427373413860185),Equal (0.2948019919337048),Equal (0.365936353882764),Equal (0.20467147687776732),Equal (0.43784040768677845),Equal (0.4391407081878337),Equal (0.35438318629807475),Equal (0.06352488809029058),Equal (0.5933966200428358),,,,,,,,Equal (0.6270508731842279),Equal (0.3985423248389155),Equal (0.6965199498432588),Equal (0.42852409683766923),Equal (0.6133366233525084),Equal (0.8112505107488099),Equal (0.5803991478458205),
existence-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5),Equal (0.29401079219016824),Equal (0.20427121405054371),Equal (0.37401267511449543),Equal (0.6285714285714286),Equal (0.5065551690490403),Equal (0.07652250047505922),Equal (0.6527828452619114),,,,,,,,Equal (0.3487043985908215),Equal (0.18419295046135864),Equal (0.4293477100049734),Equal (0.2608498094101347),Equal (0.8562050120222815),Equal (0.4377765035635163),Equal (0.9505449561905127),
existence-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.37469066829432907),Equal (0.42814361875928675),Equal (0.625),Equal (0.8),Equal (0.5),Equal (1.0),Equal (0.3333333333333333),,,,,,,,Equal (0.18959717544024568),Equal (0.1879026824656137),Equal (0.2337054403346871),Equal (0.19802126494763383),Equal (0.1265652835542863),Equal (0.17538648798665235),Equal (0.11386850898535492),
executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6017991106180506),Equal (0.8797602650017904),Equal (0.8541786254701075),Equal (0.07756843153582312),Equal (0.15238242525972093),Equal (0.311613963485328),,,,,,,,Equal (0.2981702771592806),Equal (0.7872914973424856),Equal (0.27288560955203456),Equal (0.5874188804465337),Greater (0.9990128375224167),Equal (0.13148634660725667),Greater (0.9996492741496571),
executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8027735567824104),Equal (0.9435660761939176),Equal (0.10783443436057366),Equal (0.3512154575046714),Equal (0.09794806866288161),,,,,,,,Equal (0.16123543752948322),Equal (0.24544418791067202),Equal (0.17409020969078848),Equal (0.29989055584934343),Greater (0.9921361572438572),Equal (0.09345558108545199),Greater (0.9949614793680449),
executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.9613003095975232),Equal (0.10956134937042819),Equal (0.343003408445268),Equal (0.45795410781152823),,,,,,,,Equal (0.48758431227931986),Equal (0.8323294786528715),Equal (0.4656164294974531),Equal (0.6249406521768446),Equal (0.06353661737122243),Equal (0.35898403430587555),Greater (0.9775416313183837),
executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.22857142857142856),Equal (0.21179837830572268),Equal (0.5555555555555556),,,,,,,,Equal (0.5763501286221274),Equal (0.7702802018651392),Equal (0.5531858676461379),Equal (0.7164128177655589),Equal (0.20261118026110736),Equal (0.48385830284986553),Equal (0.1577400572639539),
executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.07652250047505922),Equal (0.17711262976673237),,,,,,,,Equal (0.08388397034122515),Less (0.021008721716577666),Equal (0.11157194935538542),Equal (0.0662998497207797),Equal (0.2326405585151443),Equal (0.10573363893276522),Equal (0.2369998594228333),
executive-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9917904633110158),,,,,,,,Equal (0.05673136697215936),Equal (0.06598436827731391),Equal (0.08417724035535994),Equal (0.05979571003623545),Greater (0.9901461029191786),Greater (0.9772972658537844),Greater (0.9926105996425669),
executive-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.38028337365405274),Equal (0.1750226446665658),Equal (0.4719443154667221),Equal (0.25505434715241115),Equal (0.9069093537433359),Equal (0.5394125765960075),Equal (0.8045380887128438),
existence-executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
