,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-devops and cloud,,,,,,,,,,,,Equal (0.21267656456601558),Less (3.197544795842763e-17),Less (8.725407632311114e-06),Less (1.0808246708177094e-130),Less (0.0),Less (3.1158051057441275e-61),Less (1.6998870708005868e-13),Less (0.0012042612119239834),Less (4.268593668162657e-06),Less (2.9984422265547526e-07),Less (5.137125999643954e-124),Less (0.0),Less (1.7624332574145853e-75),Less (3.1469967897695167e-96),Less (9.955028234319587e-14),Less (6.961965817916082e-70),Less (2.10613734409963e-51),
executive-soa and middlewares,,,,,,,,,,,,,Less (4.659385227508539e-13),Less (1.1027062936316797e-05),Less (1.4120714939983815e-64),Less (5.717389747839696e-268),Less (1.0550164031949879e-36),Less (7.678921226025348e-14),Less (0.00015265701288240342),Less (2.4200326809971067e-07),Less (1.694663003072029e-08),Less (2.317224194334365e-54),Less (9.839807501264958e-166),Less (1.1297064975670925e-34),Less (2.5153680548878647e-43),Less (7.73512976868118e-09),Less (1.4307541656714606e-32),Less (5.998620737162899e-25),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9998706325733842),Less (1.3503157595504357e-26),Less (3.4707599609808475e-151),Less (3.2052760732706457e-09),Equal (0.0870095377880414),Equal (0.6072297365544104),Equal (0.409801883025121),Equal (0.3515735267810457),Less (1.4925165622104873e-21),Less (5.182463654467926e-106),Less (8.435248333730778e-09),Less (4.983566939268007e-14),Greater (0.9998384062967496),Less (1.4888781867662456e-07),Less (0.0009660523338675946),
executive-web development,,,,,,,,,,,,,,,Less (8.43055581559814e-59),Less (4.548712577240467e-264),Less (1.0229689324752006e-24),Less (2.761325705824994e-05),Equal (0.29837867691764486),Less (0.009480389254229954),Less (0.004197787838145306),Less (7.498603073064538e-53),Less (4.984197223329302e-197),Less (2.4236946992052616e-28),Less (9.853667869317586e-39),Equal (0.1507013658540497),Less (1.255859640220579e-25),Less (9.691501301537178e-17),
property-full,,,,,,,,,,,,,,,,Less (2.183346326819551e-65),Greater (0.9999747756282192),Greater (0.9996011835003933),Greater (0.9999925318855377),Greater (0.9932798874446545),Greater (0.997316824669418),Greater (0.9999914642312278),Less (7.66215532591341e-49),Greater (1.0),Greater (0.9999999999999963),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999996),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Equal (0.14623659174974699),Greater (0.997787872204116),Equal (0.2085075399429237),Equal (0.15942934453676494),Less (0.017241770949501797),Less (3.120123270908176e-47),Greater (0.9837543061317521),Equal (0.9367624267268929),Greater (1.0),Greater (0.9965452568744467),Greater (0.9999998317883105),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Equal (0.12969592059662727),Equal (0.7867591136360311),Equal (0.7731489834875003),Less (0.008296313851144805),Less (3.305662537458264e-14),Equal (0.46469169699838586),Equal (0.1261062754587664),Greater (0.9998794900391856),Equal (0.6122153862136603),Equal (0.6757598785403774),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.31579706653510675),Equal (0.282653342231318),Less (0.0001676282844875806),Less (5.37119950992597e-15),Less (0.009591575099892885),Less (0.0016539126045073589),Equal (0.5423940150459329),Less (0.014429038198519378),Equal (0.1253215242559981),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.9954081844943745),Equal (0.06682121321818298),Less (1.4668772219100714e-07),Equal (0.4380879270027197),Equal (0.198835171206742),Greater (0.9752728529414587),Equal (0.5240561874422847),Equal (0.9547500564625055),
property-web development,,,,,,,,,,,,,,,,,,,,,,Less (0.019294940181964915),Less (3.3301299920544392e-09),Equal (0.38379343750348205),Equal (0.14783646984186416),Greater (0.9872370109566214),Equal (0.47548104272609604),Equal (0.9553869370574929),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Less (4.6385664110899715e-35),Greater (1.0),Greater (0.9987667937677263),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.4955623963334874e-251),Less (3.597453103206903e-137),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
