,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Equal (0.3956976141368106),Less (6.111282309098761e-07),Less (0.00023145681253668583),Less (0.000423959001859833),Less (1.3054694306231322e-08),Less (0.002636921785455091),Less (0.0024903667992881564),Less (2.8280530050823593e-05),Less (7.958902177060157e-06),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (1.4760207137172605e-27),Less (4.5756338986074126e-20),Less (1.5845255034702695e-05),Less (1.0455608996087778e-210),Less (5.27284936449786e-07),Less (8.065982917004047e-12),Less (1.0501308891450566e-08),Less (1.0088325442479963e-107),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (0.998969235436529),Equal (0.3468392553061488),Equal (0.35438606845110376),Greater (0.9998188561816872),Greater (0.9999976880354596),Equal (0.7690844528952445),Greater (0.9783430084591013),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Equal (0.48524898164207886),Less (1.7260791556582192e-10),Equal (0.2518838123711906),Equal (0.0767542478928367),Equal (0.11575011480347892),Less (0.011821728035418574),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.14031490448150588),Equal (0.1963693605289336),Equal (0.13070840311433965),Equal (0.5759184170848236),Equal (0.9408014884503139),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999831225642),Greater (1.0),Equal (0.40791702759875037),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8289861947041453),Less (0.015466587950202327),Less (0.0021939288483998347),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.006373613862458237),Less (1.6741283032408196e-06),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.44815503985784433),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
