,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (0.9998079294775061),Less (2.9626940768718776e-37),Less (8.267863131986405e-27),Less (1.2396496263432077e-279),Less (0.0),Less (1.0360513846267104e-121),Less (7.412183372827034e-11),Equal (0.34788881915913195),Less (6.483552062557651e-11),Less (2.0248027356628792e-16),Less (0.0),Less (0.0),Less (6.223668235559006e-170),Less (1.7073123284998303e-270),Less (3.332549372948533e-11),Less (4.088978064036133e-147),Less (8.767719932252051e-94),
executive-soa and middlewares,,,,,,,,,,,,,Less (1.3839714623181404e-34),Less (2.471644223860087e-27),Less (8.154483462002439e-145),Less (0.0),Less (8.267417844815282e-86),Less (1.2295059225806755e-16),Less (0.0037426920451285807),Less (9.170604916544881e-17),Less (2.5945713062117474e-23),Less (2.1718121002396e-139),Less (0.0),Less (1.095771639080971e-81),Less (4.0008047770055915e-123),Less (3.157750398686736e-14),Less (8.782634903724563e-75),Less (4.028721626096789e-53),
executive-software development tools,,,,,,,,,,,,,,Equal (0.0767542478928367),Less (4.9835757139594625e-52),Less (1.248171614726231e-305),Less (7.271613111174179e-17),Equal (0.5114924573316282),Greater (0.9997685587855691),Equal (0.48524898164207886),Equal (0.11575011480347892),Less (3.6737847385128923e-51),Less (1.6073651485632577e-295),Less (6.274505341837773e-14),Less (4.991389609552638e-39),Greater (1.0),Less (1.7260791556582192e-10),Less (0.011821728035418574),
executive-web development,,,,,,,,,,,,,,,Less (3.6593507891053655e-69),Less (0.0),Less (1.2039046580266867e-24),Equal (0.7144809849615614),Greater (0.9975097641934513),Equal (0.13070840311433965),Less (0.006373613862458237),Less (3.482513270589765e-70),Less (0.0),Less (1.9362228131737174e-23),Less (4.016669551022037e-55),Greater (0.9999999999919341),Less (1.472995763343214e-18),Less (1.6741283032408196e-06),
property-full,,,,,,,,,,,,,,,,Less (6.72245902114339e-154),Greater (0.9999999173143247),Greater (0.9999999999999999),Greater (1.0),Greater (0.9999996672025409),Greater (0.999998961130565),Greater (0.999906311977431),Less (4.1986855557827475e-195),Greater (1.0),Greater (0.9999999997938976),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (0.9999999496385784),Greater (0.9999999999954571),Greater (0.9982354389969277),Greater (0.9931800566633783),Less (5.509573163416275e-05),Less (1.0956799656093398e-131),Greater (0.9999424688723944),Less (0.01850853455618679),Greater (1.0),Greater (0.9999992309252945),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (0.9966100253970012),Equal (0.3059790643414725),Equal (0.07999639093374857),Less (3.038922888829244e-14),Less (1.5372449250323645e-69),Less (2.2115173745587037e-05),Less (1.005750807503959e-11),Greater (0.9998808140533345),Less (0.0001489112090286362),Equal (0.0774165802366055),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (0.00042395900185983294),Less (2.8280530050823593e-05),Less (4.892221997625906e-17),Less (6.792012649854971e-58),Less (2.0531101805556405e-09),Less (4.87606159277958e-15),Equal (0.3956976141368106),Less (1.3054694306231322e-08),Less (7.958902177060157e-06),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.5759184170848236),Less (6.828670083444758e-06),Less (1.7625939146976028e-31),Equal (0.06931819433977296),Less (8.106137380121058e-05),Greater (0.9999841550089964),Equal (0.14031490448150588),Equal (0.9408014884503139),
property-web development,,,,,,,,,,,,,,,,,,,,,,Less (2.530489229494432e-05),Less (9.94713290710759e-34),Equal (0.22391355418891745),Less (0.00033144717117692166),Greater (0.9999999894989052),Equal (0.40791702759875037),Equal (0.44815503985784433),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (0.9999999999895516),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Less (3.6092550087743604e-86),Greater (1.0),Greater (0.9989226563962558),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.0455608996087778e-210),Less (1.0088325442479963e-107),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
