,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
content management-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content management-property,,,,,,,,,,,,,Equal (0.5632381841068542),Equal (0.8844903775081032),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (1.0),Greater (0.9964574714854443),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999819400168931),Greater (0.9995624730535334),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999363547023373),Equal (0.08398997988341816),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999998168),Greater (0.9986023496786741),Equal (0.08398997988341816),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999999),Greater (0.9982193004728591),Equal (0.059981636258213934),,Greater (1.0),
content management-existence-property,,,,,,,,,,,,,,Equal (0.8907574165326566),,Greater (0.9999050359307029),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999999983189),Greater (0.9961907110847353),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999998),Greater (0.9999688452872214),Greater (0.9996781957422014),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999262857625433),Equal (0.06823982722006589),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999686713),Greater (0.9989671289773744),Equal (0.06823982722006589),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999997279),Greater (0.9985434275804267),Greater (0.9759739645847978),,Greater (1.0),
content management-executive-property,,,,,,,,,,,,,,,,Equal (0.07271773662157009),Greater (0.9999999877075991),Greater (0.9999999999773876),,Greater (0.9999997722744987),Greater (0.9999869506100552),Equal (0.05107228853149493),,Greater (0.9999999900271179),Greater (0.9999999968327736),Greater (1.0),,Greater (0.9999999556339572),Greater (0.9994514937755429),Greater (0.9994127551648468),,Greater (0.9999997106927024),Greater (1.0),Greater (1.0),,Greater (0.9999999999999634),Greater (0.9993538906549841),Equal (0.11590245153732529),,Greater (1.0),Greater (0.9999999999503008),Greater (0.9999999999999978),,Greater (0.9999995401643909),Greater (0.9983016602086968),Equal (0.11590245153732529),,Greater (0.9999999966320999),Greater (0.9999999999999855),Greater (1.0),,Greater (0.9999999003959156),Greater (0.9958041343079945),Equal (0.06548937465244187),,Greater (0.9999999999798727),
content management-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content management-,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999988912466),Equal (0.35772131979085187),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999922576),Greater (0.9918093803164388),Greater (0.9893027947759608),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999117),Greater (0.9896183705272443),Equal (0.4069734951780849),,Greater (1.0),Greater (0.9999999999930428),Greater (1.0),,Greater (0.999998377573705),Greater (0.9805054815090958),Equal (0.4069734951780849),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999615370755),Equal (0.07644341217097836),Equal (0.19509521283508002),,Greater (1.0),
data storage & processing-existence,,,,,,,,,,,,,,,,,,Greater (0.988392756393201),,Equal (0.27652433907505725),Equal (0.10449314715764346),Less (0.012135067873967287),,Equal (0.7913718160345742),Equal (0.46255535839053885),Greater (1.0),,Equal (0.650580435340465),Equal (0.8194836198112002),Equal (0.26955707201610546),,Less (0.013698350803683718),Greater (0.99953512282916),Greater (1.0),,Greater (0.9934930760832414),Equal (0.9360703138192832),Equal (0.5184222448068003),,Greater (1.0),Equal (0.07744583088474599),Greater (0.9999807776925643),,Equal (0.5705656884117112),Equal (0.3219276085957552),Equal (0.5184222448068003),,Equal (0.7827393226573018),Greater (0.9956752437984322),Greater (0.9999999999999999),,Equal (0.5143576960232742),Equal (0.8900588174717472),Equal (0.5342909211561176),,Greater (0.99404759221069),
data storage & processing-executive,,,,,,,,,,,,,,,,,,,,Less (0.0003100569518795349),Less (0.0011340765942488235),Less (0.0017077043499817014),,Less (1.2618665084820206e-06),Equal (0.5785608547065959),Greater (1.0),,Equal (0.6243050431237824),Equal (0.5004906547749062),Equal (0.3304977725764683),,Less (2.514397164694669e-15),Greater (0.9942666791766915),Greater (1.0),,Equal (0.05856992130150825),Equal (0.7842538294409543),Equal (0.3579796386369234),,Greater (1.0),Equal (0.2679173716501959),Greater (0.9967764613210855),,Equal (0.9678568765336301),Equal (0.38265472337894),Equal (0.3579796386369234),,Less (8.664834535314632e-05),Equal (0.05927153305937206),Greater (0.9999999999997898),,Equal (0.96491385274068),Equal (0.9090321749007041),Equal (0.5837846276988562),,Equal (0.8619690626734791),
data storage & processing-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data storage & processing-property,,,,,,,,,,,,,,,,,,,,,Equal (0.377413599588476),Equal (0.05991500092730851),,Equal (0.22051852774523728),Equal (0.14203673057520727),Greater (1.0),,Equal (0.3146522539561657),Equal (0.9745984248223273),Equal (0.23183978041301867),,Equal (0.5846024211420553),Greater (0.9999354207071152),Greater (1.0),,Greater (0.997974437116752),Equal (0.7666189630719076),Equal (0.6272411102294126),,Greater (1.0),Greater (0.9853375709195801),Greater (0.9999997486598781),,Equal (0.34772965763862473),Equal (0.283430405782527),Equal (0.6272411102294126),,Equal (0.08636161563001381),Greater (0.9990499560562961),Greater (1.0),,Equal (0.282618613914706),Equal (0.7685339881151579),Equal (0.500958639922777),,Greater (0.9999219692213297),
data storage & processing-existence-property,,,,,,,,,,,,,,,,,,,,,,Equal (0.17442055432973003),,Equal (0.09072346046794091),Equal (0.05552754341029516),Greater (1.0),,Equal (0.13754199430618463),Equal (0.7290920881054943),Equal (0.19019772634544063),,Equal (0.4730932702002111),Greater (0.9999757802504428),Greater (1.0),,Greater (0.9992746745009552),Equal (0.5825024190326976),Equal (0.777004909773805),,Greater (0.9999999999999565),Greater (0.9940450276536964),Greater (0.9999949936518134),,Equal (0.18855115721012716),Equal (0.2398928905254053),Equal (0.777004909773805),,Greater (0.9755657208438209),Greater (0.9996527614346052),Greater (0.9999999999999211),,Equal (0.1394449768744461),Equal (0.6294620782488243),Equal (0.4612392339021727),,Greater (0.9991359107642235),
data storage & processing-executive-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9875206168275099),Greater (0.9937483171394423),Greater (1.0),,Greater (0.9887088903146152),Equal (0.22865593028557096),Equal (0.07166189492511355),,Equal (0.07160894186266965),Greater (0.9999932838175059),Greater (1.0),,Greater (0.999945415828911),Equal (0.18867808701523592),Equal (0.7396768252634731),,Greater (0.9999998564634599),Greater (0.9992261938531484),Greater (0.9999239835612541),,Greater (0.984872321017163),Equal (0.10595981474480615),Equal (0.7396768252634731),,Greater (0.9912028478279358),Greater (0.9999386677360323),Greater (0.9999999848401008),,Greater (0.9893043143918573),Equal (0.27276481750881876),Equal (0.31222840083160075),,Greater (0.9983039207233524),
data storage & processing-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data storage & processing-,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.3261140628106881),Greater (1.0),,Equal (0.5565102618377811),Equal (0.8475724147802752),Equal (0.26165797684405945),,Less (4.6385664110899715e-35),Greater (0.9998206862283049),Greater (1.0),,Greater (0.9956144099260689),Equal (0.9052817367287722),Equal (0.5356418409548025),,Greater (1.0),Equal (0.057731839583681416),Greater (0.9999999936009295),,Equal (0.5142276287530954),Equal (0.3139186297681512),Equal (0.5356418409548025),,Greater (0.9987667937677263),Greater (0.9976745711956637),Greater (1.0),,Equal (0.4502223145435361),Equal (0.8660730384858041),Equal (0.5273486448369451),,Greater (1.0),
devops and cloud-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),,Equal (0.9360385630874286),Equal (0.6370290788618265),Equal (0.3040134658035877),,Less (0.021109525778980027),Greater (0.9946668390963519),Greater (1.0),,Greater (0.9780949913106968),Equal (0.9023645755821219),Equal (0.4279070908097229),,Greater (0.9999991031543372),Equal (0.20383140003299305),Greater (0.983525133860606),,Equal (0.8406369757985395),Equal (0.3565063745627981),Equal (0.4279070908097229),,Equal (0.49111549107536767),Greater (0.9763104846891),Greater (0.9999995972605347),,Equal (0.8199692074641798),Equal (0.9947843708085958),Equal (0.5632932011166166),,Equal (0.6002512122057431),
devops and cloud-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (3.5984032120550882e-12),Less (4.561406808554171e-05),Equal (0.6625930977148418),,Less (6.621607552570053e-96),Less (0.007044990502496715),Equal (0.15634763650712072),,Equal (0.08683596413400313),Less (0.00245725142157448),Less (0.0007957383204579686),,Less (1.1920694451439014e-13),Less (0.0008485486009664638),Less (7.945747462315755e-17),,Less (1.2186353680115334e-05),Equal (0.6954819968319188),Less (0.0007957383204579686),,Less (1.2366895446291903e-69),Less (0.0021463581523550996),Less (9.004086835221783e-06),,Less (7.678653186027165e-07),Equal (0.055183181533924375),Equal (0.8060564592978957),,Less (3.315096295801418e-51),
devops and cloud-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops and cloud-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6791885296343648),Equal (0.2984392538284908),,Equal (0.18811308927348924),Greater (0.9903705344667648),Greater (0.9999999999998),,Equal (0.05301079779983349),Equal (0.9319954840212233),Equal (0.4527780289692299),,Greater (0.9997147867196884),Equal (0.22400197129252586),Equal (0.09030095682032174),,Equal (0.8112950163721491),Equal (0.3510188908213989),Equal (0.4527780289692299),,Equal (0.701432364563711),Equal (0.06535276906824082),Greater (0.9999334059707925),,Equal (0.7912118691038539),Equal (0.9865750442024604),Equal (0.5593840064114901),,Equal (0.6433304720605879),
devops and cloud-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.24524933314709296),,Equal (0.898723635133921),Equal (0.05964449119882528),Greater (0.9999984505617201),,Equal (0.0793989724061116),Equal (0.8382631241091817),Equal (0.6701691389202359),,Greater (0.9792878940059986),Equal (0.23043446220898756),Equal (0.2065782515349015),,Equal (0.5981005845794848),Equal (0.29792190163373977),Equal (0.6701691389202359),,Equal (0.7766607671147495),Equal (0.11410160940299359),Greater (0.9902547744522967),,Equal (0.5811098377724118),Equal (0.8186658498138455),Equal (0.5195297245418317),,Equal (0.5092925792406426),
devops and cloud-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.2159893453201488),Equal (0.5140965759814692),Equal (0.7154466908133006),,Equal (0.5220379968048192),Equal (0.2963094119155584),Equal (0.14090740179837008),,Equal (0.5013982156255707),Equal (0.43344507199545246),Equal (0.4118806127700987),,Equal (0.3276740120190833),Equal (1.0),Equal (0.14090740179837008),,Equal (0.2735180951695525),Equal (0.4784279089661734),Equal (0.5368276546042727),,Equal (0.32730597423521324),Equal (0.31715922888541004),Equal (1.0),,Equal (0.32636104291305257),
devops and cloud-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops and cloud-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999905918605815),Greater (1.0),,Greater (0.999129793764418),Equal (0.7018624532384704),Equal (0.6694803165279789),,Greater (1.0),Greater (0.9925811905865916),Greater (0.999999999999963),,Equal (0.26175739061226044),Equal (0.2669944483496506),Equal (0.6694803165279789),,Greater (1.0),Greater (0.9997446505296741),Greater (1.0),,Equal (0.19476922359438908),Equal (0.7190561056013594),Equal (0.48599662617898354),,Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9992546563247258),,Equal (0.9481850523903124),Equal (0.19038271178994137),Equal (0.0724511479470552),,Equal (0.8661729960805669),Equal (0.45001838112830217),Equal (0.17503180644273453),,Equal (0.10796797739110627),Equal (0.5585211667258785),Equal (0.0724511479470552),,Less (0.00036074116089668165),Equal (0.7202002300012216),Equal (0.7351330758915012),,Equal (0.08031729354646286),Equal (0.3721129010780362),Equal (0.7147275280895293),,Less (0.004477302135829946),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.008631257124903273),Less (0.00028773441697355545),Less (7.022717446259233e-05),,Less (4.116859673475152e-09),Less (6.300998306415446e-05),Less (3.185362774819726e-13),,Less (3.7171527620361466e-07),Equal (0.7436976560431713),Less (7.022717446259233e-05),,Less (7.437768924429128e-33),Less (0.0001875586190535168),Less (6.029539964504737e-06),,Less (1.876111155455621e-08),Less (0.008208654853336092),Equal (0.837777266788578),,Less (3.045476973813764e-25),
soa and middlewares-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.2078403477754145),Equal (0.07738103614787414),,Equal (0.8415373833305145),Equal (0.4841729963843032),Equal (0.2853023135516948),,Equal (0.15048754407520856),Equal (0.5661630443507288),Equal (0.07738103614787414),,Less (0.0063979937718386904),Equal (0.7182242318313732),Equal (0.8657842880418605),,Equal (0.12683025088353952),Equal (0.3729973541213202),Equal (0.7212694306875242),,Equal (0.05222588641235274),
soa and middlewares-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5756357406075392),,Equal (0.17672580912375158),Equal (0.44090863495667043),Equal (0.45259993013129196),,Equal (0.8303744992595794),Equal (0.35006247835015714),Equal (0.5756357406075392),,Equal (0.9632788640032804),Equal (0.2853304059978976),Equal (0.11089501512524412),,Equal (0.8229584042467692),Equal (0.9567630902743662),Equal (0.5664720279137494),,Equal (0.7954577592357579),
soa and middlewares-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.06985092014966063),Equal (0.1906638983572938),Equal (0.19232627328116803),,Equal (0.4043455838386655),Equal (0.1891910678876123),Equal (1.0),,Equal (0.5002149739025142),Equal (0.1143817524338719),Greater (0.9788839717109987),,Equal (0.39537532324404434),Equal (0.5901690831051349),Equal (0.43276758066778476),,Equal (0.36310874493127676),
soa and middlewares-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soa and middlewares-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.40120511323973584),Less (0.00023471152349769804),,Equal (0.059048553565502565),Equal (0.5464128913641664),Equal (0.06985092014966063),,Less (1.4955623963334874e-251),Equal (0.7398907050560093),Equal (0.15458540030221035),,Less (0.014816985453697792),Equal (0.379589693790243),Equal (0.7050224571525038),,Less (3.597453103206903e-137),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8408537967638805),,Equal (0.42934815805510995),Equal (0.4825439299642661),Equal (0.1906638983572938),,Equal (0.08005239262844116),Equal (0.68145459728658),Equal (0.21700153514481968),,Equal (0.3968214842273795),Equal (0.61550468107101),Equal (0.6614556912170602),,Equal (0.2500745969917564),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.3948355439091187),Equal (0.46164145652317534),Equal (0.19232627328116803),,Less (1.1416571783330516e-07),Equal (0.4137454470180445),Greater (0.9998253916204555),,Equal (0.33252603945628634),Equal (0.647528909929488),Equal (0.6442332733710059),,Less (0.0007878304353757023),
software development tools-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.38022926849260796),Equal (0.4043455838386655),,Equal (0.6000775683001585),Equal (0.21385162782424916),Greater (0.9877553289885908),,Equal (1.0),Equal (0.9303692589293627),Equal (0.5845214570939945),,Equal (0.9901403801025142),
software development tools-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.1891910678876123),,Equal (0.3259148178970802),Equal (0.5250730496421079),Equal (0.5795414608023607),,Equal (0.37976680290936016),Equal (0.37239750054728304),Equal (1.0),,Equal (0.3785750888444206),
software development tools-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5002149739025142),Equal (0.1143817524338719),Greater (0.9788839717109987),,Equal (0.39537532324404434),Equal (0.5901690831051349),Equal (0.43276758066778476),,Equal (0.36310874493127676),
software development tools-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software development tools-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9960779790222971),Greater (1.0),,Equal (0.544010290878798),Equal (0.9068694363434513),Equal (0.5375125310313574),,Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.42908195849652464),,Equal (0.17809280873445532),Equal (0.47271737340080544),Equal (0.6914565810178315),,Equal (0.050787235139211316),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.005197251105649732),Equal (0.2904360401005668),Equal (0.7281852563874556),,Less (1.1002242033937726e-16),
web development-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
