,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Equal (0.5423940150459329),Equal (0.9486974657939132),Equal (0.6072297365544104),Equal (0.31579706653510675),Less (0.014429038198519378),Equal (0.9155424927235989),Equal (0.29837867691764486),Equal (0.282653342231318),Equal (0.1253215242559981),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Equal (0.5109680495546143),Less (0.00016159489174866754),Less (0.02472760431826857),Less (1.4955623963334874e-251),Equal (0.6032567853455756),Equal (0.1507013658540497),Less (0.012763218488898005),Less (3.597453103206903e-137),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Equal (0.6911496946143119),Equal (0.3659891209789824),Equal (0.05196635010964471),Equal (0.8639223891148752),Equal (0.2884412371951016),Equal (0.33530804891128685),Equal (0.18118841674248065),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Equal (0.409801883025121),Less (1.4888781867662456e-07),Equal (0.4705871883642364),Greater (0.9998706325733842),Equal (0.3515735267810457),Less (0.0009660523338675946),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5240561874422847),Equal (0.246053990341627),Greater (0.9905231187274117),Equal (0.9954081844943745),Equal (0.9547500564625055),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.995565039576289),Greater (1.0),Equal (0.47548104272609604),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.3196623624287471),Equal (0.21125934129979818),Equal (0.06005119381724516),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.004197787838145306),Less (9.691501301537178e-17),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.9553869370574929),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
