,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-web development,,,,,,,,,,,,,,,Less (3.0378544258170857e-258),Less (8.026851067470815e-118),Less (7.934549793039287e-275),Equal (0.7818261989345541),Less (1.2861244972071075e-42),Less (7.293960067955385e-23),Less (7.397317855530536e-35),Less (4.1593624630182624e-22),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.1359780915515612e-169),Less (2.000679613108298e-09),
property-full,,,,,,,,,,,,,,,,Less (1.9161224805943205e-10),Less (1.680926999479641e-11),Greater (1.0),Greater (0.9866689915693325),Equal (0.06872909408151469),Equal (0.12709049840688177),Greater (1.0),Less (1.6457445564249497e-209),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (0.9906122364761138),Greater (1.0),Greater (0.999999999520008),Greater (0.9999997638421084),Greater (0.999999940822214),Greater (1.0),Less (4.2276779389606584e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999979895373),Greater (0.9999975469564447),Greater (0.9999985694676399),Greater (1.0),Less (1.1929011866024901e-49),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Less (1.4803125408972837e-21),Less (2.122793892943342e-13),Less (1.9341658592422222e-18),Less (3.508999055020803e-05),Less (1.268829941936177e-133),Greater (0.9969228476803945),Greater (1.0),Greater (0.9986261206095934),Less (5.5167801650120145e-25),Less (0.006102108703806302),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.8753034868136108),Equal (0.7172106899973663),Greater (1.0),Less (3.133976404001252e-38),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999162420988319),Greater (1.0),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.7199288665265741),Greater (0.9999999999955205),Less (1.1333521447923416e-23),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9898603750205481),Greater (0.9999999999999997),
property-web development,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (6.280810069737825e-30),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997095598821352),Greater (1.0),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.24610270846609106),Less (0.0),Less (0.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Less (3.327181536661588e-252),Less (0.0),Less (0.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (4.543309164739167e-202),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
