,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999979895373),Greater (1.0),Less (0.013490085956934288),Greater (1.0),Greater (0.9999975469564447),Greater (1.0),Greater (0.9999988747243104),Greater (1.0),Greater (0.9999985694676399),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Less (0.0030771546225203954),Greater (1.0),Less (7.774663991379557e-222),Greater (0.9999999887638197),Less (6.855250189248232e-78),Equal (0.24610270846609106),Less (0.0),Equal (0.0955994311497699),Less (8.17796458700193e-38),Less (0.0),Less (6.994771086424765e-307),Less (3.471394056737723e-32),Less (2.141871931344127e-58),Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Less (5.726812544607599e-15),Equal (0.7307391846118436),Less (8.411873898948309e-182),Less (2.236989536162757e-12),Less (6.2905726018613295e-84),Less (7.569879013540139e-38),Less (3.2456721521768214e-291),Less (1.814526865131876e-24),Less (1.2193978522874425e-45),Less (0.0),Less (4.020919324188784e-236),Less (3.1666256389204395e-58),Less (1.9519552606595407e-66),Less (4.849267288829706e-129),
devops and cloud-executive,,,,,,,,,,,,,,,Less (1.664132090288861e-272),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.531969071352428e-258),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Less (1.0457879415023604e-25),Greater (0.9999984606495613),Less (1.4803125408972837e-21),Greater (0.9986261206095934),Less (7.847259666265155e-72),Greater (0.9892356231619696),Less (2.122793892943342e-13),Less (5.5167801650120145e-25),Less (1.793135197107718e-44),Equal (0.7818261989345541),Less (1.9341658592422222e-18),Less (0.006102108703806302),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Less (0.0),Less (7.5227620426604405e-31),Less (3.3936154781105394e-109),Less (3.327181536661588e-252),Less (0.0),Less (7.996253692791187e-56),Less (9.738814275748381e-54),Less (0.0),Less (0.0),Less (2.5321260888708996e-153),Less (1.476638677218592e-81),Less (0.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.07337910956508915),Greater (1.0),Less (1.3171479722046924e-34),Greater (1.0),Equal (0.20445775226267215),Greater (0.9994104078843058),Less (1.864069831878791e-10),Greater (1.0),Less (0.01858113965925695),Greater (1.0),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (3.859665359356915e-75),Less (3.451391152836858e-08),Less (5.363428161201558e-305),Less (9.262232459819567e-07),Less (5.357890951190607e-40),Less (0.0),Less (1.5510956687799884e-236),Less (5.667129192488062e-30),Less (1.4427266456668037e-59),Less (1.1495977018650986e-89),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (9.136273397959621e-12),Greater (1.0),Equal (0.8753034868136108),Greater (0.9999162420988319),Less (0.008419677403147818),Greater (1.0),Equal (0.7172106899973663),Greater (1.0),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (0.0),Equal (0.14841887284880123),Less (5.695763909976708e-35),Less (0.0),Less (3.208796600260128e-265),Less (3.0706689665516017e-22),Less (2.1000440782956186e-53),Less (4.543309164739167e-202),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999514065137),Greater (1.0),Greater (0.9999999987013939),Greater (1.0),Greater (0.9999999852605984),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (2.72785579920874e-27),Less (9.044908866552658e-204),Less (5.439551860840026e-161),Less (5.740347063112091e-08),Less (9.603503018276553e-41),Less (1.2674738753495664e-32),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9898603750205481),Less (0.02444371352637287),Greater (1.0),Equal (0.7199288665265741),Greater (0.9999999999999997),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Less (6.732908777611455e-29),Greater (1.0),Less (0.00029044087144223656),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.09000322772285878),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (7.397317855530536e-35),Less (2.000679613108298e-09),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
