,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999217268069),Greater (1.0),Greater (0.9955800276123064),Greater (1.0),Equal (0.9681472815524731),Greater (1.0),Equal (0.10770258493710351),Greater (1.0),Equal (0.22526010754214532),Greater (1.0),Equal (0.093116651776626),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Less (1.1683391302084385e-06),Greater (1.0),Less (0.008322958672764509),Greater (1.0),Less (9.287266893005228e-41),Greater (1.0),Less (3.5187301837412676e-31),Greater (0.9999545366512947),Less (1.1301579767204292e-33),Greater (1.0),Less (4.675166430206239e-13),Less (0.0),Less (8.344919214621739e-50),Greater (0.9999999999999872),Less (3.375227274722039e-21),Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Equal (0.6618516584766487),Greater (1.0),Less (9.322125525733528e-07),Greater (0.9999999999999981),Less (1.69571083716941e-07),Greater (0.9999994662376158),Less (2.1198144833293553e-10),Greater (1.0),Less (6.94849474774268e-05),Less (0.001445773194388417),Less (5.940667888604582e-12),Greater (0.9999999999978691),Less (8.470457962765053e-07),Equal (0.16967815411904108),
devops and cloud-executive,,,,,,,,,,,,,,,Less (4.106618246336231e-67),Less (0.0),Less (1.7414557786804482e-248),Less (0.0),Less (1.9849170459140722e-155),Less (0.0),Less (1.054838145996956e-129),Less (3.2251575718672734e-205),Less (9.985358935445882e-65),Less (0.0),Less (2.962572742589708e-216),Less (0.0),Less (2.746538755740732e-103),Less (0.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (0.9999999999972603),Less (2.2873194151195273e-06),Greater (0.9999996169256515),Less (4.420256249983798e-07),Greater (0.9964000950244889),Less (1.4101434630188254e-09),Greater (0.9999999996625364),Less (0.00010831208253204583),Less (0.001888329127272655),Less (3.014922466349064e-10),Greater (0.9999808663665668),Less (3.5120425686972477e-06),Equal (0.8617225838971517),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Less (1.6887110635342807e-78),Less (5.39798914695431e-19),Less (1.9664900098178235e-52),Less (0.0),Less (5.49632915373651e-49),Equal (0.07044261555935526),Less (8.209730195142464e-22),Less (0.0),Less (8.837986473960021e-79),Less (1.3539067088739409e-53),Less (4.6526059256990044e-35),Less (0.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.2133189954907707),Greater (1.0),Less (0.0012978683923905382),Greater (1.0),Equal (0.36438162233493177),Greater (0.9999912940002875),Less (0.003980122358439086),Greater (1.0),Equal (0.1682603705123702),Greater (1.0),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (2.4792157653190016e-40),Less (4.3367408335049044e-20),Less (8.40808463704777e-41),Greater (0.9999880506816258),Less (7.585822791610321e-18),Less (5.62168608307072e-193),Less (2.4224654003623618e-60),Less (0.001726946328454223),Less (1.6831318133775406e-28),Less (7.486954051932476e-76),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.09393928466090945),Greater (1.0),Equal (0.9382447606292493),Greater (0.9999987088276948),Equal (0.25448344071667783),Greater (1.0),Equal (0.7348787772298895),Greater (0.9999999999999999),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (2.8949550108464765e-31),Greater (1.0),Less (9.034440749675042e-13),Less (0.0),Less (4.529768486085822e-47),Greater (0.9999999999528674),Less (1.3374785146195532e-20),Less (1.1164216008206564e-240),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.228603028238186),Greater (0.9999999995261518),Equal (0.4854283951634588),Greater (1.0),Equal (0.23752959746304358),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (5.516547735189938e-20),Less (5.635997547946941e-200),Less (2.365119022729279e-65),Less (7.335003455441084e-14),Less (2.1411173066083317e-31),Less (4.070093024886129e-97),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9984733435536495),Equal (0.4467476889034945),Greater (0.9999999999999999),Equal (0.8720056751430563),Greater (0.9999998935371525),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Less (9.201266534464938e-13),Greater (1.0),Less (2.9604771018623712e-05),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.4574585545634827),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (9.485381220766049e-27),Less (3.3813497948359063e-71),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999967151),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
