,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-devops and cloud,,,,,,,,,,,,Less (0.0),Less (3.2251575718672734e-205),Less (0.0),Less (0.0),Less (6.944299242087058e-185),Less (0.0),Less (4.106618246336231e-67),Less (1.9849170459140722e-155),Less (9.985358935445882e-65),Less (2.746538755740732e-103),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Greater (0.9999880506816258),Less (0.001726946328454223),Less (2.0745758521767456e-248),Less (1.4612560619518554e-55),Less (4.410760042953758e-227),Less (3.831264362766367e-07),Less (2.4792157653190016e-40),Less (7.585822791610321e-18),Less (1.6831318133775406e-28),Less (1.5259895461419016e-77),Less (0.0),Less (6.626757109551639e-25),Greater (1.0),Less (4.3367408335049044e-20),Less (5.62168608307072e-193),Less (7.486954051932476e-76),
executive-software development tools,,,,,,,,,,,,,,Less (7.335003455441084e-14),Less (3.2287100422590513e-243),Less (6.310267851857269e-59),Less (3.5111362988512416e-225),Less (3.3753555153415894e-10),Less (1.7329004109285924e-44),Less (5.516547735189938e-20),Less (2.1411173066083317e-31),Less (3.957615696077688e-100),Less (0.0),Less (1.1319024485147248e-51),Equal (0.07044261555935526),Less (2.9351273818723517e-40),Less (5.635997547946941e-200),Less (4.070093024886129e-97),
executive-web development,,,,,,,,,,,,,,,Less (4.335506642254254e-265),Less (8.460352806855664e-54),Less (4.47441270344651e-237),Less (1.9135254948900582e-05),Less (4.602727682945922e-38),Less (1.5060479078906228e-16),Less (9.485381220766049e-27),Less (3.006064987620574e-72),Less (0.0),Less (1.2759914783559158e-14),Greater (1.0),Less (4.7132746123846785e-11),Less (6.2283282547888674e-217),Less (3.3813497948359063e-71),
property-full,,,,,,,,,,,,,,,,Equal (0.22054005991968617),Less (0.001174804909023425),Greater (0.9999999999999709),Equal (0.290457934357516),Equal (0.5712377850584693),Equal (0.6686967997485677),Greater (1.0),Less (1.8563772484574507e-24),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Equal (0.7723782007241871),Greater (0.9999999998152735),Equal (0.1025531687956177),Equal (0.2994371560205932),Equal (0.2764831664804702),Greater (1.0),Less (0.0026830421217705954),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999985566),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9955800276123064),Equal (0.10770258493710351),Equal (0.093116651776626),Greater (1.0),Less (7.072071220358654e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Less (4.420256249983798e-07),Less (0.00010831208253204583),Less (3.5120425686972477e-06),Equal (0.9573468992768448),Less (8.494268739249637e-23),Greater (0.991677052514045),Greater (0.9999999999972603),Greater (0.9964000950244889),Less (0.001888329127272655),Equal (0.8617225838971517),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.9382447606292493),Equal (0.7348787772298895),Greater (0.9999999999999984),Less (1.0936845416287937e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999987088276948),Greater (0.9999999999999999),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.8720056751430563),Greater (0.9999995784100212),Less (0.004039278740491356),Greater (0.9999999999995325),Greater (1.0),Greater (0.9999999999990966),Greater (0.9984733435536495),Greater (0.9999998935371525),
property-web development,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999618765),Less (0.0006759998351553652),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999703954034103),Greater (0.9999999999967151),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Equal (0.08923706764772205),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999545366512947),Less (0.0),Less (0.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (1.1164216008206564e-240),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
