,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8473737471320513),Greater (0.9999993675997608),Equal (0.11610250461150276),Equal (0.686346601259614),Equal (0.26959885519604243),Equal (0.09130059933481688),Equal (0.1312194485724438),Less (0.01383759993408545),Greater (0.9904207507808657),Equal (0.8647530303959277),Equal (0.39933763493790886),Equal (0.6381714815301622),Greater (0.999999999970782),Greater (0.9895151761293393),Equal (0.09451343283967614),Greater (0.9999999999582735),Equal (0.09680680965896375),Greater (0.9999231409580873),Equal (0.2603703066331494),,,,,,,,Greater (1.0),Less (0.004221995946304069),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999758665),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999513535),Equal (0.050907348691357206),Equal (0.5980599364214636),Equal (0.19421871491456022),Less (0.0028774481216768317),Equal (0.08875363979445393),Less (0.0003762979472262515),Greater (0.9933659698198074),Equal (0.8884990849853657),Equal (0.30539389245401094),Equal (0.6302306591510264),Greater (0.9999999999999958),Greater (0.993751737546609),Equal (0.06757777870104593),Greater (0.9999999999998395),Equal (0.06934331690202399),Greater (0.999985191928329),Equal (0.24095582879425148),,,,,,,,Greater (1.0),Less (1.7575737953693718e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.00019882274716354138),Less (0.00072094607784646),Less (0.0006473206082139565),Less (2.0071242092644067e-12),Less (0.0002480295624821583),Less (1.6777750833379071e-13),Equal (0.7535603465580993),Less (0.007711985962310202),Equal (0.055248335905720695),Less (0.014182910943196462),Greater (0.9943317466666749),Equal (0.28820567742116576),Equal (0.44177408393128936),Greater (0.9999915644928468),Equal (0.9731657101604719),Greater (0.9821074675769472),Equal (0.9871894190460958),,,,,,,,Equal (0.18695402498360425),Less (8.73436409676056e-15),Greater (0.9998744090528443),Greater (0.9999999999999847),Greater (0.9999395364236967),Equal (0.20242787239475546),Equal (0.1255407233719244),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5012534920521059),Equal (0.7804797885430517),Less (0.0002205815992782217),Less (0.014464316878358406),Less (2.8870003584465508e-05),Equal (0.08791364995778893),Equal (0.41064305977982607),Equal (0.20381704317596372),Equal (0.3478133782697357),Greater (0.9999999897810636),Greater (0.9758342610420296),Equal (0.30397933546516764),Greater (0.9999999996199419),Equal (0.2088548532006268),Greater (0.9997822934070705),Equal (0.41826719536125345),,,,,,,,Greater (0.9999999999997602),Less (2.2408306018170358e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999903831213472),Greater (0.9999999999999813),
property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6711161426864964),Equal (0.09367108551001493),Equal (0.12282209231445386),Less (0.017094927877185348),Equal (0.05536479459699006),Equal (0.6793250498838334),Equal (0.40176719232735747),Equal (0.52768363109364),Greater (0.9999997672145804),Greater (0.9813079050698088),Equal (0.2024492255852618),Greater (0.9999999948216176),Equal (0.1845423553489205),Greater (0.999593896633773),Equal (0.371198008271977),,,,,,,,Greater (0.9999998728996216),Equal (0.06319090813858659),Greater (0.999999999999741),Greater (1.0),Greater (0.9999999999994774),Greater (0.9996123506123855),Greater (0.9999999685494888),
property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.00452362970247844),Less (0.024269851872286766),Less (0.001124915728759549),Equal (0.07407017989755003),Equal (0.5104333698748901),Equal (0.2744167098235746),Equal (0.3516883441594848),Greater (0.999999923214236),Greater (0.9755328080883505),Equal (0.29729991368776665),Greater (0.9999999979501327),Equal (0.20403927590534265),Greater (0.9995737272057417),Equal (0.3768637918699409),,,,,,,,Greater (0.9999999986912006),Less (0.0007551916435646712),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998539115363044),Greater (0.999999999852306),
existence-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.3832667368908501),Equal (0.5105796136390768),Greater (0.9981054113295296),Equal (0.5417721238475455),Equal (0.58107550332603),Equal (0.8961579565093236),Greater (0.9999999999999999),Greater (0.9964530835156374),Greater (0.9940209008146749),Greater (0.9999999999998875),Greater (0.9907526935900322),Greater (0.9999955939043652),Equal (0.1455860522233946),,,,,,,,Greater (1.0),Equal (0.4699246381799458),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5224431496089205),Greater (0.9970590216473438),Equal (0.3772998920987879),Equal (1.0),Equal (0.5572067147785777),Greater (0.9999997559177354),Greater (0.9962649282856257),Greater (0.9922864891612299),Greater (0.999999998506314),Greater (0.9886095591686972),Greater (0.9999744884486359),Equal (0.08999519478588511),,,,,,,,Greater (0.9999968227644238),Equal (0.617668238768944),Greater (0.9999999965273094),Greater (0.9999999999776752),Greater (0.9999999926257426),Greater (0.9998507706384313),Greater (0.9999988019765631),
existence-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9991464925247955),Equal (0.357704215277856),Equal (0.6437321928914841),Equal (0.7100817218247066),Greater (1.0),Greater (0.9982080579074146),Greater (0.9978851077851912),Greater (0.9999999999999961),Greater (0.9959854165564098),Greater (0.9999992612947122),Equal (0.10447222905772405),,,,,,,,Greater (1.0),Equal (0.8562243404412281),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.09183419439764659),Equal (0.09722989269782305),Equal (0.06119660253303696),Equal (0.21763796185637208),Equal (0.54295084115421),Equal (0.47896959384477034),Greater (0.9986677182127814),Equal (0.8311061662009944),Equal (0.10436011160775059),Equal (1.0),,,,,,,,Equal (0.9210886079783962),Less (0.0008407953034168627),Equal (0.3510302775345696),Greater (0.985281302135518),Equal (0.2965900615749474),Equal (0.4688109813117145),Equal (0.7892007532998191),
existence-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5476273220342031),Equal (0.8200962813889849),Greater (0.9999572944046529),Greater (0.9783785266371072),Equal (0.17330939154942793),Greater (0.999999812333833),Equal (0.1276071927798301),Greater (0.9994957840433147),Equal (0.3538493664343425),,,,,,,,Greater (0.9995284036104247),Equal (0.6359799303552366),Greater (0.9999956471700938),Greater (0.9999999881958607),Greater (0.9999928163319475),Greater (0.990116225951257),Greater (0.9996940886364373),
existence-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.6889298840360948),Greater (0.9988027497796699),Equal (0.06452839185604246),Equal (0.10534921726508116),Greater (0.999959722981947),Equal (0.053819776794303435),Greater (0.9990305740308361),Equal (0.18201112961326316),,,,,,,,Greater (0.9921032842799445),Equal (0.9566462575550214),Greater (0.9992285731809913),Greater (0.9997759648317104),Greater (0.9990207489379644),Greater (0.9752186382171149),Greater (0.9951081382643802),
existence-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9997893463077369),Greater (0.9860281118825865),Equal (0.1493284122780286),Greater (0.9999993940110572),Equal (0.15353827908925274),Greater (0.9995746392851768),Equal (0.24973416344150812),,,,,,,,Greater (0.9981313212201174),Equal (0.9732201689888885),Greater (0.9999283211493375),Greater (0.9999981824430443),Greater (0.9998950078774412),Greater (0.9839029881325431),Greater (0.9986114993455678),
executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8706626590134775),Less (0.008243986216025515),Greater (0.9989519207404773),Equal (0.21165431282231484),Equal (0.25676527077223243),Equal (0.40496760838756973),,,,,,,,Less (0.012281712843368993),Less (1.0044195949871893e-14),Equal (0.3521966804836977),Greater (0.9753645390073977),Equal (0.4409094579404187),Less (3.0479419544410386e-05),Less (0.012574492133898732),
executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.16610422452702245),Equal (0.12919007278376016),Equal (0.48764968195078773),Equal (0.6554810010743057),Equal (0.5632655418496693),,,,,,,,Equal (0.3550990452166637),Less (0.005147278152282604),Equal (0.5601162433796433),Equal (0.7293778926126789),Equal (0.6645388223697495),Equal (0.15831994899669977),Equal (0.3848402093572588),
executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.999992423777122),Equal (0.7157168687325421),Greater (0.9955018307965076),Equal (0.7711315228995734),,,,,,,,Equal (0.15233525919878113),Less (0.010882508962682677),Greater (0.9937833668261922),Greater (0.9999371384803796),Greater (0.9929497807552218),Equal (0.6866031494983014),Equal (0.129250731106847),
executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0006805557679693083),Equal (0.21000933457031212),Less (0.011499639227533668),,,,,,,,Less (3.3395850983390915e-06),Less (6.206469724300672e-11),Less (9.50720190869409e-06),Less (0.009428179301261627),Less (3.855590008742983e-05),Less (4.593839133419962e-08),Less (2.387952071362806e-06),
executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.985801432592025),Equal (0.9546695600802322),,,,,,,,Equal (0.6091260099377542),Equal (0.077736643196796),Equal (0.21657529334934422),Greater (0.9777481303125402),Equal (0.28855552133999396),Equal (0.8545051162001387),Equal (0.6243240277170401),
executive-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.1420667036835796),,,,,,,,Equal (0.057376665355040574),Less (0.00017750348177203966),Equal (0.1254411568214672),Equal (0.7424548804315387),Equal (0.14318836621099876),Less (0.004793432849590026),Less (0.02390703069180937),
executive-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.8149673242308955),Equal (0.1829640498398284),Equal (0.5069020961026711),Equal (0.20179993242587713),Equal (0.5038256995275139),Equal (0.8358675533466956),Equal (0.782954532920602),
existence-executive-property-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-property-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Equal (0.08923706764772205),
-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
