,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (3.395333287552725e-126),Less (1.896445462068961e-65),Less (1.714805804438863e-225),Less (3.991701293605775e-16),Greater (0.9981332592121943),Less (2.719642387049842e-06),Greater (0.9999733013930012),Less (1.3831214234337752e-185),Less (3.6121029578247785e-51),Less (0.0),Less (8.625247128017903e-12),Greater (1.0),Less (5.519162212303525e-05),Greater (1.0),Less (0.0),Less (8.277716581829917e-59),Less (0.0),Less (9.992031078962448e-22),Greater (1.0),Less (5.322452318892996e-07),Greater (1.0),Less (7.505633679562157e-114),Less (2.1278075291962115e-80),Less (4.4789276064053337e-101),Less (8.764014825484987e-05),Less (0.008855928788924907),Less (0.0026127024786841493),Equal (0.8989206551811078),Less (1.0990636213675347e-54),Less (1.8459455185087302e-15),Less (4.740017288775762e-75),Less (1.312416731737441e-05),Equal (0.10129355582630027),Less (5.0158474254452594e-05),Equal (0.060974495240661765),Less (7.149937354934872e-07),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (5.820128795125576e-44),Equal (0.48688932113206773),Less (0.0),Less (2.0193651767818247e-110),Less (0.0),Less (1.3417035815846557e-151),Less (8.138341866373599e-10),Less (2.694802448587887e-26),Less (0.0137978997601995),Less (0.0),Less (4.942252335582981e-115),Less (0.0),Less (6.080324790396848e-54),Equal (0.8537696043869923),Less (5.3877561362086984e-27),Equal (0.8783149964788629),Less (0.0),Less (6.206318335404138e-126),Less (0.0),Less (1.1728123215309403e-86),Equal (0.06195562090673255),Less (2.317988063529308e-27),Greater (0.9805695022902284),Less (2.4609475123546236e-278),Less (5.319190227427332e-122),Less (1.1083603003561188e-178),Less (4.009623675121082e-35),Less (2.1349933860047273e-18),Less (2.6360336514934567e-18),Less (1.6520176793288086e-08),Less (8.594933548840895e-117),Less (8.344408509389284e-24),Less (4.4781135844963603e-100),Less (1.3719480048150112e-23),Less (0.021585809369810076),Less (8.513787721175428e-09),Equal (0.560816976315931),Less (0.0),Less (0.0),Less (0.0),Less (8.042643444496273e-259),Greater (1.0),Less (3.748229892376093e-50),Greater (1.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (3.634957421183713e-192),Less (4.233169262130219e-76),Less (7.300960654152893e-230),Less (5.8689693638244454e-61),Equal (0.12045855951332113),Less (3.657748526953732e-13),Equal (0.3431284509367336),Less (2.236974953437107e-222),Less (5.980115511230667e-67),Less (0.0),Less (4.033941527949086e-26),Greater (0.9999701847197281),Less (4.816944297493739e-12),Greater (0.9999569443128804),Less (0.0),Less (2.1220170130504336e-76),Less (0.0),Less (4.2298051606763e-44),Greater (0.9999999999548103),Less (1.6750005384180837e-13),Greater (0.9999999972484116),Less (1.7801953425353432e-157),Less (7.913258425305594e-87),Less (3.069699995450663e-118),Less (6.330263692402595e-15),Less (6.832040213148831e-08),Less (1.0208459330149035e-08),Less (0.003933148308431828),Less (4.42589504347599e-73),Less (2.9468584739825055e-17),Less (2.6707039146081826e-77),Less (7.174916317845991e-12),Equal (0.7492239740582108),Less (3.2116677026283935e-06),Equal (0.5052639941102152),Less (3.969596130432951e-85),Less (2.2222812412572582e-284),Less (0.0),Less (1.0907543556489886e-44),Greater (1.0),Greater (0.999434537584748),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (2.828374489700577e-102),Less (4.699209314950958e-302),Less (4.515823751578034e-130),Less (4.078404022425058e-09),Less (2.9391733351636758e-24),Less (0.017296312445204364),Less (0.0),Less (3.592888007748084e-104),Less (0.0),Less (1.1761748827463934e-48),Equal (0.8205043839433948),Less (1.0389905786155675e-24),Equal (0.9401265361200909),Less (0.0),Less (6.36256797399393e-116),Less (0.0),Less (6.398983828765651e-79),Equal (0.10337912663894155),Less (1.0044974566686453e-24),Equal (0.07990579607979385),Less (5.552080913705158e-253),Less (1.9954862253583294e-112),Less (1.7770783230551555e-160),Less (1.973101311493445e-30),Less (3.046669735099963e-16),Less (3.521445896373892e-17),Less (1.2174130492732174e-07),Less (6.308304660804224e-107),Less (3.5724613341624726e-22),Less (5.741818992119235e-93),Less (1.6098088581689668e-20),Equal (0.053204336043492464),Less (3.448018219504319e-08),Equal (0.5646378580940781),Less (0.0),Less (0.0),Less (0.0),Less (2.2613591756647696e-250),Greater (1.0),Less (4.325988892467996e-49),Greater (1.0),
existence-executive-full,,,,,,,,,,,,,,,,Less (4.213349067510812e-21),Less (2.2935884808784796e-61),Greater (1.0),Greater (1.0),Equal (0.3265017742562045),Greater (0.9999999999999999),Less (2.9580933921150363e-07),Less (5.062633810962371e-06),Less (4.3540038367798015e-76),Equal (0.10547399914543276),Greater (1.0),Greater (0.9923132157356596),Greater (1.0),Less (3.4892675376463997e-31),Less (2.4549699421854993e-09),Less (1.1805364970175552e-168),Equal (0.6190595230920224),Greater (1.0),Equal (0.30578758273399775),Greater (1.0),Less (4.2485696146944196e-07),Less (6.093795051478036e-29),Less (1.6286069792003556e-23),Greater (0.9999728313596791),Greater (0.9994405669961166),Equal (0.055854877323400415),Greater (0.9999933253960248),Less (3.335331659686687e-10),Less (1.318688064802975e-06),Less (1.6128048186754374e-36),Equal (0.1535304992853579),Greater (0.9999726571550597),Equal (0.0689842456687227),Greater (0.999777488902732),Greater (1.0),Greater (0.9998390227777421),Less (3.88834594159641e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Equal (0.9915774220106849),Greater (1.0),Greater (1.0),Greater (0.9999999998326349),Greater (1.0),Greater (0.9999999999998599),Greater (0.9999998492761806),Equal (0.3473802231758438),Greater (0.9999999999999997),Greater (1.0),Greater (0.9999999999999973),Greater (1.0),Greater (0.999999349262785),Greater (0.9999791481660745),Less (0.008434777170357292),Greater (0.9999999999999981),Greater (1.0),Greater (0.9999999999778614),Greater (1.0),Greater (0.9999999999852971),Equal (0.31073679822110145),Equal (0.06256113932151082),Greater (1.0),Greater (0.9999999999999997),Greater (0.9999999999476245),Greater (1.0),Greater (0.9995524960334516),Equal (0.6895488487816412),Less (1.3997742703751242e-05),Greater (0.9999999999759019),Greater (0.9999999999345253),Equal (0.4328033546632297),Greater (0.9999999735766797),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Greater (1.0),Greater (0.9999999999998782),Equal (0.1662715000178061),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999991),Greater (0.9999999944815021),Less (5.358307256583282e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.09680484252748796),Greater (0.9987366527303424),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999988481784701),Equal (0.5234306577616247),Less (7.3216322692847055e-09),Greater (1.0),Greater (0.9999999999999957),Equal (0.34738425668213635),Greater (0.9999999997536941),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (0.9999999542474323),Less (0.018257900122877167),Greater (0.9999999890607844),Less (3.44490419223449e-35),Less (2.1710411399872707e-22),Less (4.6083859208281376e-130),Less (0.0022653815591794878),Greater (1.0),Equal (0.24450330250496677),Greater (1.0),Less (1.414598840915021e-66),Less (4.34633430974904e-27),Less (2.0383784131583344e-215),Less (2.8822035051855083e-06),Greater (1.0),Less (0.008531272743914574),Greater (1.0),Less (1.4836569111627997e-31),Less (3.305018778945383e-52),Less (3.612007775430303e-53),Equal (0.8114091550096757),Equal (0.9198288901261298),Equal (0.5308963274716488),Equal (0.07470532022040019),Less (6.058753244297585e-27),Less (8.56469609182053e-12),Less (1.6680471956731797e-56),Equal (0.0853755956508698),Greater (0.9977744357288536),Less (0.000995236237520022),Greater (0.9949496927538923),Greater (0.9999995527016012),Less (3.596843162102736e-11),Less (3.0295761342511668e-49),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (8.691886123580631e-07),Equal (0.13789714274037448),Less (6.877628826625892e-26),Less (9.148764061276642e-22),Less (1.0096861129170563e-65),Less (1.9741583166239456e-09),Greater (0.9999530692822228),Less (2.1278672398470922e-05),Greater (0.9999120262778465),Less (2.640778833316174e-38),Less (5.90802874610479e-26),Less (4.226029823562206e-93),Less (1.0468899916810715e-13),Greater (0.9999999578751763),Less (1.3848277315439038e-06),Greater (0.9999994255630796),Less (4.318442155941171e-28),Less (2.6897568038929196e-43),Less (1.649190454531379e-43),Less (4.237681781284321e-05),Less (0.0012130855127717628),Less (9.631714141955744e-05),Equal (0.20738424398575428),Less (7.308696147721938e-28),Less (1.7180742655641358e-13),Less (5.844543829687168e-49),Less (9.628548871302058e-06),Equal (0.7323649389868796),Less (4.563081465261947e-05),Equal (0.35688434286681947),Less (0.0019515557581151562),Less (7.928644817167978e-14),Less (6.14448306567393e-29),Equal (0.17456834484334138),Greater (1.0),Greater (0.9920357623953506),Greater (1.0),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999234487181),Less (0.010724176206129005),Less (0.002299308616884182),Less (4.151973640163328e-15),Equal (0.932447912294754),Greater (0.9999999999999986),Equal (0.35518454123276966),Greater (0.9999999999999767),Less (1.1496340019739952e-05),Less (0.00012035923065030008),Less (1.7251357486189755e-25),Equal (0.49418782486125534),Greater (1.0),Equal (0.8964324747410157),Greater (1.0),Less (0.002457544482799763),Less (2.2738916059386887e-14),Less (1.9585291695680406e-10),Equal (0.1097759730566795),Equal (0.10297999365482262),Equal (0.5198762044908969),Greater (0.9965937312249135),Less (1.1992201496184395e-05),Less (5.999590564726537e-06),Less (2.495198462405769e-22),Equal (0.7578175940729438),Greater (0.9986678924611472),Less (0.024197514491202332),Greater (0.9984187347252392),Greater (0.9999330629470315),Equal (0.907789641750298),Equal (0.05788194113449214),Greater (0.9999999582357633),Greater (1.0),Greater (0.9999999999999887),Greater (1.0),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (5.472749447411056e-20),Less (2.5646547525434297e-18),Less (2.2255578773836272e-44),Less (6.227824440467583e-10),Equal (0.10183548052034772),Less (2.0039501246453867e-06),Equal (0.10521740862759234),Less (1.71016910507875e-27),Less (2.4255503642045652e-21),Less (1.187647117062925e-59),Less (3.1910094929497536e-13),Greater (0.9956937510871738),Less (2.039930948477988e-07),Greater (0.9931120663388052),Less (4.75173962325024e-22),Less (1.519811786796596e-34),Less (9.82744156527765e-34),Less (3.815483424889264e-06),Less (8.873435699304329e-05),Less (6.160166189542973e-06),Less (0.014885756900111723),Less (3.623788918984439e-23),Less (3.5357131779223833e-13),Less (2.026887399091143e-40),Less (1.322841312860508e-06),Equal (0.6012071679866813),Less (1.97873863532384e-05),Equal (0.858336410891051),Less (7.365473367055412e-05),Less (4.003295446509994e-12),Less (1.5114710119633866e-21),Less (0.0016578546072363671),Greater (0.9999634666064117),Equal (0.878702978876541),Greater (0.9999908207062828),
property-full,,,,,,,,,,,,,,,,,,,,,,,Equal (0.12005436902300316),Less (6.32457941023992e-41),Greater (0.9998648420071675),Greater (1.0),Greater (0.9999636002603477),Greater (1.0),Less (1.9830706848792423e-11),Less (0.0006574508736538654),Less (3.398920004924333e-112),Greater (0.9977855374487996),Greater (1.0),Greater (0.9947671402066065),Greater (1.0),Equal (0.3962254274801723),Less (3.752874012072495e-19),Less (6.922592465769089e-12),Greater (0.99999999866327),Greater (0.9999983788564766),Greater (0.9981557194911516),Greater (0.9999999710360377),Less (6.963770676081175e-05),Less (8.900908672410124e-05),Less (6.003921775939617e-28),Greater (0.9981045962393078),Greater (0.999995714242464),Equal (0.20975334687574454),Greater (0.9999371074108702),Greater (1.0),Greater (1.0),Greater (0.9999903804154479),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Less (3.099659053785866e-12),Greater (0.9999763570040494),Greater (1.0),Greater (0.9999896438302952),Greater (1.0),Equal (0.05869825599510207),Equal (0.19727905287416647),Less (1.8798799495359246e-31),Greater (0.9996779802903821),Greater (1.0),Greater (0.9989562479690272),Greater (1.0),Equal (0.3107353377469727),Less (4.0592535805727504e-11),Less (2.829002425440438e-05),Greater (0.9999999995002896),Greater (0.9999997283596981),Greater (0.9995639136053605),Greater (0.9999999912212916),Equal (0.061493000090800894),Less (0.0009372266524056234),Less (1.4559243007796226e-19),Greater (0.9997648923393924),Greater (0.9999985715894394),Equal (0.37782438063215884),Greater (0.9999664826830891),Greater (1.0),Greater (0.9999999881730833),Greater (0.9999107514919293),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
