,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (1.4869028618848551e-168),Less (0.0),Less (2.2413794318233533e-31),Greater (1.0),Less (6.8034105996230725e-12),Greater (1.0),Less (0.0038971473642515006),Less (3.1443471602145695e-308),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (2.7350151210211345e-45),Equal (0.0757271576465581),Less (0.0),Less (4.7881308766084207e-306),Less (0.0),Less (9.203072139482513e-155),Equal (0.07848632063822192),Less (1.016647105332838e-63),Equal (0.8792069986622463),Less (0.0),Less (0.0),Less (0.0),Less (1.0628618073950486e-234),Greater (1.0),Less (5.952608558591592e-38),Greater (1.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Less (1.2474791701392545e-186),Less (0.0),Less (2.906760883081525e-70),Greater (0.9999998251508525),Less (5.489728085921057e-28),Greater (0.9999999942967879),Less (1.6333067156360273e-70),Less (6.19880242639951e-267),Less (0.0),Less (7.748594487042109e-33),Greater (1.0),Greater (0.9999999847648575),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (8.627695247489023e-290),Less (0.0),Less (1.3718746838834318e-145),Less (0.011693492147118257),Less (2.5189935290132095e-61),Equal (0.46907348680254124),Less (0.0),Less (0.0),Less (0.0),Less (6.662303284592226e-243),Greater (1.0),Less (2.110019996767791e-44),Greater (1.0),
property-full,,,,,,,,,,,,,,,,Less (4.348860700586823e-06),Less (1.329713795249049e-127),Greater (1.0),Greater (1.0),Greater (0.9999999999993818),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (1.192705784293184e-24),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.6279287783371912),Greater (1.0),Greater (1.0),Equal (0.4522888590064872),Less (6.590715395210605e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (2.640279213646934e-32),Equal (0.4138551188115158),Less (1.8735192956070816e-32),Less (6.879635616211024e-77),Less (1.8166365913492853e-146),Less (3.740963401971902e-23),Greater (0.9999999999952278),Less (0.0015061862131876755),Greater (0.9999999999999925),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999986199668),Equal (0.40485945957388725),Less (4.166813430925083e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-web development,,,,,,,,,,,,,,,,,,,,,,Less (8.299903980511292e-28),Less (1.642260031356755e-61),Less (4.898060505969059e-111),Less (8.722282054131086e-22),Greater (0.9999984139492186),Less (0.00018797026878705243),Greater (0.9999999722111689),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Less (1.2202528955091493e-176),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (0.9999999641781813),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
