,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999999934093),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999958331913809),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Less (1.5763808163364274e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999996067601),Greater (1.0),Less (0.0074460552449976646),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,Less (2.2413794318233533e-31),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.7093456815775345),Greater (1.0),Less (6.8034105996230725e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999921),Greater (1.0),Equal (0.6279287783371912),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.9302332514501666e-08),Greater (1.0),Less (1.1534300437458643e-18),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Less (5.608522778877582e-24),Less (4.0819559655380395e-12),Equal (0.11056895627357662),Less (5.673306341971063e-132),Less (1.6908740378424678e-95),Less (1.2948119521231775e-84),Less (3.629271298643249e-86),Equal (0.2962176195162608),Less (2.6783829884171425e-17),Less (7.415786227331086e-07),Equal (0.6295663858948717),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Equal (0.07848632063822192),Greater (1.0),Less (3.5774610594794626e-93),Less (2.7350151210211345e-45),Less (1.016647105332838e-63),Less (5.952608558591592e-38),Greater (0.9999999999999996),Equal (0.0757271576465581),Equal (0.8792069986622463),Greater (1.0),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999952278),Less (1.2040083310083132e-25),Less (1.7485318815193805e-07),Less (2.640279213646934e-32),Less (0.0015061862131876755),Greater (0.9999999939349007),Greater (0.9883066263693826),Equal (0.4138551188115158),Greater (0.9999999999999925),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (2.4967719664939895e-202),Less (1.8183586100404494e-202),Less (1.4491089592726477e-94),Less (0.0),Equal (0.9267272448940145),Less (4.824297108799128e-31),Less (1.5860560624215605e-06),Greater (0.9999999641781813),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (8.292019562750414e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (5.489728085921057e-28),Greater (0.9999999847648575),Greater (1.0),Greater (1.0),Greater (0.9999999942967879),Greater (1.0),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9998120301367959),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Less (3.479686951818806e-11),Less (4.607730255270409e-05),Equal (0.05474454822382302),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.46907348680254124),Greater (1.0),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999722111689),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
