,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Greater (0.9999995100561367),Greater (1.0),Equal (0.3006030971900173),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999998874634352),Greater (1.0),Equal (0.48235155581638434),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (0.9999997718012471),Less (0.023852176045442562),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9925576594563092),Greater (1.0),Equal (0.29751118784946307),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999788577448),Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,Less (5.0913511397029116e-11),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.9947690345440218),Greater (1.0),Less (4.495921545958718e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999082102312211),Greater (1.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997753949191845),Greater (1.0),Equal (0.8036840763278714),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999996190408),Greater (1.0),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999998178667),Greater (1.0),Equal (0.08283342529378274),Greater (0.9999999999999999),Less (4.079352106202392e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9909874130752865),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Less (1.0205050192451883e-08),Less (0.0019808982743313034),Equal (0.11390319866569103),Less (1.9881358116981593e-16),Less (6.620395053977051e-22),Less (4.261058515229747e-20),Less (6.012196831845352e-16),Equal (0.37774481800307136),Less (8.698825363321085e-06),Less (2.2231203411088166e-05),Equal (0.37577437395639535),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Equal (0.47485786140813635),Greater (1.0),Less (3.6693710024134295e-10),Less (1.1146468962560919e-11),Less (5.154665982260874e-16),Less (3.0432425185861735e-10),Greater (0.9997456946995329),Greater (0.9993249710038883),Equal (0.09322702467327648),Greater (1.0),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (0.9933271929433204),Less (3.076824176190563e-07),Less (0.00010186013058400802),Less (1.9344233195585743e-11),Less (0.005835469142252809),Equal (0.07715447356619379),Equal (0.7072078567959708),Equal (0.09971987907848194),Greater (0.9979626282750412),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (5.2541393814141275e-20),Less (1.1934952292266294e-78),Less (9.941889133702272e-24),Less (0.0),Equal (0.9473358845035917),Less (2.037770404315912e-15),Less (2.2222482085032283e-05),Greater (0.9999998703488706),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (0.9997559671791068),Less (0.013202292419379067),Greater (0.9999974376177936),Greater (0.9999999999857417),Greater (0.9999999999994581),Greater (0.9974755935121651),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (1.0119811920020335e-09),Greater (0.9992924035635844),Greater (0.999999999997882),Greater (1.0),Equal (0.4125484423851504),Greater (1.0),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999704772),Greater (0.9999999999999939),Greater (1.0),Greater (0.9999948462139802),Greater (1.0),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999586704701),Greater (1.0),Equal (0.8232783273222063),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0071446959490233395),Less (0.001259314448037129),Equal (0.63820686085406),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.009653491415014419),Greater (1.0),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999913446348236),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
