,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Less (6.959716295321623e-05),Less (8.180472055183501e-289),Less (2.6123563016627663e-21),Less (0.0),Less (0.0),Less (6.642584534388093e-132),Less (0.002387071413026636),Less (3.4563053138430214e-33),Less (1.3256654232948239e-111),Less (1.701792918744424e-63),Less (0.0),Less (0.0),Less (7.746733883931736e-26),Less (1.3000857822145247e-199),Less (9.983493386357749e-08),Less (2.6627601626477535e-243),Less (5.856004683544233e-23),Less (0.0),Less (0.0),Less (5.435610963874107e-167),Less (0.0),Less (2.177832308761031e-37),Less (1.7349451629911388e-220),Less (2.5055233787537733e-79),Less (1.5190222631934967e-164),Less (3.6507492036103965e-213),Less (4.517594399840934e-24),Less (7.057545988592427e-13),Less (4.526130260337022e-06),Less (1.3312590507664478e-53),Less (6.903277048118421e-07),Less (1.7130586216805357e-137),Less (3.618743742886203e-96),Less (2.270709828548463e-60),Less (9.470768763029646e-06),Less (5.139116716254537e-08),Less (1.1519577842724517e-30),Less (1.798885624660378e-23),Less (0.0),Less (0.0),Greater (0.9960302280894744),Less (1.1868351016046177e-283),Less (6.568556116370018e-17),Less (0.0),Less (5.56618051096286e-100),
executive-soa and middlewares,,,,,,,,,,,,,Less (9.728936620035499e-131),Less (6.789813253190453e-06),Less (1.0935641780954888e-161),Less (0.0),Less (2.45778515201281e-85),Equal (0.5062945324155894),Less (5.681268042785193e-23),Less (3.0439563919758615e-84),Less (1.476774811697253e-47),Less (6.681416610803448e-206),Less (0.0),Less (3.7933568312142173e-13),Less (2.904414198657623e-141),Less (7.520049381770374e-05),Less (1.1349864894166213e-177),Less (5.518865786063887e-16),Less (0.0),Less (0.0),Less (1.78932265911552e-91),Less (3.46717208971591e-215),Less (3.0066073893784303e-25),Less (1.6529269661799783e-164),Less (2.684588187252976e-57),Less (6.869669156007164e-97),Less (8.308409381362331e-156),Less (1.139104271889873e-15),Less (1.4959526559518963e-08),Less (0.00034515261192365903),Less (1.3331110358072922e-40),Less (5.6453752050849306e-05),Less (3.841820127660917e-96),Less (8.148022255738376e-78),Less (7.547793745667885e-46),Less (0.0004309212345007747),Less (2.6271990737546898e-06),Less (2.3107119921822598e-25),Less (4.425592157040435e-19),Less (4.728801542167923e-199),Less (0.0),Greater (0.9999999999010368),Less (6.392758137945067e-91),Equal (0.1184138658056627),Less (4.941233540491215e-273),Less (1.70443197331031e-25),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (3.6525492254305154e-07),Less (4.2718684496258364e-206),Less (0.00010952831947664761),Greater (1.0),Equal (0.7190529009228206),Less (7.054360094689763e-16),Less (4.861453592882852e-06),Less (2.1014186923919908e-16),Less (7.13880278069788e-111),Greater (1.0),Less (1.6150224670297707e-25),Greater (0.9999825417685029),Less (5.976628373457572e-42),Equal (0.38831888606029874),Less (2.238517637970372e-59),Less (6.160279442559144e-228),Equal (0.8452963352451944),Less (2.3565042015936293e-45),Equal (0.48877572593703433),Less (1.2880839515004337e-40),Less (1.0539017471708478e-05),Less (0.005110595041767408),Less (5.463044194399647e-35),Greater (0.9942552970163786),Greater (0.9963687708721866),Greater (0.9948758530519196),Less (1.4101419997371675e-05),Equal (0.09276381101622529),Less (8.024856290825975e-12),Less (4.9578113041366035e-22),Less (2.0568775917024985e-06),Greater (0.9837431825387267),Equal (0.6946903155557318),Less (2.494145792842883e-07),Less (0.00022920436130737507),Equal (0.39246928279129434),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.5725846659164814e-15),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (3.744004829748758e-125),Less (0.0),Less (1.125001089131162e-61),Equal (0.05680124299397655),Less (6.689429677043376e-15),Less (8.058239876662863e-65),Less (4.827664762483355e-35),Less (2.880314914131125e-165),Less (0.0),Less (1.194258809350885e-05),Less (1.973480158820977e-110),Less (0.01446960798786624),Less (4.8190007536308655e-142),Less (3.4128787725110753e-10),Less (2.1085730254542933e-292),Less (0.0),Less (5.8571294832096535e-64),Less (1.3557394498441722e-173),Less (3.555717173644026e-16),Less (1.9518792645985911e-131),Less (9.198203086291222e-42),Less (6.878234081685071e-70),Less (8.195332408562096e-124),Less (3.174267895832482e-09),Less (5.76371446036197e-05),Less (0.015281608923425876),Less (5.5439517470901284e-30),Less (0.003436189148363361),Less (1.9235992986081276e-72),Less (8.236656409306897e-62),Less (5.93934806708922e-34),Less (0.014021798126896242),Less (0.00013391360519446197),Less (4.736288211710061e-20),Less (1.2288212652343204e-14),Less (7.147893278892373e-161),Less (0.0),Greater (1.0),Less (3.340335983735787e-59),Greater (0.9999942077412433),Less (4.491812664486207e-233),Less (4.269114390322566e-08),
existence-executive-full,,,,,,,,,,,,,,,,Less (6.498201910207808e-148),Equal (0.523136470467756),Greater (1.0),Greater (0.9861401401154276),Less (1.1392919839317359e-09),Less (0.0037972715321264385),Less (0.0035331882066542554),Less (2.6972442723406017e-70),Greater (1.0),Less (3.0299387923419154e-14),Greater (0.9999999911203032),Less (4.749833104704944e-27),Greater (0.9933283253172818),Less (2.025881396484459e-20),Less (2.1078816116955615e-153),Greater (0.999897215229217),Less (6.415731977305112e-26),Greater (0.9965372224236495),Less (3.8020344499081086e-27),Less (0.015833955537020973),Equal (0.28671082804573345),Less (3.797155638977793e-22),Greater (0.9999955207610985),Greater (0.9999869689359862),Greater (0.9998888671661269),Less (0.004563335452027307),Greater (0.9966061275884668),Less (2.172486110245769e-05),Less (1.7037377187607032e-16),Less (0.0015795090305306817),Greater (0.9992201421552566),Equal (0.734818384688422),Less (1.2419776236501689e-05),Less (0.004060118156962768),Greater (0.9999999930050746),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8598736170813146),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999586559331842),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999984748),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9873861055991942),Greater (1.0),Greater (1.0),Greater (0.9999999999997512),Greater (0.9819822801611237),Greater (0.9999968302421011),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9914895768611739),Less (1.5862167670132403e-07),Less (0.01547230531117821),Equal (0.2807445193815664),Less (2.2453907563585902e-39),Greater (1.0),Less (1.5798878502412585e-09),Greater (0.9999999926204179),Less (3.632424654531815e-19),Greater (0.9959765836150869),Less (4.1075530338961426e-07),Less (9.116482789809874e-83),Greater (0.9994433184068996),Less (1.2395063098399699e-15),Greater (0.9978474790225392),Less (3.649437778032599e-20),Equal (0.11895216094685723),Equal (0.17928683356897135),Less (7.813805880042818e-16),Greater (0.99999491051983),Greater (0.9999905176966871),Greater (0.9999447158136819),Less (0.016553951611876106),Greater (0.9978985025120272),Less (0.0011662912212569404),Less (1.0159821324114374e-14),Less (0.007160074154457729),Greater (0.9995608768846039),Equal (0.6127520862885822),Less (2.469272442855442e-05),Less (0.007055596195170642),Greater (0.9998683280925963),Less (3.3166514201729447e-81),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5320900251312257),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Less (3.952764151859413e-15),Less (1.4169306723438003e-55),Less (1.084933305108668e-32),Less (9.979595262451571e-65),Less (2.2506516393486985e-165),Less (1.7313407393388015e-06),Less (1.590221422741523e-76),Less (0.0013513909702583642),Less (1.414356485130834e-100),Less (3.067155259952488e-11),Less (9.149553895103355e-99),Less (1.275084757076685e-255),Less (4.263366553874032e-34),Less (4.126522632619665e-102),Less (6.213310667481393e-16),Less (1.7736694780939812e-98),Less (9.583664436683384e-36),Less (1.4382407734089897e-39),Less (5.037516312552224e-89),Less (4.408079511322151e-10),Less (3.5026229643152233e-06),Less (0.0021447622165080152),Less (2.3442656618820768e-29),Less (0.0004540049356906399),Less (5.210540017158677e-53),Less (1.2224807697584849e-60),Less (1.179449676763484e-32),Less (0.00225928417599207),Less (1.64104713073556e-05),Less (4.344776382881056e-22),Less (2.3168730557070144e-16),Less (5.831010431720615e-44),Less (1.9789280834221452e-302),Greater (0.9999525619831816),Less (1.1617644391451014e-20),Equal (0.945659928300387),Less (3.5329756789254623e-62),Less (4.17544991300873e-06),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (3.223811565289078e-10),Less (0.00012142800378735227),Less (0.00044340406617968743),Less (2.082339845131032e-32),Greater (0.9999945562663987),Less (6.2816654363075146e-12),Greater (0.9991552146003382),Less (3.1625813034193386e-20),Equal (0.6645119462251399),Less (3.845762313889213e-09),Less (3.2857682369631694e-59),Equal (0.6757852684859456),Less (1.7605457680652393e-16),Equal (0.8103767579880792),Less (2.302714473337549e-21),Less (0.0004874562417941258),Equal (0.11545622296818878),Less (2.2824849637449052e-17),Equal (0.1202285452400684),Equal (0.05738092882204283),Greater (0.9822617224481129),Less (0.00017848805111620223),Equal (0.18935225071945505),Less (2.7284881893598387e-06),Less (1.0375779120727995e-17),Less (4.885354363136289e-05),Equal (0.0816760323083298),Equal (0.6207199762355645),Less (4.211331146525343e-07),Less (0.0002889942676353519),Equal (0.5600877399190911),Less (1.3208936852767147e-47),Greater (1.0),Greater (0.994699927460489),Greater (1.0),Less (0.008814569491824718),Greater (0.9999999996678772),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9854439256737708),Greater (0.9999996605857658),Less (0.000248448101881791),Greater (1.0),Equal (0.6480057907321595),Greater (1.0),Equal (0.05313720671816103),Greater (0.9999999996234596),Greater (0.9970777945334077),Less (3.299568607036277e-13),Greater (0.9999999999999921),Equal (0.7071882531748039),Greater (0.9999999999898389),Less (0.006038252226551807),Greater (0.9992345495880536),Greater (0.9999999997762351),Equal (0.16546500952449872),Greater (0.999999999999999),Greater (0.9999999999999633),Greater (0.9999999999837965),Equal (0.061734839937117245),Greater (0.9999999858170466),Greater (0.9937344171748889),Less (0.00019556433201585032),Equal (0.07558457671404227),Greater (0.9999999988778785),Greater (0.9957253437592786),Equal (0.09001064767525503),Equal (0.9747618149964367),Greater (0.9999999999999996),Less (1.8529986829581073e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999997873037),Greater (1.0),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.08574846866224511),Less (6.621180510421875e-10),Greater (1.0),Less (0.018948184472698856),Greater (0.9999999998742434),Less (7.865530810172052e-06),Greater (0.9999323874620446),Equal (0.7153456450714292),Less (1.2685501197720852e-22),Greater (0.9999903854402443),Less (0.0012654122686733792),Greater (0.9999736076142524),Less (9.004684216772789e-07),Equal (0.47356783249910583),Greater (0.9988745591002147),Less (9.200445027892674e-05),Greater (0.999999917420776),Greater (0.9999998541449323),Greater (0.9999990185738069),Equal (0.8747394407354756),Greater (0.9999355961010231),Equal (0.9075658486362019),Less (1.2003073745759004e-07),Equal (0.7529996861228005),Greater (0.9999889690149701),Equal (0.15817414202567415),Less (0.002254577096501016),Equal (0.22003123776299982),Greater (0.9999937410846741),Less (4.551134414912887e-14),Greater (1.0),Greater (0.9999999999998914),Greater (1.0),Greater (0.9970776608198592),Greater (1.0),
property-full,,,,,,,,,,,,,,,,,,,,,,,Less (4.3379466372664876e-58),Greater (1.0),Less (4.259950856807653e-10),Greater (0.9999999999823429),Less (1.5602819170976441e-21),Greater (0.999738488292912),Less (4.811030978813004e-11),Less (4.846583334568955e-135),Greater (0.9999999996104173),Less (3.0263014628108317e-19),Greater (0.9999602992844321),Less (4.421621878051191e-22),Equal (0.3172094317373563),Greater (0.9992132748261955),Less (2.2345114885775462e-17),Greater (0.9999999927618025),Greater (0.9999998880684321),Greater (0.9999950307043463),Equal (0.08168563434939745),Greater (0.9995891669797443),Less (0.0033692590730826453),Less (3.466787222604135e-14),Less (0.020028743898700834),Greater (0.999931637648372),Equal (0.43848601140247156),Less (6.89476620863968e-05),Less (0.014416283378927875),Greater (1.0),Less (4.333486522662895e-283),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998663888188625),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999134933903),Greater (1.0),Equal (0.11862973981681683),Greater (1.0),Greater (1.0),Less (3.749893929566847e-09),Greater (1.0),Greater (0.9999973294675274),Greater (1.0),Equal (0.5920563632264932),Greater (0.9999999999999998),Greater (1.0),Greater (0.9858411809613149),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999465252485),Greater (1.0),Greater (0.9999999999999997),Equal (0.08182962922152542),Greater (0.9999999528960949),Greater (1.0),Greater (0.9999953588924362),Equal (0.6830972784318203),Equal (0.09008210796529134),Greater (1.0),Equal (0.16556210424817752),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
