,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Less (6.074182885023415e-06),Greater (1.0),Less (1.4791633520582103e-11),Greater (1.0),Equal (0.07527184352380373),Greater (1.0),Greater (0.9876006413568783),Greater (1.0),Less (2.802453980461067e-16),Greater (0.9799282237782388),Less (2.486035154538819e-15),Less (0.0007238549792760407),Less (0.012263635020840845),Greater (1.0),Less (0.016955332153101514),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Less (3.4032638388764085e-150),Greater (0.9989400556678246),Less (3.097674525216501e-144),Less (0.0),Less (1.659449754493287e-33),Less (7.191259904572871e-05),Less (1.0185329654415813e-14),Less (1.3473996280578334e-69),Less (1.1718468746885672e-147),Less (1.896698575721606e-163),Less (6.001588341556596e-114),Less (0.0),Less (2.629171755403947e-68),Less (2.709240973099806e-07),Less (1.3018190481054342e-41),Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Less (0.006265585314904689),Greater (1.0),Greater (0.9999990085218466),Greater (1.0),Greater (0.9999978840720745),Greater (1.0),Less (2.0588327055215413e-05),Greater (0.9999999992319606),Less (5.138390602572792e-06),Greater (0.9988905883358616),Equal (0.2625489939462843),Greater (1.0),Equal (0.5789403589759458),Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,Less (9.278028987917437e-133),Less (3.3167473833911356e-123),Less (2.867654902512814e-35),Less (4.1610105910692404e-07),Less (3.961836551727089e-17),Less (2.940507615564218e-18),Less (3.8121825126703257e-140),Less (1.5077621554202546e-105),Less (1.8958506139379338e-114),Less (0.0),Less (1.1340321496687129e-67),Less (2.3493691159737442e-09),Less (1.3014320054758087e-44),Less (4.659624583659639e-62),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999999831884),Greater (1.0),Greater (0.9999999997501091),Greater (1.0),Equal (0.09793457510276482),Greater (0.9999999999999997),Less (0.012129471755947831),Greater (0.9999999949934251),Greater (0.999325203776566),Greater (1.0),Greater (0.9903206253144373),Greater (1.0),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Less (0.011299064618581049),Greater (1.0),Equal (0.4625896620765616),Greater (1.0),Less (1.3212669101063997e-42),Less (2.595918789060538e-10),Less (5.610098484363983e-35),Less (0.0),Less (4.052728155989995e-12),Greater (1.0),Less (1.9910944634793537e-08),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (0.9999999999999996),Equal (0.4440823567997181),Greater (1.0),Less (1.6473304595393609e-15),Equal (0.5932072624652178),Less (1.6001937773987913e-15),Less (0.00015016019164729494),Less (0.0006957150441203854),Greater (0.9999999999999996),Less (0.001262797642024563),Greater (0.9999999417158205),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (5.1093996119835025e-08),Equal (0.596363964180564),Less (7.428860085666923e-80),Less (2.6677015163198008e-39),Less (2.104893093399919e-68),Less (2.512475121784177e-109),Less (3.75227828697042e-35),Equal (0.7016083995887),Less (7.92726504722027e-25),Less (1.0225512217151734e-10),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (0.9999999861060941),Less (1.065294771245028e-13),Equal (0.21072051098421218),Less (3.0703374547380355e-14),Less (0.00018745849167404953),Less (0.00033066744817423013),Greater (0.9999999104327839),Less (0.0004682421665391348),Greater (0.9980902338012364),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (4.0906146701372225e-106),Less (1.2360851414434506e-92),Less (4.3671181850275956e-83),Less (0.0),Less (2.571267811297695e-45),Equal (0.9658929762572855),Less (3.0835313693337283e-28),Less (1.349726323231177e-107),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.45657073519385727),Greater (0.9999999999998932),Greater (0.9999980102663427),Greater (1.0),Greater (0.9998314033915469),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (2.9871964821842905e-19),Less (3.829122306141339e-11),Less (0.0002532019552590923),Greater (1.0),Less (0.0010364124378692934),Greater (1.0),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999989225),Greater (0.9999995093589552),Greater (1.0),Greater (0.9999662095668301),Greater (1.0),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.38502855038449646),Greater (1.0),Equal (0.29873382820948957),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.7535068044737926),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (9.252512857543658e-25),Less (5.136885784004334e-12),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999999986),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
