,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
content management-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content management-property,,,,,,,,,,,,,Less (0.013761346988981531),Equal (0.993816620314177),,Equal (0.2343236009865599),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999999999687),Greater (0.9887645198175702),,Greater (1.0),Greater (0.9999999999999902),Greater (1.0),,Greater (0.9993485636465153),Greater (0.9999860228547152),Greater (0.9999809845899513),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9991838535285332),Greater (0.9942970228029281),,Greater (1.0),Greater (0.9972633616017108),Greater (1.0),,Equal (0.22811674045924546),Equal (0.8130255207360817),Greater (0.9839395678021038),,Greater (1.0),Greater (0.9999999999999992),Greater (1.0),,Greater (0.9999999991043997),Equal (0.08108604949111556),Equal (0.15605377185640706),,Greater (1.0),
content management-existence-property,,,,,,,,,,,,,,Equal (0.3145607083312646),,Equal (0.05797664844256947),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.999999999945923),Greater (0.999672415935794),,Greater (1.0),Greater (0.9999999994486111),Greater (1.0),,Greater (0.9999538234384024),Greater (0.9999997587479215),Greater (0.9999995636306219),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999805280455841),Greater (0.9993982609059664),,Greater (1.0),Greater (0.9998765122463594),Greater (1.0),,Greater (0.9968686067966642),Equal (0.3448958529195659),Greater (0.9982191669758587),,Greater (0.9999999999999992),Greater (0.9999999999907977),Greater (1.0),,Greater (0.9999999989260078),Greater (0.9972468749214405),Greater (0.9832031751969124),,Greater (1.0),
content management-executive-property,,,,,,,,,,,,,,,,Equal (0.8404638438336745),Greater (0.9998827778581953),Greater (0.9999997709403627),,Greater (0.9991326611875871),Greater (0.9821560791764385),Equal (0.19942148230637347),,Greater (0.9999999999993429),Equal (0.06941059797667283),Greater (0.9999999999999822),,Equal (0.3870198266030932),Greater (0.993514133599638),Greater (0.9997308544446583),,Greater (0.999968867778765),Greater (0.9996842469668926),Greater (0.9999999995734064),,Greater (0.9999129075162337),Equal (0.06613186654190649),Greater (0.9860231846655316),,Greater (0.9999999994579811),Equal (0.43126815663150075),Greater (0.9991898965002941),,Equal (0.6844108947864604),Equal (0.8905408822185448),Equal (0.08195016057380908),,Greater (0.9932531344930036),Greater (0.9875865036019833),Greater (0.9999999992701653),,Greater (0.9819416602852984),Equal (0.24880661254842917),Equal (0.23465039410928867),,Greater (0.9999995299198715),
content management-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
content management-,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),,Greater (1.0),Greater (1.0),Greater (0.9963001700440733),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999998900539088),Greater (0.999998516179834),Greater (0.9999933053536093),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9998232624322584),Greater (0.9962673951938054),,Greater (1.0),Greater (0.9999938475552793),Greater (1.0),,Greater (0.9813024542514424),Equal (0.9834817904748548),Greater (0.9893346954885743),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999866),Greater (0.9784377137509216),Equal (0.11941671253648632),,Greater (1.0),
data storage & processing-existence,,,,,,,,,,,,,,,,,,Greater (0.999999999998512),,Less (0.004586430879165528),Less (3.012657762735807e-08),Less (0.001234468655686178),,Greater (1.0),Less (9.468006430981347e-16),Greater (1.0),,Less (6.006623840882872e-28),Equal (0.47527779591030084),Equal (0.10558800242976499),,Greater (0.9767687668159873),Equal (0.521111391355545),Greater (1.0),,Equal (0.5356230543069771),Equal (0.07142626079745171),Equal (0.5151091068394469),,Greater (1.0),Less (6.921506362200339e-25),Less (0.006897811152032029),,Less (6.947887853063891e-23),Less (1.3451310648008458e-06),Equal (0.9202397132302297),,Less (1.7859937151006413e-18),Less (1.1903023645538939e-06),Greater (1.0),,Less (6.125257018028407e-05),Less (0.012671430116925474),Equal (0.5071629462563549),,Greater (0.9999999999998802),
data storage & processing-executive,,,,,,,,,,,,,,,,,,,,Less (9.967630408905037e-23),Less (1.991061350339425e-25),Less (7.728882562613403e-07),,Greater (1.0),Less (4.369566903150568e-50),Greater (1.0),,Less (6.393918705854252e-66),Less (0.015820133185039362),Equal (0.27903898103302116),,Less (8.05633270655919e-21),Less (6.531821429965168e-07),Greater (0.9999991019965772),,Less (0.012671478497992652),Less (0.0003968066353913763),Equal (0.8423070252580298),,Greater (0.9999999999999988),Less (1.5217661894113014e-56),Less (5.048364689497548e-28),,Less (1.0141509263883646e-46),Less (8.180456128752591e-11),Equal (0.46880539171914526),,Less (4.564536122667142e-149),Less (1.1568074134973995e-21),Greater (0.9999994837018875),,Less (2.016783095959669e-13),Less (0.00019442095065657513),Equal (0.19622338692933428),,Equal (0.1795801880489466),
data storage & processing-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data storage & processing-property,,,,,,,,,,,,,,,,,,,,,Less (0.00021501389803375436),Less (0.010921509305776607),,Greater (1.0),Less (1.9082922598940194e-08),Greater (1.0),,Less (1.8855755728362155e-18),Equal (0.934080375351934),Equal (0.05730571183229552),,Greater (0.9999999600640169),Equal (0.2699511178785208),Greater (1.0),,Equal (0.05837788316428109),Equal (0.25266541079340876),Equal (0.3823661247953527),,Greater (1.0),Less (1.031251575407877e-16),Equal (0.6562210407285154),,Less (2.7567313936679932e-16),Less (2.8755178042264808e-05),Equal (0.8538095829373819),,Less (3.2069659486228857e-06),Less (0.002105529990363284),Greater (1.0),,Less (0.007147060465111768),Equal (0.09170660724142858),Equal (0.6941433204885548),,Greater (1.0),
data storage & processing-existence-property,,,,,,,,,,,,,,,,,,,,,,Equal (0.39023672666547027),,Greater (1.0),Equal (0.36336375157590317),Greater (1.0),,Less (3.7113192196975236e-05),Equal (0.2599058527737894),Greater (0.9932001535784161),,Greater (0.9999999999998024),Greater (0.9999131194424317),Greater (1.0),,Greater (0.9999632865843576),Equal (0.8910724679516631),Equal (0.1878399550819635),,Greater (1.0),Less (4.601709331052817e-05),Greater (0.9999572232751084),,Less (3.508743716896536e-06),Less (0.0031421641896292644),Equal (0.4582845992003346),,Equal (0.1691198149340335),Equal (0.6263900496942747),Greater (1.0),,Equal (0.8771219385181573),Equal (0.5273019609982319),Equal (0.8902468119124137),,Greater (1.0),
data storage & processing-executive-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999999212),Equal (0.6213298480043582),Greater (0.9999999999999989),,Equal (0.36444512197244094),Equal (0.13179490814864156),Greater (0.9971042189724292),,Greater (0.9997450145004312),Greater (0.995894337547467),Greater (0.9999999996023987),,Greater (0.998957862536408),Equal (0.4710056920024669),Equal (0.11504316178254993),,Greater (0.9999999996134904),Equal (0.32785791289517596),Greater (0.9913524642970261),,Equal (0.12906930345109197),Equal (0.10588553729784951),Equal (0.2919736155646351),,Equal (0.16680099940391646),Equal (0.2835119209721424),Greater (0.9999999993095672),,Equal (0.36615783464265594),Equal (0.9849665100246208),Equal (0.6476557392110862),,Greater (0.9999982858866583),
data storage & processing-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data storage & processing-,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.822253264668008e-148),Greater (0.9988640550644268),,Less (8.450155267493035e-159),Less (2.013016354107225e-05),Equal (0.623922620060283),,Less (0.0),Less (4.039562496078939e-28),Less (7.581414599320853e-05),,Less (4.444602719242645e-10),Less (1.4884779911717756e-08),Equal (0.7257146945359487),,Less (1.3473996280578334e-69),Less (1.1424618714367942e-131),Less (5.809040905414978e-163),,Less (4.941583784870878e-100),Less (1.716215443922524e-19),Equal (0.11987532383759958),,Less (0.0),Less (1.8115321885321608e-62),Less (4.109833090574014e-07),,Less (1.5322427197775443e-34),Less (2.719733814247812e-08),Less (0.015056359876832336),,Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),,Less (0.00020712968645846482),Equal (0.13548913325549114),Greater (0.9954898311426612),,Greater (1.0),Greater (0.9999998423841053),Greater (1.0),,Greater (0.999999499525042),Equal (0.6203479977177561),Equal (0.15353922633899214),,Greater (1.0),Less (0.0002472592079733409),Greater (0.9999999998035419),,Less (2.113252427119248e-05),Less (0.007932733013014075),Equal (0.37818401491629594),,Greater (0.9996283415416212),Equal (0.14360578094860788),Greater (1.0),,Equal (0.3867248498316588),Equal (0.7329942909379217),Equal (0.7740940547564092),,Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.3219926455462787e-147),Less (2.8452473942543556e-06),Equal (0.7308924035853123),,Less (9.10791817093316e-123),Less (3.0474978845187145e-30),Less (4.700376454237204e-07),,Less (4.4504205082192214e-12),Less (8.72413691391938e-10),Equal (0.6236574454596611),,Less (3.6827114767067165e-18),Less (6.470774565508333e-127),Less (3.744885507362654e-105),,Less (3.0904105520505037e-102),Less (8.402092356551647e-22),Equal (0.07669932330696459),,Less (0.0),Less (1.3674715422834245e-62),Less (3.6801099119180753e-09),,Less (1.2804398110628377e-37),Less (2.174447268073603e-09),Less (0.00865670016438666),,Less (8.27850046937332e-62),
devops and cloud-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops and cloud-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9975987454705925),Greater (0.9995542659144914),,Greater (1.0),Greater (0.999999999999998),Greater (1.0),,Greater (0.999999999999634),Equal (0.06904043778044168),Equal (0.05035158490187884),,Greater (1.0),Equal (0.8477766926552854),Greater (1.0),,Equal (0.21423657355335568),Equal (0.2119873174102399),Equal (0.13359838485403902),,Greater (0.9999999999997837),Greater (0.9999950581864117),Greater (1.0),,Greater (0.9995491793384321),Equal (0.4709114112305698),Equal (0.38663457532044965),,Greater (1.0),
devops and cloud-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.0718601131253905),,Equal (0.28890477104129353),Equal (0.6322502640826632),Greater (0.9993649983909035),,Equal (0.34231256561920176),Equal (0.4607609965418987),Equal (0.40017430626763106),,Greater (0.9992618664487939),Less (0.0022664148817772294),Equal (0.8694922882298772),,Less (0.0004729239379567863),Less (0.0018871123882736142),Equal (0.8447548854369576),,Equal (0.4559547493590529),Equal (0.3615012066951079),Greater (0.9991530833664217),,Equal (0.3146523394281254),Equal (0.20858055630217287),Equal (0.7580466997529896),,Greater (0.9775008147496583),
devops and cloud-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.13961084441874458),Equal (0.08671442150595449),Equal (0.4702938299657413),,Equal (0.13635917358731298),Less (0.012313332099714462),Equal (0.5635082626508223),,Equal (0.4467352749678424),Less (0.00043405202655948067),Equal (0.06928786318168033),,Less (0.00013997237456069887),Less (0.00015832915346855196),Equal (0.1730053045628498),,Less (0.011876608234127556),Less (0.009958584887438766),Equal (0.45346607442462883),,Less (0.008228136078514272),Less (0.005194452963895516),Equal (0.07867782650779644),,Equal (0.2533300584549616),
devops and cloud-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devops and cloud-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.0776919769039648),Greater (1.0),,Equal (0.9508543183802866),Less (0.014516225534329004),Equal (0.5916818446168668),,Greater (1.0),Less (1.521576180606212e-37),Less (2.6525246122348686e-10),,Less (3.6397638730695134e-31),Less (1.518424947240046e-07),Equal (0.8008687695022692),,Less (0.0),Less (6.310240875087011e-11),Greater (1.0),,Less (5.324660580078734e-07),Less (0.005361154071740804),Equal (0.41806548603520555),,Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999999023),,Equal (0.33345735187838266),Equal (0.13114391992462213),Equal (0.46487417405872133),,Greater (0.9999999999999998),Less (1.508265131676448e-14),Equal (0.38142847904795907),,Less (3.461654765802779e-15),Less (7.892618441078808e-06),Equal (0.9931467999377871),,Less (6.306188066050893e-05),Less (0.0006346933980896699),Greater (0.9999999999999035),,Less (0.00188343192620031),Less (0.02302605008918634),Equal (0.5719211656154919),,Greater (0.9999980614210785),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.2158258336583492e-05),Less (3.0150243235912825e-06),Equal (0.8996921175546497),,Equal (0.5923717379405744),Less (8.865846074712224e-73),Less (3.167986058632507e-39),,Less (4.197769288951035e-62),Less (6.03744971396356e-15),Equal (0.22930541768463053),,Less (4.786528260600183e-109),Less (1.1716403010987148e-32),Equal (0.7319805314073919),,Less (3.840158183726582e-21),Less (2.4692093902134116e-06),Equal (0.07388470906707847),,Less (1.0475300307653911e-10),
soa and middlewares-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.05000942877660795),Equal (0.5838174098405139),,Greater (0.9999915988720662),Less (9.003459901731478e-13),Equal (0.09208431189861485),,Less (5.895450303409041e-14),Less (1.7538663023389606e-06),Equal (0.8169871488789346),,Less (8.24402886641468e-05),Less (0.00022198361380732924),Greater (0.9999812241501834),,Less (0.00046616063467002733),Less (0.008976970753229964),Equal (0.4267679251804235),,Greater (0.9752858656693416),
soa and middlewares-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.23205391664323693),,Greater (0.9999966266790297),Equal (0.06234205102341803),Equal (0.2235189739738137),,Less (0.009267197096150892),Less (0.013308025623038363),Equal (0.5335606743067707),,Equal (0.7659275530631915),Equal (0.9439220054599533),Greater (0.9999955165390352),,Equal (0.9582325538644032),Equal (0.5487293906916709),Equal (0.94803021453455),,Greater (0.9993251681394585),
soa and middlewares-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.9252993625620721),Less (0.024424887270413774),Equal (0.4147855106022582),,Less (0.013741352234860681),Less (0.011285884824298787),Equal (0.5744187692061539),,Equal (0.2477821165769163),Equal (0.22353424855111437),Equal (0.9199015347093067),,Equal (0.20326542328469677),Equal (0.14381420276886692),Equal (0.3694448207074241),,Equal (0.8031178890755912),
soa and middlewares-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soa and middlewares-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.683160703833339e-94),Less (2.1744991082681126e-92),,Less (3.219239422528477e-73),Less (6.171499339340696e-15),Equal (0.246238609523469),,Less (0.0),Less (2.30015034932296e-41),Equal (0.912122222627551),,Less (1.9573395827844352e-23),Less (2.9626965992065796e-06),Equal (0.0801360666645666),,Less (1.349726323231177e-107),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),,Equal (0.3035393223555526),Equal (0.2489936210158079),Equal (0.1282457926794997),,Greater (0.9999999999921131),Greater (0.9999933082563053),Greater (1.0),,Greater (0.9995732321673775),Equal (0.43907754020985124),Equal (0.3776625353544084),,Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.2664912977310987e-17),Less (2.51998195914508e-05),Equal (0.9020128418874099),,Less (4.382992428220713e-11),Less (0.0006512377274269313),Greater (1.0),,Less (0.0036180820446379603),Equal (0.08264951968303408),Equal (0.6730844358554833),,Greater (1.0),
software development tools-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.4904901031572403),Equal (0.07380944041778642),,Greater (0.9999999999879168),Greater (0.9999994104454795),Greater (1.0),,Greater (0.9999616213528111),Equal (0.23285386197590474),Equal (0.2619368475821645),,Greater (1.0),
software development tools-existence-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.05832225466291977),,Greater (0.9993824013492616),Greater (0.9981987579453584),Greater (0.9999999999999875),,Greater (0.9964113343798006),Equal (0.15918301183843553),Equal (0.19149572063681508),,Greater (0.9999999997715743),
software development tools-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.5855425108640208),Equal (0.5290706656607602),Equal (0.24430444937933993),,Equal (0.4902353734457684),Equal (0.3438963463726046),Equal (0.7051946425779623),,Equal (0.5121925022211067),
software development tools-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
software development tools-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equal (0.507936488758429),Greater (1.0),,Equal (0.44045821078305825),Equal (0.31722281665220364),Equal (0.9676379982916128),,Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),,Equal (0.8071671811930144),Equal (0.42776214450973993),Equal (0.9608704489951606),,Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (4.6781509643740456e-21),Less (3.6019442200358914e-06),Equal (0.08118618355152053),,Less (3.532855762476453e-12),
web development-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
