Project,Domain,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered,Total
Apache-BEAM,data storage & processing,7924,530,168,504,113,43,43,88,136,179,352,1,40,14,14,9,10,51,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10225
Apache-TEZ,data storage & processing,2752,97,45,243,108,4,1,1,29,20,33,0,4,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344
RedHat-CRW,software development tools,4,30,0,37,0,0,0,0,69,0,2162,0,53,0,0,0,0,144,0,0,75,3,1,0,0,0,0,10,28,49,0,2,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712
Apache-MNG,software development tools,3171,613,339,599,87,2,0,7,264,8,52,0,11,20,1,625,0,14,2,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5865
Apache-ZEPPELIN,data storage & processing,2984,55,78,181,82,9,25,13,29,4,33,3,21,2,9,4,1,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3541
Apache-KYLIN,data storage & processing,3445,243,168,225,116,6,75,9,70,25,63,1,26,2,16,62,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4562
Apache-SMX4,soa and middlewares,1603,74,32,30,9,0,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758
Apache-DELTASPIKE,web development,1115,115,59,33,15,24,3,2,16,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387
Spring-ROO,software development tools,690,204,0,190,128,0,0,0,110,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,1921,120,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3452
RedHat-TEIIDDES,data storage & processing,0,102,0,0,0,0,0,0,119,0,2096,0,0,0,0,0,0,393,0,0,4,0,0,0,0,0,0,119,172,83,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3099
Apache-AVRO,data storage & processing,2364,72,59,156,39,4,3,4,23,4,5,0,18,7,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766
Apache-SOLR,content management,8692,978,399,849,589,14,211,33,243,180,90,1,43,61,23,64,2,35,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12514
Apache-PARQUET,data storage & processing,1449,47,43,63,15,1,9,3,6,2,12,0,6,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666
Apache-CAY,data storage & processing,1979,174,20,78,8,1,2,0,45,2,15,0,6,1,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341
Apache-FLUME,data storage & processing,1678,427,78,192,35,1,3,15,23,14,5,0,4,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484
Apache-CONNECTORS,content management,1403,75,69,21,14,0,0,1,27,2,2,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622
RedHat-UNDERTOW,web development,0,14,0,9,0,0,0,0,25,0,1471,0,3,0,0,0,0,19,0,0,3,2,1,0,0,0,0,130,50,32,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769
Jira-JSDCLOUD,content management,1453,1555,0,635,89,0,0,0,57,0,100,0,71,0,0,4,0,20,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,423,124,18,132,53,20,2,58,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4923
Jira-JSDSERVER,content management,1480,64,0,704,61,0,0,0,55,0,56,0,92,0,0,3,0,5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,17,150,4,142,42,1,0,42,6,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797
Jira-SRCTREE,software development tools,1238,144,0,646,47,0,0,0,71,0,10,0,96,0,0,20,0,8,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,113,28,76,0,2,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672
Apache-PIG,data storage & processing,3631,190,72,283,109,0,1,0,30,3,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4329
Apache-HOP,data storage & processing,2172,36,52,55,6,4,3,47,22,11,397,0,11,3,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827
RedHat-ERRAI,web development,0,48,0,0,0,0,0,0,11,0,793,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,30,33,25,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962
RedHat-OADP,devops and cloud,0,0,0,20,0,0,0,0,4,0,453,0,13,0,0,0,0,24,0,0,35,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554
Apache-WICKET,web development,5005,611,240,298,366,56,0,2,197,21,8,0,10,1,0,55,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6875
Apache-ORC,data storage & processing,1078,5,11,18,11,0,4,0,3,0,4,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138
Apache-STRATOS,devops and cloud,1208,17,13,18,35,4,0,1,17,46,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379
RedHat-ODC,software development tools,0,0,0,9,0,0,0,0,0,0,1415,0,1,0,0,0,0,12,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829
JiraEcosystem-PL,software development tools,1670,288,0,401,55,0,0,0,114,0,1,0,30,0,0,2,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29,0,0,0,0,2,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889
Apache-TAVERNA,data storage & processing,15,3,0,0,0,0,0,0,0,0,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
Apache-IGNITE,data storage & processing,11100,1184,112,826,138,5,88,2,222,47,316,7,42,5,2,7,0,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14139
RedHat-HAC,devops and cloud,11,0,0,72,0,0,0,0,12,0,1137,0,11,0,0,0,0,47,0,0,92,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387
Jira-BSERV,software development tools,2406,202,0,1085,150,0,0,0,106,0,175,0,135,0,0,30,0,20,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,117,135,64,988,185,0,1,11,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5911
Spring-DATACMNS,data storage & processing,1046,102,0,61,28,0,0,0,9,0,9,0,0,0,0,1,0,5,0,0,0,0,0,0,246,65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574
Apache-FELIX,soa and middlewares,4983,208,92,171,129,4,3,24,62,2,3,4,7,1,1,12,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5716
Apache-SENTRY,data storage & processing,1594,95,48,131,25,2,1,1,21,8,4,0,12,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951
RedHat-HAL,web development,0,49,0,4,0,0,0,0,48,0,1272,0,0,0,0,0,0,15,0,0,5,0,1,0,0,0,0,42,79,51,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582
Apache-MSHARED,software development tools,889,46,9,29,7,1,0,6,7,4,79,0,0,1,0,8,0,3,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115
RedHat-ISPN,data storage & processing,4,172,0,40,0,0,0,0,89,0,9758,0,18,0,0,1,0,98,0,0,91,0,1,0,0,0,0,310,662,442,18,9,6,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11748
Apache-TRINIDAD,web development,1599,45,8,76,92,2,0,1,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859
Apache-FOR,content management,704,49,2,15,25,4,0,1,24,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842
Apache-ARIES,soa and middlewares,1573,42,29,41,22,0,0,6,18,2,40,0,6,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784
Apache-JCLOUDS,devops and cloud,929,49,31,71,27,5,1,1,6,4,7,0,5,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143
Apache-GERONIMO,web development,4976,195,32,188,275,10,6,0,118,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5808
RedHat-MODE,data storage & processing,0,180,0,0,0,0,0,0,32,0,2213,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,102,6,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2631
Apache-HTTPCLIENT,soa and middlewares,1337,179,79,107,248,0,0,2,41,4,0,0,12,15,0,99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125
Apache-HDDS,data storage & processing,4991,97,126,377,40,6,61,65,54,262,237,1,27,7,7,2,0,43,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6407
Apache-TOMAHAWK,web development,885,39,7,112,107,12,0,0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197
RedHat-SWITCHYARD,soa and middlewares,0,36,0,0,0,0,0,0,37,0,2189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,114,76,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2528
Apache-FOP,content management,1557,146,53,251,33,13,0,1,142,9,3,0,16,0,2,319,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2556
RedHat-RESTEASY,soa and middlewares,1,24,0,8,0,0,0,0,39,0,2275,0,16,0,0,2,0,21,0,0,16,1,0,0,0,0,0,149,212,55,1,4,4,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860
RedHat-WINDUP,software development tools,1,11,0,45,0,0,0,0,33,0,1565,0,12,0,0,0,0,116,0,0,104,8,0,0,0,0,0,13,70,28,4,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
Apache-MRELEASE,software development tools,435,128,62,131,5,0,0,4,47,0,1,4,3,0,1,27,0,3,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
Jira-BAM,devops and cloud,6526,325,0,1043,134,0,0,0,138,0,375,0,130,0,0,33,0,219,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,234,0,515,95,1,3,29,91,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12691
Apache-OWB,web development,1281,35,27,11,17,3,1,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383
Apache-TOBAGO,web development,1847,107,21,47,26,2,0,11,30,3,15,7,2,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127
Apache-GOBBLIN,data storage & processing,1043,5,1,6,2,0,13,1,1,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081
RedHat-GITOPS,devops and cloud,0,0,0,49,0,0,0,0,5,0,692,0,9,0,0,0,0,113,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
JFrog-TCAP,devops and cloud,0,0,0,1,0,0,0,0,1,0,122,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
RedHat-JBSEAM,web development,0,237,0,0,0,0,0,0,109,0,2876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,342,331,180,6,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4134
Jira-I18N,software development tools,516,14,0,11,5,0,0,0,8,0,7,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
RedHat-CEQ,soa and middlewares,0,0,0,0,0,0,0,0,0,0,552,0,9,0,0,0,0,23,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592
Apache-PIVOT,web development,734,38,32,11,10,4,0,0,10,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846
Apache-BATIK,content management,634,16,14,61,5,42,0,0,28,0,1,0,2,0,0,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922
Spring-IDE,software development tools,795,273,0,130,8,0,0,0,92,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386
Apache-AMQ,soa and middlewares,5172,320,402,290,197,16,2,421,255,4,8,2,14,8,8,257,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7378
RedHat-AF,software development tools,0,31,0,2,0,0,0,0,26,0,1597,0,1,0,0,0,0,91,0,0,8,1,0,0,0,0,0,18,103,65,13,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968
Jira-CRUC,software development tools,3402,336,0,463,72,0,0,0,196,0,3,0,90,0,0,32,0,2,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,499,106,0,386,28,0,2,14,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5960
RedHat-THORN,web development,0,24,0,0,0,0,0,0,51,0,1760,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,105,383,57,0,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467
Apache-KARAF,devops and cloud,5863,262,249,205,35,2,3,1,168,9,3,3,12,8,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6832
Jira-CONFCLOUD,content management,4922,6433,0,1743,254,0,0,0,735,0,145,0,240,0,0,35,0,835,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,16,19,1474,430,0,16,602,33,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21953
Apache-OODT,data storage & processing,727,176,15,18,4,1,3,0,14,3,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976
