resolution,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered
Apache-BEAM,77.50%,5.18%,1.64%,4.93%,1.11%,0.42%,0.42%,0.86%,1.33%,1.75%,3.44%,0.01%,0.39%,0.14%,0.14%,0.09%,0.10%,0.50%,0.05%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-TEZ,82.30%,2.90%,1.35%,7.27%,3.23%,0.12%,0.03%,0.03%,0.87%,0.60%,0.99%,0.00%,0.12%,0.03%,0.00%,0.12%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-CRW,0.15%,1.11%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,2.54%,0.00%,79.72%,0.00%,1.95%,0.00%,0.00%,0.00%,0.00%,5.31%,0.00%,0.00%,2.77%,0.11%,0.04%,0.00%,0.00%,0.00%,0.00%,0.37%,1.03%,1.81%,0.00%,0.07%,0.44%,1.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-MNG,54.07%,10.45%,5.78%,10.21%,1.48%,0.03%,0.00%,0.12%,4.50%,0.14%,0.89%,0.00%,0.19%,0.34%,0.02%,10.66%,0.00%,0.24%,0.03%,0.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-ZEPPELIN,84.27%,1.55%,2.20%,5.11%,2.32%,0.25%,0.71%,0.37%,0.82%,0.11%,0.93%,0.08%,0.59%,0.06%,0.25%,0.11%,0.03%,0.08%,0.03%,0.06%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-KYLIN,75.52%,5.33%,3.68%,4.93%,2.54%,0.13%,1.64%,0.20%,1.53%,0.55%,1.38%,0.02%,0.57%,0.04%,0.35%,1.36%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SMX4,91.18%,4.21%,1.82%,1.71%,0.51%,0.00%,0.00%,0.11%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-DELTASPIKE,80.39%,8.29%,4.25%,2.38%,1.08%,1.73%,0.22%,0.14%,1.15%,0.00%,0.07%,0.00%,0.07%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Spring-ROO,19.99%,5.91%,0.00%,5.50%,3.71%,0.00%,0.00%,0.00%,3.19%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,55.65%,3.48%,0.00%,0.00%,0.00%,0.00%,2.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-TEIIDDES,0.00%,3.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.84%,0.00%,67.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.68%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.84%,5.55%,2.68%,0.03%,0.10%,0.13%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-AVRO,85.47%,2.60%,2.13%,5.64%,1.41%,0.14%,0.11%,0.14%,0.83%,0.14%,0.18%,0.00%,0.65%,0.25%,0.04%,0.11%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SOLR,69.46%,7.82%,3.19%,6.78%,4.71%,0.11%,1.69%,0.26%,1.94%,1.44%,0.72%,0.01%,0.34%,0.49%,0.18%,0.51%,0.02%,0.28%,0.02%,0.01%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-PARQUET,86.97%,2.82%,2.58%,3.78%,0.90%,0.06%,0.54%,0.18%,0.36%,0.12%,0.72%,0.00%,0.36%,0.06%,0.12%,0.06%,0.18%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-CAY,84.54%,7.43%,0.85%,3.33%,0.34%,0.04%,0.09%,0.00%,1.92%,0.09%,0.64%,0.00%,0.26%,0.04%,0.04%,0.30%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-FLUME,67.55%,17.19%,3.14%,7.73%,1.41%,0.04%,0.12%,0.60%,0.93%,0.56%,0.20%,0.00%,0.16%,0.08%,0.00%,0.24%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-CONNECTORS,86.50%,4.62%,4.25%,1.29%,0.86%,0.00%,0.00%,0.06%,1.66%,0.12%,0.12%,0.00%,0.12%,0.00%,0.06%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-UNDERTOW,0.00%,0.79%,0.00%,0.51%,0.00%,0.00%,0.00%,0.00%,1.41%,0.00%,83.15%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,1.07%,0.00%,0.00%,0.17%,0.11%,0.06%,0.00%,0.00%,0.00%,0.00%,7.35%,2.83%,1.81%,0.00%,0.17%,0.17%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jira-JSDCLOUD,29.51%,31.59%,0.00%,12.90%,1.81%,0.00%,0.00%,0.00%,1.16%,0.00%,2.03%,0.00%,1.44%,0.00%,0.00%,0.08%,0.00%,0.41%,0.00%,0.00%,1.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.59%,2.52%,0.37%,2.68%,1.08%,0.41%,0.04%,1.18%,0.08%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jira-JSDSERVER,30.85%,1.33%,0.00%,14.68%,1.27%,0.00%,0.00%,0.00%,1.15%,0.00%,1.17%,0.00%,1.92%,0.00%,0.00%,0.06%,0.00%,0.10%,0.00%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,3.13%,0.08%,2.96%,0.88%,0.02%,0.00%,0.88%,0.13%,0.00%,37.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jira-SRCTREE,46.33%,5.39%,0.00%,24.18%,1.76%,0.00%,0.00%,0.00%,2.66%,0.00%,0.37%,0.00%,3.59%,0.00%,0.00%,0.75%,0.00%,0.30%,0.00%,0.00%,2.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.41%,0.07%,0.22%,4.23%,1.05%,2.84%,0.00%,0.07%,2.13%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-PIG,83.88%,4.39%,1.66%,6.54%,2.52%,0.00%,0.02%,0.00%,0.69%,0.07%,0.05%,0.07%,0.05%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-HOP,76.83%,1.27%,1.84%,1.95%,0.21%,0.14%,0.11%,1.66%,0.78%,0.39%,14.04%,0.00%,0.39%,0.11%,0.00%,0.07%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-ERRAI,0.00%,4.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,82.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.12%,3.43%,2.60%,0.00%,0.21%,1.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-OADP,0.00%,0.00%,0.00%,3.61%,0.00%,0.00%,0.00%,0.00%,0.72%,0.00%,81.77%,0.00%,2.35%,0.00%,0.00%,0.00%,0.00%,4.33%,0.00%,0.00%,6.32%,0.54%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-WICKET,72.80%,8.89%,3.49%,4.33%,5.32%,0.81%,0.00%,0.03%,2.87%,0.31%,0.12%,0.00%,0.15%,0.01%,0.00%,0.80%,0.00%,0.06%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-ORC,94.73%,0.44%,0.97%,1.58%,0.97%,0.00%,0.35%,0.00%,0.26%,0.00%,0.35%,0.00%,0.00%,0.09%,0.00%,0.09%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
