Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-CALCITE,data storage & processing,20.00,44.00,84.00,127.08,5554
Apache-XALANJ,content management,32.00,63.00,117.00,202.65,2635
Apache-CLOUDSTACK,devops and cloud,19.00,45.00,123.00,700.59,10344
Spring-DATAREDIS,data storage & processing,0.00,16.00,49.00,80.16,1257
RedHat-APIMAN,soa and middlewares,9.00,17.00,34.00,120.79,1336
Apache-DIRSERVER,soa and middlewares,16.00,35.00,75.00,1384.58,2295
JiraEcosystem-ACJIRA,software development tools,17.00,36.00,65.00,53.80,2116
Apache-GEODE,data storage & processing,15.00,31.00,68.00,1385.25,10424
Apache-JUDDI,soa and middlewares,5.00,16.50,41.00,857.84,1018
JiraEcosystem-AMPS,software development tools,9.00,27.00,61.00,294.32,1514
RedHat-KATA,devops and cloud,9.00,24.00,84.00,80.74,1125
RedHat-OPECO,devops and cloud,2.00,20.00,50.00,69.42,1082
Apache-STORM,data storage & processing,10.00,25.00,57.00,142.65,3844
RedHat-EJBTHREE,soa and middlewares,6.00,18.00,47.75,127.66,2190
Apache-DIRSTUDIO,soa and middlewares,16.00,31.00,56.00,276.32,1290
JiraEcosystem-FRGE,software development tools,25.00,45.00,76.50,97.51,1155
Apache-SYNAPSE,soa and middlewares,13.00,30.00,65.00,84.94,1120
RedHat-SDN,devops and cloud,1.00,16.00,52.00,129.38,1561
Apache-OAK,content management,12.00,24.00,43.75,76.17,10090
RedHat-ENTMQBR,soa and middlewares,6.00,24.00,57.00,280.68,4572
Sonatype-NEXUS,devops and cloud,18.00,40.00,86.00,289.19,11187
RedHat-SRVKP,devops and cloud,13.00,30.50,68.00,57.52,1470
Apache-UIMA,content management,10.00,20.00,39.00,48.02,6479
Apache-CONTINUUM,software development tools,10.00,23.00,51.00,110.27,2724
Spring-DATAES,data storage & processing,0.00,16.00,43.00,58.95,1003
RedHat-HAWKULAR,devops and cloud,11.00,20.00,39.00,755.75,1309
Jira-CLOV,software development tools,5.00,21.00,49.00,77.28,1501
RedHat-JGRP,soa and middlewares,18.50,41.00,86.00,268.91,2559
Apache-LENS,data storage & processing,4.00,16.00,36.50,294.25,1451
JiraEcosystem-AUI,software development tools,5.00,17.00,35.00,49.17,4225
Apache-OPENEJB,soa and middlewares,0.00,10.00,31.00,167.40,2047
Apache-HBASE,data storage & processing,13.00,28.00,58.00,120.65,27458
RedHat-DBZ,data storage & processing,15.00,38.00,93.00,190.17,5800
RedHat-CLOUD,devops and cloud,4.50,14.00,34.00,76.49,2311
Spring-XD,data storage & processing,8.00,17.00,33.00,59.36,3707
Spring-DATAJPA,data storage & processing,0.00,35.00,85.00,89.61,1687
Apache-APEXMALHAR,data storage & processing,3.00,8.00,20.00,65.74,2041
RedHat-DEVELOPER,web development,8.00,20.00,44.00,574.43,5435
Apache-CXF,soa and middlewares,17.00,40.00,83.00,266.97,8717
Apache-ASTERIXDB,data storage & processing,6.00,13.00,41.00,176.80,3119
Apache-HADOOP,data storage & processing,14.00,27.00,51.00,88.95,16366
JiraEcosystem-UPM,devops and cloud,0.00,13.00,33.00,241.77,3767
JiraEcosystem-APL,software development tools,4.00,18.00,45.00,91.95,1270
Spring-DATAGRAPH,data storage & processing,0.00,14.00,45.00,78.77,1465
RedHat-CNV,devops and cloud,11.00,37.50,87.25,113.76,2932
Apache-TIKA,content management,16.00,30.00,57.00,76.31,3975
Sonatype-MVNCENTRAL,devops and cloud,10.00,21.00,37.00,57.99,1668
Apache-DERBY,data storage & processing,26.00,50.00,96.00,210.44,7142
Apache-ATLAS,data storage & processing,11.00,25.00,54.00,115.52,4677
Apache-RANGER,data storage & processing,11.00,23.00,46.00,63.39,4117
Apache-CMIS,content management,14.00,29.00,56.00,117.87,1097
Apache-BEEHIVE,web development,23.00,42.00,72.00,79.66,1231
Jira-CONFSERVER,content management,25.00,44.00,76.00,135.16,45081
Apache-SUREFIRE,software development tools,21.00,45.00,86.00,251.79,2138
Jira-FE,software development tools,12.00,27.00,55.00,125.03,5590
Apache-MYFACES,web development,14.00,33.00,68.00,68.04,4216
MongoDB-JAVA,data storage & processing,8.00,23.00,58.00,92.10,4481
Spring-INT,soa and middlewares,4.00,18.00,41.00,78.19,4494
Sonatype-OSSRH,devops and cloud,1.00,7.00,16.00,37.04,87533
Apache-ARTEMIS,soa and middlewares,10.00,28.00,63.00,267.62,4094
JiraEcosystem-AC,software development tools,11.00,26.00,50.00,82.61,1555
JFrog-HAP,devops and cloud,12.00,33.00,72.00,85.85,1294
Apache-SHINDIG,web development,12.00,23.00,46.00,78.20,1979
Apache-REEF,data storage & processing,11.00,21.00,39.75,45.83,2066
Apache-HAMA,data storage & processing,7.00,15.00,33.00,67.99,1006
Apache-TAJO,data storage & processing,13.00,25.00,51.00,431.54,2183
RedHat-WFLY,web development,8.00,24.00,63.00,204.62,14646
Apache-PDFBOX,content management,20.00,39.00,73.00,779.69,5562
Apache-XERCESJ,content management,31.00,59.00,106.00,263.81,1746
Apache-AXIS,soa and middlewares,35.00,69.00,130.00,228.29,2922
Apache-TUSCANY,soa and middlewares,16.00,33.00,69.00,112.90,4082
RedHat-ARQ,software development tools,6.00,19.00,44.00,87.08,2175
Spring-DATAREST,data storage & processing,0.00,37.00,87.00,126.44,1565
Apache-IVY,software development tools,21.00,43.00,83.00,575.50,1630
RedHat-ENTMQST,soa and middlewares,2.00,15.00,34.00,4023.81,3141
Spring-SWS,soa and middlewares,13.00,33.00,67.00,65.73,1041
Apache-STANBOL,content management,14.00,29.00,57.00,71.04,1473
Apache-SQOOP,data storage & processing,8.00,20.00,47.00,102.05,3152
Apache-OLINGO,soa and middlewares,15.00,29.00,59.00,84.26,1592
RedHat-FORGE,software development tools,7.00,21.00,47.00,187.46,2636
Apache-OPENJPA,data storage & processing,20.50,48.00,103.00,121.30,2903
RedHat-AS7,web development,8.00,24.00,60.00,270.48,5427
RedHat-TEIID,data storage & processing,14.00,27.00,54.00,116.61,5775
Apache-TAPESTRY,web development,17.00,34.00,65.00,102.29,2499
Apache-EAGLE,data storage & processing,7.00,17.00,38.00,69.48,1097
Apache-MAPREDUCE,data storage & processing,13.00,26.00,50.00,77.90,7109
Apache-JSPWIKI,content management,17.00,32.00,61.00,61.79,1057
Apache-ZOOKEEPER,devops and cloud,15.00,34.00,70.00,622.20,4485
Apache-CAMEL,soa and middlewares,10.00,23.00,48.00,103.22,19066
RedHat-ENTMQ,soa and middlewares,15.00,37.00,85.25,197.07,1480
RedHat-RHCLOUD,devops and cloud,6.00,19.00,38.00,48.74,3959
Apache-LUCENE,content management,19.00,37.00,72.00,137.21,10630
