,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6211524666676723),Equal (0.5536830196281715),Less (1.815329315748088e-07),Less (6.859148036521743e-05),Greater (1.0),Greater (0.9999999999992459),Greater (0.9999997020562771),Greater (1.0),Equal (0.3687937228187216),Less (2.7200152997688233e-26),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999529),Less (2.842892316957107e-49),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999991),Greater (1.0),Greater (0.9968649861615352),Equal (0.5247491930269346),Greater (1.0),Greater (0.9999999999999998),Greater (1.0),Greater (0.9999999999999999),Less (0.021480668099544294),Less (6.012333433507098e-05),Less (1.621105398482755e-08),Equal (0.3225257042284625),Greater (0.9999997953035854),Greater (0.9998949274514136),Greater (0.9930196781833117),Greater (1.0),Greater (1.0),Greater (0.9998965594097743),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (1.7625251354217022e-30),Less (1.6215195834536663e-18),Less (0.0),Less (5.4278325304253914e-62),Less (1.4765197877501641e-159),Less (0.0),Less (2.873091257892076e-21),Less (7.280737394528144e-10),Less (5.571621400634905e-25),Less (1.5613421598172712e-264),Less (5.855237629914632e-98),Less (0.0),Equal (0.810089572626279),Less (2.7136130058290865e-16),Less (0.0012190215630440782),Less (2.3398507077087967e-15),Less (1.2626789677105377e-293),Less (4.698836211097731e-42),Less (0.0),Equal (0.3520548118064232),Less (2.4181319814568284e-16),Less (0.006365670643244732),Less (1.2946613292634396e-30),Less (1.1565169218124516e-93),Less (1.1645273457707536e-39),Less (8.485868196499633e-75),Less (2.378724025034819e-11),Less (1.3021233694734566e-07),Equal (0.32976914990539663),Less (5.448010196458497e-07),Less (2.595858732751164e-91),Less (1.9795907986998906e-19),Less (3.738000713653843e-51),Less (6.555435136993911e-39),Equal (0.0718005971087165),Equal (0.3762054319813328),Less (0.0011093970229792876),Less (0.0),Less (2.9618185816212033e-262),Less (0.0),Less (5.144165683377676e-230),Less (1.0580893102116554e-146),Less (9.906200692991625e-199),Less (0.0),
executive-software development tools,,,,,,,,,,,,,,Greater (0.999562462769013),Less (4.364852762163716e-287),Less (1.0848536006199926e-40),Less (4.948707922080559e-107),Less (1.5054511651859563e-250),Less (5.002547080935337e-09),Less (0.0003467148883725352),Less (1.8037192716666408e-13),Less (1.7687132116294483e-143),Less (5.018254905592495e-60),Less (2.0289836019433685e-214),Greater (0.9996886665654051),Less (6.328617627534011e-06),Equal (0.7920302620172375),Less (8.720262430903615e-06),Less (1.86633654210626e-161),Less (1.2632704075193069e-20),Less (4.53295872556817e-292),Greater (0.9999998456464836),Less (3.889726383702105e-05),Equal (0.6470275229711486),Less (6.165225692278366e-15),Less (4.356736534980675e-41),Less (6.772969502582006e-23),Less (2.521819535771893e-46),Less (0.0015610572091500133),Less (0.00540123137488929),Equal (0.11415404591738033),Less (0.007187158688931497),Less (1.617420562695115e-59),Less (7.82161950657229e-15),Less (5.336501016500308e-38),Less (1.5549614612700538e-25),Equal (0.6436075355755848),Equal (0.9959218690100684),Equal (0.053800847044071995),Less (9.485667743557258e-186),Less (6.171914131153209e-70),Less (0.0),Less (9.084017605642145e-58),Less (1.6710540539398902e-21),Less (4.828521601111037e-42),Less (4.035011513806293e-137),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (1.9056928620857158e-48),Less (4.114871795439803e-130),Less (0.0),Less (9.698517093748944e-13),Less (6.372663407300489e-06),Less (1.9994103257939616e-17),Less (1.1355268139003795e-192),Less (3.520613568558237e-75),Less (7.249138379414573e-260),Greater (0.9896235783334159),Less (8.57352736956271e-09),Equal (0.49073361661943893),Less (2.2072143830529715e-08),Less (4.9987340733151063e-216),Less (4.0052327596696166e-27),Less (0.0),Greater (0.9999339916313458),Less (4.2908867166146927e-08),Equal (0.709257888115262),Less (5.648053480622586e-20),Less (2.7730010787715163e-58),Less (1.1832279538238746e-28),Less (2.7259811346217156e-57),Less (1.2414209330197695e-05),Less (0.00029805265431071887),Equal (0.32954771911890346),Less (0.0005695038672280521),Less (4.461537911927118e-73),Less (6.996374118574666e-17),Less (1.1690513794535563e-43),Less (9.428623732830032e-32),Equal (0.3601230318314075),Equal (0.7850761631255372),Less (0.00959933001899749),Less (5.107072911144425e-303),Less (4.788050588848685e-128),Less (0.0),Less (1.6043323558501174e-117),Less (6.071753044272865e-53),Less (9.282479495484973e-87),Less (3.427888478054993e-229),
existence-executive-full,,,,,,,,,,,,,,,,Equal (0.23699421001575027),Less (1.0144675929348944e-05),Less (0.0014711231505817757),Greater (0.9999999999999923),Greater (0.9999999996196443),Greater (0.9999693094628059),Greater (0.9999999999752028),Equal (0.564754828932519),Less (7.96616221051736e-17),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999955821429),Greater (0.999999997254999),Less (5.374370548854188e-29),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999998706917),Greater (1.0),Greater (0.9842430354563165),Equal (0.7776637870719612),Greater (1.0),Greater (0.9999999999982734),Greater (1.0),Greater (0.9999999999960751),Equal (0.07519955396441784),Less (0.00038422308386306937),Less (2.0076744972547954e-07),Equal (0.4655005039829002),Greater (0.9999959686879362),Greater (0.9994486635615069),Greater (0.9849052450861513),Greater (1.0),Greater (1.0),Equal (0.10660001394721785),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-content management,,,,,,,,,,,,,,,,,Equal (0.44352885861315916),Equal (0.6191157486344108),Greater (0.9999999987990854),Greater (0.9999999746127235),Greater (0.999798664173827),Greater (0.9999541695628075),Equal (0.11939477326843452),Less (0.02219742422989346),Greater (1.0),Greater (0.9999999999991954),Greater (1.0),Greater (0.9999999999944502),Greater (0.9997521480217896),Greater (0.9999985929971572),Less (0.0023040808524604456),Greater (1.0),Greater (0.9999999999999992),Greater (1.0),Greater (0.9999994334880709),Greater (0.9999999999563611),Greater (0.9945084383436716),Equal (0.176333395028492),Greater (0.9999999999999918),Greater (0.9999999987834834),Greater (1.0),Greater (0.999999993800975),Equal (0.9268736471110808),Equal (0.05108014750868901),Less (0.001859863119724525),Equal (0.8912098612357661),Greater (0.9999898067156294),Greater (0.9993601209213254),Greater (0.991011422843793),Greater (0.9999999999999989),Greater (1.0),Greater (0.9814295054416691),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,Greater (0.9960703693196249),Greater (0.9999999999999999),Greater (0.999999999998048),Greater (0.9999999010194506),Greater (0.9999999999999057),Greater (0.9995217158026394),Equal (0.07484210854263734),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999390724),Greater (0.9999999999803059),Less (0.0005334421887928203),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999995499),Greater (1.0),Greater (0.9999416679441108),Greater (0.9964967416148991),Greater (1.0),Greater (0.9999999999999664),Greater (1.0),Greater (0.9999999999996956),Equal (0.1833618134393019),Equal (0.06580892838968583),Less (0.0028977805194648153),Equal (0.12059454615768707),Greater (0.9999994605453982),Greater (0.9997803370113267),Greater (0.9972200510361756),Greater (1.0),Greater (1.0),Greater (0.9999999886273876),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999999999831),Greater (0.9999999954053997),Greater (1.0),Greater (0.9886950774558375),Less (1.2338373752723144e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999995047),Greater (0.9999999999999876),Less (2.0974889854548984e-16),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998353684022437),Equal (0.0651389625637825),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.670337242793098),Less (0.0004106262225631541),Less (2.952923888366371e-06),Equal (0.8863592088435824),Greater (0.9999999739792346),Greater (0.9999626655467291),Greater (0.9974963495239598),Greater (1.0),Greater (1.0),Greater (0.9999794325746875),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,Equal (0.5791936178974908),Equal (0.05320787581262238),Less (7.204887284857235e-06),Less (8.801079424299618e-09),Less (4.150686907618157e-25),Greater (0.999999999868781),Equal (0.23356527173660102),Greater (0.9999824829176881),Equal (0.30404452406135407),Less (1.8230310257941588e-06),Equal (0.06763804222343509),Less (4.134065715204472e-29),Greater (0.999999999999827),Equal (0.06913922351277636),Greater (0.9999678961752568),Equal (0.21177731290349555),Equal (0.24242905821202754),Less (0.00025466472430753863),Less (4.4424570506066496e-08),Greater (0.9762238296112801),Equal (0.21751940161989025),Greater (0.9999960233633738),Equal (0.21213250094717206),Less (9.272461483362861e-12),Less (4.6753281886816313e-08),Less (1.7097707590132362e-15),Less (1.798191531021643e-07),Equal (0.13029327885051337),Equal (0.19226041649453096),Equal (0.8652247862219388),Equal (0.48626660743196237),Greater (0.9762614072847593),Less (4.1140972156312055e-13),Greater (0.9891760822817277),Greater (0.9999728927557078),Greater (0.9986796345144495),Equal (0.5916974306070095),
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,Less (0.018296039468021368),Less (6.236929496030016e-05),Less (2.8584086861351925e-07),Less (3.001408593552713e-17),Greater (0.9999979111792355),Equal (0.6366340913575566),Greater (0.9981989171087725),Equal (0.7571354747129759),Less (2.314457808182912e-05),Less (0.015482978361644773),Less (2.2927060935266237e-19),Greater (0.9999998900423943),Equal (0.3595830990232388),Greater (0.9977779436665164),Equal (0.12312047139055829),Equal (0.11863640609938647),Less (0.0002264802665536936),Less (6.367633374577958e-07),Equal (0.2643323004149327),Equal (0.5668693445009592),Greater (0.9994274382541678),Equal (0.49585858733667876),Less (1.88923610487663e-09),Less (6.165908485439923e-08),Less (1.51596363172511e-13),Less (1.2230926451959156e-06),Equal (0.26535780058679037),Equal (0.3144788659199219),Equal (0.6628032069837646),Equal (0.24903059847438058),Equal (0.50726676972991),Less (4.081125391488591e-09),Equal (0.272693146847374),Greater (0.9873125827220658),Equal (0.13912055845669316),Equal (0.8099940751983504),
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.18969362069043805),Less (0.0016920313116819167),Less (1.8767326084340642e-11),Greater (0.999999999999975),Greater (0.9991287086768527),Greater (0.9999999967906674),Greater (0.9987249315452557),Equal (0.11117532092421442),Equal (0.6696650580126579),Less (2.405446149570967e-13),Greater (0.9999999999999999),Greater (0.9999108479808277),Greater (0.9999999926116566),Equal (0.35318094465640437),Equal (0.1800315380975317),Equal (0.1919459356310561),Less (0.0022652958701753936),Greater (0.9999137729784344),Greater (0.9976339813229838),Greater (0.9999999996379149),Greater (0.9979963121846531),Less (1.663034815079897e-05),Less (3.298850901035942e-06),Less (5.169310259185207e-10),Less (0.0002762879027808296),Greater (0.9944434158809521),Greater (0.9811482907975894),Equal (0.47984423737672),Greater (0.9784213846033841),Greater (0.9999948408950513),Less (0.00026295552146966106),Greater (0.9999920643531546),Greater (0.9999999989115864),Greater (0.999999874790285),Greater (0.9994223734758364),
property-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0025142598673701514),Less (9.264883219036658e-33),Greater (1.0),Greater (0.9999999986045774),Greater (1.0),Greater (0.9999999753714776),Equal (0.26358108643927725),Greater (0.9871143564723417),Less (1.05197750410968e-50),Greater (1.0),Greater (0.9999999999998958),Greater (0.9999999999999999),Greater (0.997518810975043),Greater (0.9999999930959877),Equal (0.6543786212683843),Less (0.00338765513083512),Greater (0.999999999994035),Greater (0.9999967016106671),Greater (0.999999999999999),Greater (0.9999910696979298),Less (3.855047833302931e-06),Less (3.838736542792891e-05),Less (8.037190265784678e-11),Less (0.006672673477814168),Greater (0.9992377255697946),Greater (0.9912154503471674),Equal (0.2244061196816941),Greater (1.0),Greater (1.0),Less (4.3517300162426535e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
